PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55577 $  1004   $  4040781464  $  7294085705     $      151839  $    81408736  $    64302926  $    61488346  $      42      $       0      $      97      $           0  $              $0.553981      $151839.000000      $5.189402 $4.098991 $3.919576 $     1.27  $     1.05  
55575 $  1004   $  2722331629  $  8669689365     $    10007716  $   340112858  $   337394783  $    10611331  $       0      $       0      $      97      $           0  $              $0.314006      $10007716.000000      $21.680502 $21.507236 $0.676419 $     1.01  $    31.80  
55577 $  2006   $  5038875681  $  9057297247     $       54983  $   102403968  $    81027680  $    77454223  $      46      $       0      $      97      $           0  $              $0.556333      $54983.000000      $6.540772 $5.175421 $4.947176 $     1.26  $     1.05  
55575 $  2006   $  2773728411  $  9091645047     $    10722661  $   352141246  $   349249437  $    11041025  $       0      $       0      $      97      $           0  $              $0.305085      $10722661.000000      $22.492056 $22.307350 $0.705215 $     1.01  $    31.63  
55577 $  3008   $  5038568809  $  9056535099     $       54741  $   102392316  $    81026956  $    77444621  $      46      $       0      $      97      $           0  $              $0.556346      $54741.000000      $6.540029 $5.175375 $4.946563 $     1.26  $     1.05  
55575 $  3008   $  2773437869  $  9091138204     $    10717505  $   352095456  $   349214229  $    11039517  $       0      $       0      $      97      $           0  $              $0.305070      $10717505.000000      $22.489130 $22.305101 $0.705119 $     1.01  $    31.63  
55577 $  4010   $  5039301144  $  9057230670     $       56308  $   102405994  $    81032451  $    77456209  $      46      $       0      $      97      $           0  $              $0.556384      $56308.000000      $6.540902 $5.175725 $4.947303 $     1.26  $     1.05  
55575 $  4010   $  2776943970  $  9089560111     $    10759786  $   352539117  $   349645029  $    11055261  $       0      $       0      $      97      $           0  $              $0.305509      $10759786.000000      $22.517467 $22.332617 $0.706124 $     1.01  $    31.63  
55577 $  5012   $  5039212273  $  9057466434     $       55730  $   102414004  $    81039563  $    77464051  $      46      $       0      $      97      $           0  $              $0.556360      $55730.000000      $6.541413 $5.176179 $4.947803 $     1.26  $     1.05  
55575 $  5012   $  2777869742  $  9090587946     $    10752574  $   352665930  $   349765950  $    11057941  $       0      $       0      $      97      $           0  $              $0.305576      $10752574.000000      $22.525568 $22.340340 $0.706296 $     1.01  $    31.63  
55577 $  6014   $  5039447303  $  9056570068     $       56809  $   102409101  $    81041012  $    77462106  $      46      $       0      $      97      $           0  $              $0.556441      $56809.000000      $6.541101 $5.176272 $4.947680 $     1.26  $     1.05  
55575 $  6014   $  2777322250  $  9089806107     $    10758699  $   352581554  $   349706763  $    11060500  $       0      $       0      $      97      $           0  $              $0.305542      $10758699.000000      $22.520180 $22.336559 $0.706459 $     1.01  $    31.62  
55577 $  7017   $  5037448356  $  9056488362     $       55920  $   102352805  $    80980344  $    77413031  $      46      $       0      $      97      $           0  $              $0.556225      $55920.000000      $6.530987 $5.167240 $4.939615 $     1.26  $     1.05  
55575 $  7017   $  2769253973  $  9091155870     $    10536238  $   351515349  $   348655754  $    11023858  $       0      $       0      $      97      $           0  $              $0.304610      $10536238.000000      $22.429693 $22.247227 $0.703417 $     1.01  $    31.63  
55575 $  7308   $   861523753  $  2692505125     $     3117493  $   109140335  $   108410427  $     2320821  $       0      $       0      $      97      $           0  $              $0.319971      $3117493.000000      $24.003372 $23.842842 $0.510421 $     1.01  $    46.71  
55577 $  7308   $  1013013586  $  1827329141     $      122737  $    19980824  $    15713582  $    15027313  $      12      $       0      $      97      $           0  $              $0.554368      $122737.000000      $4.394408 $3.455908 $3.304976 $     1.27  $     1.05  
55575 $  8104   $  2618278180  $  7480587598     $     9171123  $   330195566  $   329143847  $      167975  $       0      $       0      $      97      $           0  $              $0.350010      $9171123.000000      $26.548386 $26.463827 $0.013506 $     1.00  $  1959.48  
55575 $  8107   $      508496  $     1462676     $        1737  $       64084  $       63937  $         141  $       0      $       0      $      97      $           0  $              $0.347648      $1737.000000      $1.367125 $1.363989 $0.003008 $     1.00  $   453.45  
55575 $  9109   $  2811752113  $  8968946444     $    10254478  $   356778927  $   353928159  $    10464424  $      44      $       0      $      97      $           0  $              $0.313499      $10254478.000000      $22.788275 $22.606190 $0.668386 $     1.01  $    33.82  
55595 $  1003   $  4080762193  $  7390374091     $      116568  $    81903030  $    64764126  $    61982831  $       0      $       0      $      97      $           0  $              $0.552173      $116568.000000      $5.226116 $4.132507 $3.955036 $     1.26  $     1.04  
55595 $  2006   $  5019035505  $  9006773278     $       54206  $   102150008  $    80868213  $    77163970  $      45      $       0      $      97      $           0  $              $0.557251      $54206.000000      $6.518046 $5.160086 $4.923723 $     1.26  $     1.05  
55575 $ 10112   $  2747923458  $  8863871044     $    10285502  $   340420434  $   337743353  $    11587865  $       0      $       0      $      97      $           0  $              $0.310014      $10285502.000000      $21.721743 $21.550922 $0.739405 $     1.01  $    29.15  
55595 $  3009   $  5037578741  $  9051836195     $       54972  $   102487270  $    81198187  $    77480286  $      46      $       0      $      97      $           0  $              $0.556526      $54972.000000      $6.539567 $5.181140 $4.943907 $     1.26  $     1.05  
