PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59796 $  1003   $ 17320642891  $  8875849330     $     3037878  $   377925676  $   344109743  $    53506932  $      52      $       0      $      97      $           0  $              $1.951435      $3037878.000000      $24.114899 $21.957151 $3.414201 $     1.10  $     6.43  
59794 $  1003   $  3204562339  $  8783833801     $    12652063  $   357173678  $   354425360  $    11206922  $       0      $       0      $      97      $           0  $              $0.364825      $12652063.000000      $22.790743 $22.615376 $0.715098 $     1.01  $    31.63  
59796 $  2005   $ 18052067781  $  9121744825     $     3161743  $   394933157  $   359523108  $    55269264  $      54      $       0      $      97      $           0  $              $1.979015      $3161743.000000      $25.225271 $22.963552 $3.530173 $     1.10  $     6.50  
59794 $  2005   $  3311235281  $  9119963353     $    13169251  $   373401999  $   370481851  $    11172005  $       0      $       0      $      97      $           0  $              $0.363076      $13169251.000000      $23.850027 $23.663511 $0.713581 $     1.01  $    33.16  
59796 $  3007   $ 18051458735  $  9122997984     $     3161706  $   394946014  $   359531520  $    55396516  $      54      $       0      $      97      $           0  $              $1.978676      $3161706.000000      $25.226093 $22.964088 $3.538301 $     1.10  $     6.49  
59794 $  3007   $  3334651299  $  9114384285     $    13062317  $   371327919  $   368408946  $    11469256  $       0      $       0      $      97      $           0  $              $0.365867      $13062317.000000      $23.717550 $23.531111 $0.732567 $     1.01  $    32.12  
59796 $  4010   $ 17985346975  $  9121682977     $     3151537  $   393378410  $   358127962  $    55336549  $      54      $       0      $      97      $           0  $              $1.971714      $3151537.000000      $25.100914 $22.851635 $3.530946 $     1.10  $     6.47  
59794 $  4010   $  3308730373  $  9119690125     $    13221257  $   373106569  $   370204537  $    11173345  $       0      $       0      $      97      $           0  $              $0.362812      $13221257.000000      $23.807398 $23.622225 $0.712955 $     1.01  $    33.13  
59796 $  5012   $ 18049127750  $  9121065802     $     3164766  $   394914280  $   359466384  $    55268125  $      54      $       0      $      97      $           0  $              $1.978840      $3164766.000000      $25.224066 $22.959929 $3.530100 $     1.10  $     6.50  
59794 $  5013   $  3311289981  $  9119142511     $    13168948  $   373396535  $   370483358  $    11166642  $       0      $       0      $      97      $           0  $              $0.363114      $13168948.000000      $23.825901 $23.640015 $0.712528 $     1.01  $    33.18  
59796 $  6014   $ 18046444601  $  9120375054     $     3165593  $   394836725  $   359428525  $    55365031  $      54      $       0      $      97      $           0  $              $1.978696      $3165593.000000      $25.219112 $22.957510 $3.536289 $     1.10  $     6.49  
59794 $  6015   $  3333575486  $  9112329141     $    13087985  $   371234957  $   368311116  $    11468506  $       0      $       0      $      97      $           0  $              $0.365831      $13087985.000000      $23.711613 $23.524860 $0.732519 $     1.01  $    32.12  
59796 $  7016   $ 18052684116  $  9122304202     $     3165483  $   394966743  $   359555554  $    55258652  $      54      $       0      $      97      $           0  $              $1.978961      $3165483.000000      $25.227417 $22.965624 $3.529495 $     1.10  $     6.51  
59794 $  7017   $  3311118321  $  9120356362     $    13203622  $   373384126  $   370474897  $    11176564  $       0      $       0      $      97      $           0  $              $0.363047      $13203622.000000      $23.848886 $23.663069 $0.713872 $     1.01  $    33.15  
59796 $  8018   $ 17984357222  $  9120916883     $     3149794  $   393382403  $   358102974  $    55362207  $      54      $       0      $      97      $           0  $              $1.971771      $3149794.000000      $25.126221 $22.872845 $3.536109 $     1.10  $     6.47  
59794 $  8019   $  3309047424  $  9119148066     $    13178530  $   373141594  $   370227074  $    11170627  $       0      $       0      $      97      $           0  $              $0.362868      $13178530.000000      $23.833395 $23.647238 $0.713493 $     1.01  $    33.14  
59796 $  9020   $ 18057554650  $  9125987340     $     3169858  $   395089287  $   359637770  $    55410167  $      54      $       0      $      97      $           0  $              $1.978696      $3169858.000000      $25.235243 $22.970875 $3.539172 $     1.10  $     6.49  
59794 $  9021   $  3335539900  $  9117458382     $    13069423  $   371456246  $   368532027  $    11473582  $       0      $       0      $      97      $           0  $              $0.365841      $13069423.000000      $23.725748 $23.538973 $0.732844 $     1.01  $    32.12  
59796 $ 10023   $ 18055338122  $  9123319587     $     3166338  $   395042441  $   359616152  $    55264862  $      53      $       0      $      97      $           0  $              $1.979032      $3166338.000000      $25.207094 $22.946594 $3.526372 $     1.10  $     6.51  
59794 $ 10024   $  3311503594  $  9121633717     $    13222176  $   373414433  $   370517570  $    11173731  $       0      $       0      $      97      $           0  $              $0.363038      $13222176.000000      $23.827042 $23.642199 $0.712980 $     1.01  $    33.16  
59796 $ 11025   $ 18010007085  $  9133005144     $     3151261  $   393959283  $   358609962  $    55431148  $      54      $       0      $      97      $           0  $              $1.971970      $3151261.000000      $25.163069 $22.905226 $3.540513 $     1.10  $     6.47  
59794 $ 11026   $  3313347741  $  9131228306     $    13191078  $   373613105  $   370714500  $    11186658  $       0      $       0      $      97      $           0  $              $0.362859      $13191078.000000      $23.863512 $23.678371 $0.714517 $     1.01  $    33.14  
59796 $ 12027   $ 18069144373  $  9132908846     $     3171236  $   395322482  $   359858359  $    55420771  $      54      $       0      $      97      $           0  $              $1.978465      $3171236.000000      $25.250139 $22.984966 $3.539850 $     1.10  $     6.49  
59794 $ 12028   $  3337751365  $  9124494605     $    13089798  $   371707940  $   368779928  $    11478090  $       0      $       0      $      97      $           0  $              $0.365801      $13089798.000000      $23.741825 $23.554806 $0.733131 $     1.01  $    32.13  
59796 $ 13029   $ 18073813413  $  9133190063     $     3169614  $   395406990  $   359992647  $    55288324  $      54      $       0      $      97      $           0  $              $1.978916      $3169614.000000      $25.255535 $22.993542 $3.531390 $     1.10  $     6.51  
59794 $ 13030   $  3314368167  $  9131564378     $    13243269  $   373742583  $   370842182  $    11185403  $       0      $       0      $      97      $           0  $              $0.362957      $13243269.000000      $23.871782 $23.686525 $0.714437 $     1.01  $    33.15  
59796 $ 14031   $ 18072407617  $  9132462053     $     3167699  $   395369427  $   359938365  $    55318838  $      54      $       0      $      97      $           0  $              $1.978920      $3167699.000000      $25.253138 $22.990076 $3.533339 $     1.10  $     6.51  
59794 $ 14032   $  3314992398  $  9131072318     $    13171985  $   373807465  $   370899265  $    11181735  $       0      $       0      $      97      $           0  $              $0.363045      $13171985.000000      $23.875925 $23.690172 $0.714203 $     1.01  $    33.17  
59796 $ 14885   $ 15603012160  $  7899878186     $     2731761  $   340939130  $   310657154  $    45217810  $      43      $       0      $      97      $           0  $              $1.975095      $2731761.000000      $25.550474 $23.281097 $3.388688 $     1.10  $     6.87  
59794 $ 14886   $  2237914673  $  6164018272     $     9015326  $   251832004  $   249831103  $     7542240  $       0      $       0      $      97      $           0  $              $0.363061      $9015326.000000      $18.872656 $18.722706 $0.565226 $     1.01  $    33.12  
59796 $ 15209   $  6382711176  $  3173420245     $     1131881  $   139014214  $   127137796  $    13838097  $      12      $       0      $      97      $           0  $              $2.011303      $1131881.000000      $27.459597 $25.113638 $2.733451 $     1.09  $     9.19  
59796 $ 15211   $    11739902  $     5810305     $        2031  $      254770  $      233685  $       22975  $       0      $       0      $      97      $           0  $              $2.020531      $2031.000000      $8.152640 $7.477920 $0.735200 $     1.09  $    10.17  
59814 $   342   $  1045449445  $  2809341277     $     3733752  $   114151741  $   112469960  $     3636563  $       0      $       0      $      97      $           0  $              $0.372133      $3733752.000000      $21.361731 $21.047010 $0.680526 $     1.01  $    30.93  
59796 $ 15553   $  6081528468  $  3080278310     $     1073940  $   132857613  $   120978559  $    18116669  $      17      $       0      $      97      $           0  $              $1.974344      $1073940.000000      $24.862244 $22.639263 $3.390254 $     1.10  $     6.68  
