PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62930 $  1003   $ 19857925302  $  8805228121     $     3221769  $   310710751  $   310845766  $    40853082  $      55      $       0      $      97      $           0  $              $2.255243      $3221769.000000      $19.826010 $19.834625 $2.606777 $     1.00  $     7.61  
62928 $  1003   $ 17034540774  $  8870195148     $     2540047  $   369964524  $   337196818  $    75259202  $       0      $       0      $      97      $           0  $              $1.920425      $2540047.000000      $23.606909 $21.516048 $4.802182 $     1.10  $     4.48  
62930 $  2005   $ 20645922616  $  9095186299     $     3340515  $   323027902  $   323140754  $    41810643  $      57      $       0      $      97      $           0  $              $2.269984      $3340515.000000      $20.632521 $20.639730 $2.670540 $     1.00  $     7.73  
62928 $  2005   $ 17732278696  $  9106715695     $     2651954  $   386187185  $   351897593  $    78053023  $       0      $       0      $      97      $           0  $              $1.947165      $2651954.000000      $24.666647 $22.476494 $4.985423 $     1.10  $     4.51  
62930 $  3007   $ 20553606080  $  9089367696     $     3314758  $   321362699  $   321496502  $    41963763  $      57      $       0      $      97      $           0  $              $2.261280      $3314758.000000      $20.526159 $20.534708 $2.680320 $     1.00  $     7.66  
62928 $  3007   $ 17728932033  $  9107731095     $     2663567  $   386150943  $   351823183  $    78075892  $       0      $       0      $      97      $           0  $              $1.946580      $2663567.000000      $24.664331 $22.471739 $4.986883 $     1.10  $     4.51  
62930 $  4010   $ 20639359706  $  9096350013     $     3338546  $   322922234  $   323034964  $    41872907  $      57      $       0      $      97      $           0  $              $2.268972      $3338546.000000      $20.605207 $20.612402 $2.671850 $     1.00  $     7.71  
62928 $  4010   $ 17674380041  $  9108176412     $     2653989  $   384860380  $   350676593  $    78080718  $       0      $       0      $      97      $           0  $              $1.940496      $2653989.000000      $24.557392 $22.376175 $4.982219 $     1.10  $     4.49  
62930 $  5013   $ 20649987784  $  9096940525     $     3335663  $   323089820  $   323203106  $    41853879  $      57      $       0      $      97      $           0  $              $2.269993      $3335663.000000      $20.615902 $20.623129 $2.670636 $     1.00  $     7.72  
62928 $  5013   $ 17736146095  $  9108378945     $     2646375  $   386266159  $   351956666  $    78086511  $       0      $       0      $      97      $           0  $              $1.947234      $2646375.000000      $24.647093 $22.457853 $4.982589 $     1.10  $     4.51  
62930 $  6016   $ 20558133800  $  9088561739     $     3314393  $   321426681  $   321555975  $    41929536  $      57      $       0      $      97      $           0  $              $2.261979      $3314393.000000      $20.509779 $20.518028 $2.675464 $     1.00  $     7.67  
62928 $  6016   $ 17726851480  $  9106792313     $     2660222  $   386097825  $   351792036  $    78051484  $       0      $       0      $      97      $           0  $              $1.946553      $2660222.000000      $24.636353 $22.447348 $4.980354 $     1.10  $     4.51  
62930 $  7019   $ 20646909462  $  9096264850     $     3340829  $   323038890  $   323154393  $    41809450  $      57      $       0      $      97      $           0  $              $2.269823      $3340829.000000      $20.612650 $20.620022 $2.667801 $     1.00  $     7.73  
62928 $  7019   $ 17734025266  $  9107795577     $     2656977  $   386231752  $   351918983  $    78074030  $       0      $       0      $      97      $           0  $              $1.947126      $2656977.000000      $24.644897 $22.455448 $4.981792 $     1.10  $     4.51  
62930 $  8021   $ 20640539833  $  9096386073     $     3337708  $   322941560  $   323050111  $    41852992  $      57      $       0      $      97      $           0  $              $2.269092      $3337708.000000      $20.627007 $20.633940 $2.673245 $     1.00  $     7.72  
62928 $  8021   $ 17673980594  $  9107871652     $     2651871  $   384841875  $   350671499  $    78079651  $       0      $       0      $      97      $           0  $              $1.940517      $2651871.000000      $24.580719 $22.398178 $4.987123 $     1.10  $     4.49  
62930 $  9023   $ 20586177090  $  9101953781     $     3322952  $   321866941  $   322001924  $    41996476  $      57      $       0      $      97      $           0  $              $2.261732      $3322952.000000      $20.558367 $20.566988 $2.682410 $     1.00  $     7.67  
62928 $  9023   $ 17752451272  $  9120580119     $     2650125  $   386599804  $   352264480  $    78166434  $       0      $       0      $      97      $           0  $              $1.946417      $2650125.000000      $24.693001 $22.499928 $4.992666 $     1.10  $     4.51  
62930 $ 10025   $ 20671997959  $  9108377046     $     3341266  $   323428854  $   323540694  $    41883208  $      57      $       0      $      97      $           0  $              $2.269559      $3341266.000000      $20.658131 $20.665274 $2.675175 $     1.00  $     7.72  
62928 $ 10025   $ 17755862241  $  9119860962     $     2667236  $   386734754  $   352392851  $    78146658  $       0      $       0      $      97      $           0  $              $1.946945      $2667236.000000      $24.701620 $22.508127 $4.991403 $     1.10  $     4.51  
62930 $ 11027   $ 20583116652  $  9101353336     $     3318328  $   321817872  $   321946812  $    42009200  $      57      $       0      $      97      $           0  $              $2.261545      $3318328.000000      $20.555233 $20.563469 $2.683222 $     1.00  $     7.66  
62928 $ 11027   $ 17750283636  $  9119778048     $     2661375  $   386611840  $   352225314  $    78145762  $       0      $       0      $      97      $           0  $              $1.946351      $2661375.000000      $24.693769 $22.497425 $4.991346 $     1.10  $     4.51  
62930 $ 12029   $ 20665248704  $  9108434119     $     3340822  $   323325917  $   323441762  $    41931083  $      57      $       0      $      97      $           0  $              $2.268804      $3340822.000000      $20.651556 $20.658955 $2.678233 $     1.00  $     7.71  
