PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58117 $  1003   $  3628503150  $  7833956896     $      102804  $    40007851  $    36340010  $    30375558  $      43      $       0      $      97      $           0  $              $0.463176      $102804.000000      $2.552844 $2.318804 $1.938221 $     1.10  $     1.20  
58115 $  1004   $ 16801341685  $  8908313445     $     9369819  $   373641578  $   497463439  $     3441912  $       0      $       0      $      97      $           0  $              $1.886029      $9369819.000000      $23.817789 $31.710815 $0.219405 $     0.75  $   144.53  
58117 $  2005   $  4241071264  $  9070497321     $       33529  $    47164132  $    42831693  $    35635961  $      46      $       0      $      97      $           0  $              $0.467568      $33529.000000      $3.012480 $2.735757 $2.276149 $     1.10  $     1.20  
58115 $  2006   $ 17331044707  $  9145783754     $     9615997  $   385709639  $   512472027  $     3161841  $       0      $       0      $      97      $           0  $              $1.894976      $9615997.000000      $24.636145 $32.732746 $0.201954 $     0.75  $   162.08  
58117 $  3007   $  4244851598  $  9070357740     $       33184  $    47181460  $    42817536  $    35662409  $      46      $       0      $      97      $           0  $              $0.467992      $33184.000000      $3.013586 $2.734853 $2.277838 $     1.10  $     1.20  
58115 $  3008   $ 17361021991  $  9146065336     $     9613885  $   386095019  $   512555015  $     3115092  $       0      $       0      $      97      $           0  $              $1.898196      $9613885.000000      $24.660759 $32.738045 $0.198968 $     0.75  $   164.54  
58117 $  4009   $  4191921189  $  9078786203     $       32095  $    45408418  $    41420660  $    34761776  $      46      $       0      $      97      $           0  $              $0.461727      $32095.000000      $2.900338 $2.645631 $2.220313 $     1.10  $     1.19  
58115 $  4010   $ 17345591312  $  9147863790     $     9601502  $   385683090  $   511813951  $     3160494  $       0      $       0      $      97      $           0  $              $1.896136      $9601502.000000      $24.634449 $32.690712 $0.201868 $     0.75  $   161.94  
58117 $  5011   $  4242110092  $  9071514065     $       33908  $    47185889  $    42855619  $    35647061  $      46      $       0      $      97      $           0  $              $0.467630      $33908.000000      $3.013869 $2.737285 $2.276858 $     1.10  $     1.20  
58115 $  5012   $ 17337043909  $  9147279667     $     9603853  $   385619379  $   511852662  $     3178656  $       0      $       0      $      97      $           0  $              $1.895322      $9603853.000000      $24.630381 $32.693184 $0.203028 $     0.75  $   161.03  
58117 $  6013   $  4245102760  $  9071080536     $       33273  $    47175214  $    42817729  $    35665737  $      46      $       0      $      97      $           0  $              $0.467982      $33273.000000      $3.013187 $2.734865 $2.278051 $     1.10  $     1.20  
58115 $  6014   $ 17357899955  $  9147409298     $     9615945  $   386115059  $   512361335  $     3106593  $       0      $       0      $      97      $           0  $              $1.897575      $9615945.000000      $24.662041 $32.725674 $0.198425 $     0.75  $   164.93  
58117 $  6405   $  1647498513  $  3608979815     $       12120  $    17373484  $    15912159  $    13487688  $      16      $       0      $      97      $           0  $              $0.456500      $12120.000000      $2.836487 $2.597903 $2.202071 $     1.09  $     1.18  
58115 $  6406   $  5043006304  $  2657972934     $     2748198  $   111575352  $   145957148  $      821256  $       0      $       0      $      97      $           0  $              $1.897313      $2748198.000000      $18.216385 $23.829739 $0.134083 $     0.76  $   177.72  
58117 $  7114   $  3191405829  $  6836172682     $       21132  $    35493073  $    32261647  $    26838818  $      21      $       0      $      97      $           0  $              $0.466841      $21132.000000      $3.203888 $2.912194 $2.422686 $     1.10  $     1.20  
58117 $  7116   $     2340238  $     5919130     $          99  $       18418  $       18387  $       17848  $       0      $       0      $      97      $           0  $              $0.395369      $99.000000      $0.589376 $0.588384 $0.571136 $     1.00  $     1.03  
58135 $   645   $ 10675467459  $  5693759948     $     5953366  $   237400374  $   315219919  $     2438271  $       0      $       0      $      97      $           0  $              $1.874942      $5953366.000000      $23.556005 $31.277634 $0.241937 $     0.75  $   129.28  
58117 $  7761   $  2730503049  $  5795643818     $       45766  $    30624830  $    27739514  $    22955349  $      29      $       0      $      97      $           0  $              $0.471130      $45766.000000      $3.038743 $2.752448 $2.277740 $     1.10  $     1.21  
