PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61828 $  1002   $ 16909976547  $  8879839255     $     2769433  $   369043224  $   334580720  $    67882137  $      50      $       0      $      97      $           0  $              $1.904311      $2769433.000000      $23.571623 $21.370426 $4.335785 $     1.10  $     4.93  
61826 $  1003   $  3308771790  $  8781379732     $    43136484  $   230851961  $   192781517  $    33992730  $       0      $       0      $      97      $           0  $              $0.376794      $43136484.000000      $14.730335 $12.301114 $2.169028 $     1.20  $     5.67  
61828 $  2004   $ 17583136327  $  9117796661     $     2873480  $   384950865  $   348711945  $    71729469  $      52      $       0      $      97      $           0  $              $1.928442      $2873480.000000      $24.587681 $22.273018 $4.581523 $     1.10  $     4.86  
61826 $  2005   $  3393913861  $  9111220295     $    45893818  $   246346102  $   206577915  $    37728754  $       0      $       0      $      97      $           0  $              $0.372498      $45893816.000000      $15.734681 $13.194597 $2.409821 $     1.19  $     5.48  
61828 $  3006   $ 17560700633  $  9118906192     $     2864720  $   384493004  $   348258890  $    71992443  $      52      $       0      $      97      $           0  $              $1.925746      $2864720.000000      $24.558435 $22.244080 $4.598320 $     1.10  $     4.84  
61826 $  3007   $  3408347919  $  9113494397     $    50237829  $   268866644  $   224484912  $    39713344  $       0      $       0      $      97      $           0  $              $0.373989      $50237828.000000      $17.173120 $14.338358 $2.536581 $     1.20  $     5.65  
61828 $  4008   $ 17587460370  $  9119552455     $     2870581  $   385008505  $   348779113  $    71765892  $      52      $       0      $      97      $           0  $              $1.928544      $2870581.000000      $24.591362 $22.277308 $4.583849 $     1.10  $     4.86  
61826 $  4010   $  3389639582  $  9113689366     $    46245285  $   247813560  $   207835702  $    37749247  $       0      $       0      $      97      $           0  $              $0.371928      $46245284.000000      $15.812631 $13.261700 $2.408726 $     1.19  $     5.51  
61828 $  5010   $ 17488305151  $  9119520227     $     2851924  $   382767579  $   346685915  $    71867803  $      52      $       0      $      97      $           0  $              $1.917678      $2851924.000000      $24.448229 $22.143612 $4.590358 $     1.10  $     4.82  
61826 $  5012   $  3410483610  $  9113259401     $    49851070  $   267119998  $   222980986  $    39675842  $       0      $       0      $      97      $           0  $              $0.374233      $49851072.000000      $17.061558 $14.242299 $2.534185 $     1.20  $     5.62  
61828 $  6012   $ 17585180803  $  9120403918     $     2873429  $   384970578  $   348747375  $    71738908  $      52      $       0      $      97      $           0  $              $1.928114      $2873429.000000      $24.588940 $22.275280 $4.582126 $     1.10  $     4.86  
61826 $  6014   $  3383533792  $  9114362266     $    46650847  $   249552192  $   209337643  $    37764548  $       0      $       0      $      97      $           0  $              $0.371231      $46650848.000000      $15.939462 $13.370868 $2.412107 $     1.19  $     5.54  
61828 $  7014   $ 17563830128  $  9121267420     $     2866825  $   384567735  $   348329168  $    71973420  $      52      $       0      $      97      $           0  $              $1.925591      $2866825.000000      $24.563210 $22.248569 $4.597105 $     1.10  $     4.84  
61826 $  7017   $  3418849932  $  9114714439     $    49570976  $   266024178  $   222037837  $    39692977  $       0      $       0      $      97      $           0  $              $0.375091      $49570976.000000      $16.974623 $14.167918 $2.532752 $     1.20  $     5.59  
61828 $  8016   $ 17587236260  $  9118829577     $     2872454  $   385047829  $   348762650  $    71824940  $      52      $       0      $      97      $           0  $              $1.928673      $2872454.000000      $24.593874 $22.276257 $4.587621 $     1.10  $     4.86  
61826 $  8019   $  3380568557  $  9112779512     $    46899569  $   250676017  $   210305318  $    37787373  $       0      $       0      $      97      $           0  $              $0.370970      $46899568.000000      $16.011242 $13.432674 $2.413565 $     1.19  $     5.57  
61828 $  9018   $ 17494960579  $  9119021814     $     2853499  $   382948188  $   346864193  $    71929740  $      52      $       0      $      97      $           0  $              $1.918513      $2853499.000000      $24.459764 $22.154999 $4.594315 $     1.10  $     4.82  
61826 $  9021   $  3421107736  $  9113431199     $    49245621  $   264543100  $   220761602  $    39654621  $       0      $       0      $      97      $           0  $              $0.375392      $49245620.000000      $16.896965 $14.100541 $2.532830 $     1.20  $     5.57  
61828 $ 10020   $ 17583481914  $  9119735222     $     2870928  $   384947969  $   348709734  $    71766816  $      52      $       0      $      97      $           0  $              $1.928070      $2870928.000000      $24.587496 $22.272877 $4.583909 $     1.10  $     4.86  
61826 $ 10023   $  3373588113  $  9113336959     $    47240625  $   252103329  $   211535908  $    37791004  $       0      $       0      $      97      $           0  $              $0.370181      $47240624.000000      $16.102407 $13.511275 $2.413797 $     1.19  $     5.60  
