PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61963 $  1003   $ 20518602685  $  8801793385     $     7041007  $   332834510  $   406825622  $     9702780  $      47      $       0      $      97      $           0  $              $2.331184      $7041007.000000      $21.237694 $25.958963 $0.619121 $     0.82  $    41.93  
61961 $  1004   $  3337774889  $  8788730833     $    43125580  $   237351869  $   195495269  $    34377107  $       0      $       0      $      97      $           0  $              $0.379779      $43125580.000000      $15.130000 $12.461849 $2.191370 $     1.21  $     5.69  
61963 $  2005   $ 21346535361  $  9105859056     $     7257853  $   345840186  $   420116143  $     9011526  $      49      $       0      $      97      $           0  $              $2.344264      $7257853.000000      $22.089594 $26.833765 $0.575586 $     0.82  $    46.62  
61961 $  2006   $  3543923576  $  9135226850     $    44049286  $   249014209  $   204471192  $    39861037  $       0      $       0      $      97      $           0  $              $0.387940      $44049288.000000      $15.905099 $13.060037 $2.546014 $     1.22  $     5.13  
61963 $  3007   $ 21355534899  $  9098211873     $     7285727  $   345891466  $   419985461  $     8450489  $      49      $       0      $      97      $           0  $              $2.347223      $7285727.000000      $22.092867 $26.825418 $0.539752 $     0.82  $    49.70  
61961 $  3008   $  3385312156  $  9127963465     $    49316019  $   268643158  $   222491994  $    38377934  $       0      $       0      $      97      $           0  $              $0.370873      $49316020.000000      $17.158846 $14.211066 $2.451285 $     1.21  $     5.80  
61963 $  4010   $ 21278479104  $  9106748835     $     7224257  $   344605854  $   418565943  $     9370392  $      49      $       0      $      97      $           0  $              $2.336562      $7224257.000000      $21.988808 $26.708097 $0.597911 $     0.82  $    44.67  
61961 $  4011   $  3486450167  $  9137272797     $    47673319  $   265026351  $   218010404  $    40052277  $       0      $       0      $      97      $           0  $              $0.381564      $47673320.000000      $16.910954 $13.910933 $2.555679 $     1.22  $     5.44  
61963 $  5012   $ 21387123909  $  9105888673     $     7244003  $   346352289  $   420958197  $     8930369  $      48      $       0      $      97      $           0  $              $2.348714      $7244003.000000      $22.122301 $26.887550 $0.570403 $     0.82  $    47.14  
61961 $  5013   $  3434478164  $  9135517243     $    45667647  $   252583920  $   208900463  $    38125110  $       0      $       0      $      97      $           0  $              $0.375948      $45667648.000000      $16.133104 $13.342944 $2.435137 $     1.21  $     5.48  
61963 $  6014   $ 21220723394  $  9105570818     $     7163713  $   343574264  $   417150963  $     9717874  $      49      $       0      $      97      $           0  $              $2.330521      $7163713.000000      $21.944864 $26.644373 $0.620703 $     0.82  $    42.93  
61961 $  6015   $  3447292880  $  9135186434     $    50270933  $   276920733  $   228072446  $    40171745  $       0      $       0      $      97      $           0  $              $0.377364      $50270932.000000      $17.687551 $14.567502 $2.565860 $     1.21  $     5.68  
61963 $  7016   $ 21275446246  $  9107064272     $     7224793  $   344558753  $   418869923  $     9603425  $      49      $       0      $      97      $           0  $              $2.336148      $7224793.000000      $22.007744 $26.754166 $0.613392 $     0.82  $    43.62  
61961 $  7018   $  3534922174  $  9135896487     $    44491858  $   250920429  $   206082459  $    39889518  $       0      $       0      $      97      $           0  $              $0.386927      $44491856.000000      $16.010876 $13.149828 $2.545293 $     1.22  $     5.17  
61963 $  8018   $ 21331203874  $  9106787792     $     7226190  $   345315588  $   418175321  $     9247101  $      49      $       0      $      97      $           0  $              $2.342341      $7226190.000000      $22.056086 $26.709801 $0.590633 $     0.83  $    45.22  
61961 $  8020   $  3390439808  $  9136419828     $    48870188  $   266723094  $   220858515  $    38326749  $       0      $       0      $      97      $           0  $              $0.371091      $48870188.000000      $17.036205 $14.106731 $2.448016 $     1.21  $     5.76  
61963 $  9020   $ 21404913675  $  9111539417     $     7116820  $   346409018  $   418073670  $     8781862  $      49      $       0      $      97      $           0  $              $2.349209      $7116820.000000      $22.125925 $26.703308 $0.560917 $     0.83  $    47.61  
61961 $  9022   $  3482020946  $  9135622334     $    48097496  $   267006398  $   219683716  $    40080993  $       0      $       0      $      97      $           0  $              $0.381148      $48097496.000000      $17.054300 $14.031694 $2.560063 $     1.22  $     5.48  
61963 $ 10022   $ 21381038570  $  9105956683     $     7280696  $   346254834  $   421831601  $     8693283  $      48      $       0      $      97      $           0  $              $2.348028      $7280696.000000      $22.116077 $26.943336 $0.555260 $     0.82  $    48.52  
61961 $ 10025   $  3442374007  $  9135850057     $    45278675  $   250585141  $   207208537  $    38131925  $       0      $       0      $      97      $           0  $              $0.376798      $45278676.000000      $15.989480 $13.221682 $2.433144 $     1.21  $     5.43  
61963 $ 10805   $ 16806611317  $  7173426885     $     5703159  $   272251183  $   332526201  $     7020618  $      37      $       0      $      97      $           0  $              $2.342899      $5703159.000000      $22.252970 $27.179665 $0.573844 $     0.82  $    47.36  
61961 $ 10808   $  2379232558  $  6319341340     $    35964029  $   197044053  $   162154230  $    27958600  $       0      $       0      $      97      $           0  $              $0.376500      $35964028.000000      $16.105772 $13.253985 $2.285249 $     1.22  $     5.80  
61963 $ 11111   $  6998871992  $  2890621670     $     2295677  $   113528528  $   138993651  $      409851  $      11      $       0      $      97      $           0  $              $2.421234      $2295677.000000      $23.744528 $29.070566 $0.085720 $     0.82  $   339.13  
61963 $ 11113   $    12651959  $     5104783     $        4038  $      204023  $      258919  $         480  $       0      $       0      $      97      $           0  $              $2.478452      $4038.000000      $6.528736 $8.285408 $0.015360 $     0.79  $   539.41  
61963 $ 12116   $ 21420981638  $  9107369923     $     7270994  $   346727289  $   421464428  $     7938944  $      48      $       0      $      97      $           0  $              $2.352049      $7270994.000000      $22.124174 $26.893044 $0.506573 $     0.82  $    53.09  
61981 $  1003   $  3342001095  $  8855522681     $    43261334  $   237374927  $   202046597  $    34359103  $       0      $       0      $      97      $           0  $              $0.377392      $43261336.000000      $15.146556 $12.892305 $2.192405 $     1.17  $     5.88  
61963 $ 13118   $ 21296157872  $  9099334776     $     7193057  $   344779318  $   419495380  $     9184893  $      48      $       0      $      97      $           0  $              $2.340408      $7193057.000000      $22.021833 $26.794117 $0.586660 $     0.82  $    45.67  
61981 $  2005   $  3527290548  $  9129567524     $    43231373  $   244718370  $   207334525  $    39608011  $       0      $       0      $      97      $           0  $              $0.386359      $43231372.000000      $15.630714 $13.242924 $2.529853 $     1.18  $     5.23  
