PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58414 $  1003   $  4088796974  $  7405544847     $      142317  $    82401098  $    65292890  $    62151898  $      45      $       0      $      97      $           0  $              $0.552126      $142317.000000      $5.257896 $4.166246 $3.965824 $     1.26  $     1.05  
58412 $  1003   $ 14564384615  $  8827475229     $       90356  $  1834156903  $     6529450  $     5166838  $       0      $       0      $      97      $           0  $              $1.649892      $90356.000000      $117.034935 $0.416635 $0.329689 $   280.91  $     1.26  
58414 $  2005   $  5057732112  $  9076674104     $       53157  $   103089192  $    81721543  $    77785667  $      48      $       0      $      97      $           0  $              $0.557223      $53157.000000      $6.584539 $5.219739 $4.968346 $     1.26  $     1.05  
58412 $  2005   $ 15078064035  $  9092255581     $       81538  $  1900623006  $     6370511  $     5263071  $       0      $       0      $      97      $           0  $              $1.658341      $81538.000000      $121.397079 $0.406899 $0.336164 $   298.35  $     1.21  
58414 $  3008   $  5060426449  $  9075010548     $       54468  $   103091104  $    81725209  $    77798953  $      48      $       0      $      97      $           0  $              $0.557622      $54468.000000      $6.578096 $5.214769 $4.964240 $     1.26  $     1.05  
58412 $  3008   $ 15094368642  $  9091078069     $       83399  $  1903129940  $     6376495  $     5266698  $       0      $       0      $      97      $           0  $              $1.660350      $83399.000000      $121.436012 $0.406875 $0.336060 $   298.46  $     1.21  
58414 $  4011   $  5060480231  $  9068274450     $       55157  $   103120211  $    81716813  $    77706033  $      48      $       0      $      97      $           0  $              $0.558042      $55157.000000      $6.579954 $5.214233 $4.958311 $     1.26  $     1.05  
58412 $  4011   $ 15100123496  $  9094480310     $       80794  $  1907473908  $     6079913  $     5047334  $       0      $       0      $      97      $           0  $              $1.660361      $80794.000000      $121.713188 $0.387951 $0.322063 $   313.73  $     1.20  
58414 $  5014   $  5067562402  $  9068243924     $       55464  $   103780981  $    82121421  $    78182541  $      48      $       0      $      97      $           0  $              $0.558825      $55464.000000      $6.622117 $5.240051 $4.988717 $     1.26  $     1.05  
58412 $  5014   $ 15037026895  $  9082560843     $       80750  $  1894563192  $     6389114  $     5261181  $       0      $       0      $      97      $           0  $              $1.655593      $80750.000000      $120.889374 $0.407680 $0.335708 $   296.53  $     1.21  
58414 $  6016   $  5084753280  $  9075270198     $       54984  $   104330284  $    82458215  $    78555347  $      48      $       0      $      97      $           0  $              $0.560287      $54984.000000      $6.663811 $5.266792 $5.017507 $     1.27  $     1.05  
58412 $  6017   $ 15086834243  $  9090814527     $       82894  $  1902026219  $     6391816  $     5265460  $       0      $       0      $      97      $           0  $              $1.659569      $82894.000000      $121.365585 $0.407853 $0.335981 $   297.57  $     1.21  
58414 $  7018   $  5073491554  $  9076114183     $       55568  $   103982185  $    82249668  $    78304097  $      48      $       0      $      97      $           0  $              $0.558994      $55568.000000      $6.641577 $5.253471 $5.001459 $     1.26  $     1.05  
58412 $  7019   $ 15053273668  $  9090764394     $       81795  $  1896749812  $     6405056  $     5270456  $       0      $       0      $      97      $           0  $              $1.655886      $81795.000000      $121.149689 $0.409105 $0.336636 $   296.13  $     1.22  
58412 $  7236   $  3387479224  $  2032758360     $       16170  $   429342273  $     1241871  $     1050097  $       0      $       0      $      97      $           0  $              $1.666445      $16170.000000      $126.626289 $0.366266 $0.309706 $   345.72  $     1.18  
