PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54212 $  1004   $  3473631077  $  9218750451     $    12122870  $   387648222  $   382540102  $      841324  $      32      $       0      $      97      $           0  $              $0.376801      $12122870.000000      $24.710644 $24.385027 $0.053630 $     1.01  $   454.69  
54212 $  2007   $  3703220537  $  9873077723     $    13067353  $   417713292  $   412228086  $      208129  $      35      $       0      $      97      $           0  $              $0.375083      $13067353.000000      $26.653688 $26.303686 $0.013280 $     1.01  $  1980.64  
54212 $  3010   $  3582292597  $  9487365786     $    12435554  $   398486836  $   393225368  $      488518  $      35      $       0      $      97      $           0  $              $0.377586      $12435554.000000      $25.426878 $25.091150 $0.031172 $     1.01  $   804.94  
54212 $  4013   $  3584315902  $  9555770424     $    12638077  $   404294211  $   398985181  $      193402  $      34      $       0      $      97      $           0  $              $0.375094      $12638077.000000      $25.797438 $25.458675 $0.012341 $     1.01  $  2062.98  
54212 $  5015   $  3583871390  $  9555599098     $    12642481  $   404286095  $   398942723  $      213191  $      34      $       0      $      97      $           0  $              $0.375055      $12642481.000000      $25.822664 $25.481371 $0.013617 $     1.01  $  1871.29  
54212 $  6018   $  3730306661  $  9876710035     $    12976052  $   415079210  $   409642571  $      431723  $      35      $       0      $      97      $           0  $              $0.377687      $12976052.000000      $26.485613 $26.138708 $0.027548 $     1.01  $   948.86  
54212 $  7021   $  3567959998  $  9516396775     $    12589649  $   402484772  $   397176405  $      203249  $      35      $       0      $      97      $           0  $              $0.374928      $12589649.000000      $25.681980 $25.343262 $0.012969 $     1.01  $  1954.14  
54212 $  8023   $  3678630192  $  9811874447     $    12975010  $   414937939  $   409489449  $      205469  $      35      $       0      $      97      $           0  $              $0.374916      $12975010.000000      $26.503023 $26.155014 $0.013124 $     1.01  $  1992.95  
54212 $  9026   $  3609513738  $  9554514105     $    12533815  $   401536979  $   396245500  $      446220  $      34      $       0      $      97      $           0  $              $0.377781      $12533815.000000      $25.621504 $25.283861 $0.028473 $     1.01  $   888.00  
54212 $ 10029   $  3711434726  $  9894891148     $    13091602  $   418637306  $   413143211  $      190115  $      35      $       0      $      97      $           0  $              $0.375086      $13091602.000000      $26.712650 $26.362078 $0.012131 $     1.01  $  2173.12  
54212 $ 11032   $  3610505595  $  9557543191     $    12543338  $   401635742  $   396336811  $      458105  $      34      $       0      $      97      $           0  $              $0.377765      $12543338.000000      $25.627804 $25.289686 $0.029231 $     1.01  $   865.17  
54212 $ 12035   $  3588042367  $  9565567523     $    12653435  $   404712896  $   399397010  $      187354  $      34      $       0      $      97      $           0  $              $0.375100      $12653435.000000      $25.824152 $25.484955 $0.011955 $     1.01  $  2131.78  
54212 $ 13038   $  3587907650  $  9566326526     $    12655378  $   404746441  $   399391916  $      214259  $      34      $       0      $      97      $           0  $              $0.375056      $12655378.000000      $25.826292 $25.484629 $0.013672 $     1.01  $  1864.06  
