PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54540 $  1003   $ 20160966710  $  9154216477     $     5622139  $   327172736  $   385058096  $    40345817  $      37      $       0      $      97      $           0  $              $2.202369      $5622139.000000      $20.876427 $24.570009 $2.574409 $     0.85  $     9.54  
54540 $  2006   $ 20919408554  $  9467451606     $     5669058  $   338933202  $   396370240  $    41191510  $      39      $       0      $      97      $           0  $              $2.209614      $5669058.000000      $21.626844 $25.291821 $2.628372 $     0.86  $     9.62  
54540 $  3009   $ 21848909239  $  9886619752     $     5964490  $   353892238  $   413735784  $    42842287  $      39      $       0      $      97      $           0  $              $2.209947      $5964490.000000      $22.581358 $26.399891 $2.733705 $     0.86  $     9.66  
54540 $  4012   $ 21122778256  $  9538631074     $     5768723  $   342169087  $   400376189  $    41330863  $      39      $       0      $      97      $           0  $              $2.214446      $5768723.000000      $21.833323 $25.547434 $2.637264 $     0.85  $     9.69  
54540 $  5015   $ 21126501955  $  9540074111     $     5753658  $   342204380  $   400866753  $    41508193  $      39      $       0      $      97      $           0  $              $2.214501      $5753658.000000      $21.835573 $25.578735 $2.648579 $     0.85  $     9.66  
54540 $  6018   $ 20925634884  $  9471325792     $     5616664  $   338661886  $   394844043  $    41344340  $      39      $       0      $      97      $           0  $              $2.209367      $5616664.000000      $21.609531 $25.194435 $2.638123 $     0.86  $     9.55  
54540 $  7021   $ 21694439805  $  9833808257     $     5840858  $   351364408  $   410518524  $    42762550  $      39      $       0      $      97      $           0  $              $2.206108      $5840858.000000      $22.420063 $26.194601 $2.728617 $     0.86  $     9.60  
54540 $  8024   $ 21249353479  $  9549143919     $     5725939  $   344136404  $   401767881  $    41737845  $      38      $       0      $      97      $           0  $              $2.225263      $5725939.000000      $21.958855 $25.636234 $2.663232 $     0.86  $     9.63  
54540 $  9027   $ 20917979123  $  9475261780     $     5690355  $   338972190  $   398052263  $    41411131  $      39      $       0      $      97      $           0  $              $2.207641      $5690355.000000      $21.629332 $25.399147 $2.642385 $     0.85  $     9.61  
54540 $ 10030   $ 20928286751  $  9477005115     $     5673581  $   339106225  $   396865794  $    41261630  $      39      $       0      $      97      $           0  $              $2.208323      $5673581.000000      $21.637886 $25.323441 $2.632846 $     0.85  $     9.62  
54540 $ 11033   $ 21896690254  $  9908266146     $     5972035  $   354648921  $   414630899  $    42926247  $      39      $       0      $      97      $           0  $              $2.209942      $5972035.000000      $22.629642 $26.457006 $2.739063 $     0.86  $     9.66  
54540 $ 12036   $ 21135279138  $  9549511340     $     5796232  $   342416471  $   400529897  $    41353499  $      39      $       0      $      97      $           0  $              $2.213232      $5796232.000000      $21.849108 $25.557241 $2.638708 $     0.85  $     9.69  
54540 $ 13039   $ 21149312252  $  9550511018     $     5782655  $   342603945  $   400901381  $    41373973  $      39      $       0      $      97      $           0  $              $2.214469      $5782655.000000      $21.861069 $25.580946 $2.640014 $     0.85  $     9.69  
54540 $ 14042   $ 20952608970  $  9479751962     $     5627298  $   339376720  $   397637295  $    41499122  $      39      $       0      $      97      $           0  $              $2.210249      $5627298.000000      $21.655144 $25.372667 $2.648000 $     0.85  $     9.58  
