PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47744 $  1003   $  3075664479  $  8762322508     $     4053043  $   384460438  $   381408073  $     4474870  $      46      $       0      $      97      $           0  $              $0.351010      $4053043.000000      $24.531874 $24.337105 $0.285535 $     1.01  $    85.23  
47742 $  1003   $  3338499470  $  8881818568     $     4341734  $   367221848  $   362776679  $     4762488  $       0      $       0      $      97      $           0  $              $0.375880      $4341734.000000      $23.431904 $23.148262 $0.303888 $     1.01  $    76.17  
47744 $  2005   $  3201216575  $  9166893428     $     4034440  $   405747116  $   402556562  $     4034508  $      48      $       0      $      97      $           0  $              $0.349215      $4034440.000000      $25.915983 $25.712196 $0.257693 $     1.01  $    99.78  
47742 $  2005   $  3425430659  $  9166614234     $     4350023  $   387350046  $   382813026  $     4350186  $       0      $       0      $      97      $           0  $              $0.373685      $4350023.000000      $24.740921 $24.451132 $0.277856 $     1.01  $    88.00  
47744 $  3007   $  3199044190  $  9165257449     $     4250099  $   405473799  $   402286949  $     4250141  $      48      $       0      $      97      $           0  $              $0.349040      $4250099.000000      $25.898525 $25.694975 $0.271466 $     1.01  $    94.65  
47742 $  3007   $  3396203307  $  9166150016     $     4575680  $   389253839  $   384847444  $     4575766  $       0      $       0      $      97      $           0  $              $0.370516      $4575680.000000      $24.862520 $24.581076 $0.292264 $     1.01  $    84.11  
47744 $  4009   $  3193267531  $  9154953065     $     3871846  $   404938013  $   401591091  $     3872028  $      48      $       0      $      97      $           0  $              $0.348802      $3871846.000000      $25.864304 $25.650530 $0.247315 $     1.01  $   103.72  
47742 $  4009   $  3194224792  $  9165880445     $     4605126  $   405252818  $   401690345  $     4605231  $       0      $       0      $      97      $           0  $              $0.348491      $4605126.000000      $25.884413 $25.656868 $0.294146 $     1.01  $    87.22  
47744 $  5011   $  3192832957  $  9154766489     $     3856902  $   405060653  $   401557789  $     3857167  $      48      $       0      $      97      $           0  $              $0.348762      $3856902.000000      $25.872137 $25.648401 $0.246366 $     1.01  $   104.11  
47742 $  5011   $  3193299491  $  9164906076     $     4877691  $   405235537  $   401605325  $     4877742  $       0      $       0      $      97      $           0  $              $0.348427      $4877691.000000      $25.883308 $25.651438 $0.311552 $     1.01  $    82.33  
47744 $  6014   $  3189624750  $  9158136316     $     4010866  $   404502718  $   401140623  $     4010936  $      48      $       0      $      97      $           0  $              $0.348283      $4010866.000000      $25.810741 $25.596210 $0.255932 $     1.01  $   100.01  
47742 $  6014   $  3306703409  $  9168666917     $     4807630  $   396017008  $   392019063  $     5088914  $       0      $       0      $      97      $           0  $              $0.360653      $4807630.000000      $25.269281 $25.014177 $0.324716 $     1.01  $    77.03  
47744 $  7016   $  3198163045  $  9167062458     $     3649862  $   405528340  $   402207112  $     3650032  $      48      $       0      $      97      $           0  $              $0.348875      $3649862.000000      $25.902010 $25.689875 $0.233136 $     1.01  $   110.19  
47742 $  7017   $  3428743169  $  9177038122     $     4258801  $   387691803  $   383202162  $     4258794  $       0      $       0      $      97      $           0  $              $0.373622      $4258801.000000      $24.738062 $24.451584 $0.271748 $     1.01  $    89.98  
47744 $  8018   $  3195953000  $  9165092917     $     3796911  $   405356289  $   401936381  $     3797007  $      48      $       0      $      97      $           0  $              $0.348709      $3796911.000000      $25.891020 $25.672583 $0.242523 $     1.01  $   105.86  
47742 $  8019   $  3428139549  $  9174888513     $     4124770  $   387561321  $   383132013  $     4124761  $       0      $       0      $      97      $           0  $              $0.373644      $4124770.000000      $24.754416 $24.471504 $0.263458 $     1.01  $    92.89  
47744 $  9020   $  3227039064  $  9161287169     $     4415116  $   402795356  $   399632273  $     4702974  $      47      $       0      $      97      $           0  $              $0.352247      $4415116.000000      $25.727448 $25.525415 $0.300390 $     1.01  $    84.97  
47742 $  9021   $  3284770866  $  9167458736     $     4680997  $   397761266  $   393964577  $     4680911  $       0      $       0      $      97      $           0  $              $0.358308      $4680997.000000      $25.405910 $25.163406 $0.298980 $     1.01  $    84.16  
47744 $ 10022   $  3199549654  $  9163850163     $     4091885  $   405340190  $   402348345  $     4091878  $      47      $       0      $      97      $           0  $              $0.349149      $4091885.000000      $25.889992 $25.698896 $0.261357 $     1.01  $    98.33  
47742 $ 10023   $  3196383794  $  9163375391     $     4399860  $   405387413  $   401954248  $     4399877  $       0      $       0      $      97      $           0  $              $0.348822      $4399860.000000      $25.893009 $25.673723 $0.281030 $     1.01  $    91.36  
47744 $ 11024   $  3197821856  $  9163565522     $     4240956  $   405179570  $   402134507  $     4240887  $      47      $       0      $      97      $           0  $              $0.348971      $4240956.000000      $25.879734 $25.685238 $0.270875 $     1.01  $    94.82  
47742 $ 11025   $  3195679863  $  9162170578     $     4446369  $   405242643  $   401859505  $     4446379  $       0      $       0      $      97      $           0  $              $0.348791      $4446369.000000      $25.883762 $25.667673 $0.284000 $     1.01  $    90.38  
47744 $ 11205   $   598734737  $  1712920134     $      406973  $    75693589  $    75283033  $      406985  $       7      $       0      $      97      $           0  $              $0.349540      $406973.000000      $26.764585 $26.619415 $0.143906 $     1.01  $   184.98  
47742 $ 11207   $   289489025  $   827339386     $      394628  $    35758652  $    35466044  $      393610  $       0      $       0      $      97      $           0  $              $0.349904      $394628.000000      $12.574471 $12.471576 $0.138412 $     1.01  $    90.10  
47744 $ 12114   $  3055516938  $  8722068566     $      107494  $   385146969  $   384111751  $      107491  $      31      $       0      $      97      $           0  $              $0.350320      $107494.000000      $27.117060 $27.044170 $0.007568 $     1.00  $  3573.43  
47744 $ 12116   $     1898609  $     5460100     $         293  $      239864  $      238904  $         286  $       0      $       0      $      97      $           0  $              $0.347724      $293.000000      $7.675648 $7.644928 $0.009152 $     1.00  $   835.33  
47744 $ 13118   $  3193546200  $  9164713651     $     4518378  $   404750453  $   401653384  $     4518395  $      48      $       0      $      97      $           0  $              $0.348461      $4518378.000000      $25.852325 $25.654507 $0.288600 $     1.01  $    88.89  
47762 $  1002   $  3381097951  $  8957638782     $     3266370  $   370510834  $   366327297  $     3693253  $       0      $       0      $      97      $           0  $              $0.377454      $3266370.000000      $23.665363 $23.398151 $0.235896 $     1.01  $    99.19  
47744 $ 14120   $  3193476479  $  9164692541     $     4214851  $   405022721  $   401637906  $     4214759  $      48      $       0      $      97      $           0  $              $0.348454      $4214851.000000      $25.869715 $25.653521 $0.269206 $     1.01  $    95.29  
47762 $  2004   $  3428821803  $  9150233918     $     2814619  $   385928857  $   381738376  $     2814618  $       0      $       0      $      97      $           0  $              $0.374725      $2814619.000000      $24.650146 $24.382490 $0.179776 $     1.01  $   135.63  
47744 $ 15122   $  3195357695  $  9163815946     $     3962333  $   404989374  $   401864881  $     3962002  $      48      $       0      $      97      $           0  $              $0.348693      $3962333.000000      $25.867584 $25.668016 $0.253062 $     1.01  $   101.43  
47762 $  3006   $  3397599983  $  9151385152     $     2908812  $   388651063  $   384415556  $     2908685  $       0      $       0      $      97      $           0  $              $0.371266      $2908812.000000      $24.824020 $24.553488 $0.185784 $     1.01  $   132.16  
47744 $ 16125   $  3195133892  $  9165982207     $     4059598  $   405161164  $   401870306  $     4059547  $      47      $       0      $      97      $           0  $              $0.348586      $4059598.000000      $25.852755 $25.642771 $0.259034 $     1.01  $    98.99  
47762 $  4008   $  3214037701  $  9164217611     $     2633825  $   406507736  $   402936640  $     2633816  $       0      $       0      $      97      $           0  $              $0.350716      $2633825.000000      $25.964567 $25.736471 $0.168228 $     1.01  $   152.99  
47762 $  4074   $   207567500  $   591800321     $      157201  $    26246717  $    26018942  $      157193  $       0      $       0      $      97      $           0  $              $0.350739      $157201.000000      $25.451361 $25.230490 $0.152430 $     1.01  $   165.52  
47744 $ 16191   $   198494085  $   565276996     $      241143  $    23905675  $    23721227  $      240094  $       3      $       0      $      97      $           0  $              $0.351145      $241143.000000      $23.181261 $23.002403 $0.232818 $     1.01  $    98.80  
