PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48142 $  1003   $  4014854661  $  8781132358     $    13584643  $   229299315  $   175086386  $    39627821  $      45      $       0      $      97      $           0  $              $0.457214      $13584643.000000      $14.631262 $11.172012 $2.528595 $     1.31  $     4.42  
48140 $  1003   $  3124640714  $  8840009287     $     9783599  $   343918912  $   339281257  $    10206383  $       0      $       0      $      97      $           0  $              $0.353466      $9783599.000000      $21.944975 $21.649054 $0.651255 $     1.01  $    33.24  
48142 $  2006   $  4254320061  $  9130888285     $    16182953  $   274415414  $   209351742  $    46944524  $      47      $       0      $      97      $           0  $              $0.465926      $16182953.000000      $17.510057 $13.358437 $2.995463 $     1.31  $     4.46  
48140 $  2006   $  3165091414  $  9103379328     $    10602716  $   358978316  $   354117223  $    10602727  $       0      $       0      $      97      $           0  $              $0.347683      $10602716.000000      $22.905893 $22.595715 $0.676545 $     1.01  $    33.40  
48142 $  3009   $  4253333347  $  9130178497     $    16184684  $   274417149  $   209351407  $    46945329  $      47      $       0      $      97      $           0  $              $0.465854      $16184684.000000      $17.510168 $13.358415 $2.995514 $     1.31  $     4.46  
48140 $  3009   $  3164019981  $  9100521728     $    10595345  $   358884561  $   353995820  $    10595358  $       0      $       0      $      97      $           0  $              $0.347675      $10595345.000000      $22.899914 $22.587967 $0.676075 $     1.01  $    33.41  
48142 $  4011   $  4254374323  $  9134061187     $    16186278  $   274422667  $   209367672  $    46950412  $      47      $       0      $      97      $           0  $              $0.465770      $16186278.000000      $17.527994 $13.372786 $2.998829 $     1.31  $     4.46  
48140 $  4011   $  2973673932  $  9128919584     $    10982449  $   373020151  $   369862941  $    10982365  $       0      $       0      $      97      $           0  $              $0.325742      $10982449.000000      $23.825640 $23.623980 $0.701468 $     1.01  $    33.68  
48142 $  5013   $  4254839609  $  9132584499     $    16179723  $   274430514  $   209373624  $    46957536  $      47      $       0      $      97      $           0  $              $0.465897      $16179723.000000      $17.528498 $13.373166 $2.999284 $     1.31  $     4.46  
48140 $  5013   $  2952682449  $  9130534566     $    11014386  $   374598107  $   371614928  $    11014389  $       0      $       0      $      97      $           0  $              $0.323385      $11014386.000000      $23.926426 $23.735882 $0.703514 $     1.01  $    33.74  
48142 $  6015   $  4256903003  $  9132598028     $    16178229  $   274439665  $   209387961  $    46972927  $      47      $       0      $      97      $           0  $              $0.466122      $16178229.000000      $17.529081 $13.374082 $3.000267 $     1.31  $     4.46  
48140 $  6015   $  2953813077  $  9130492139     $    11019849  $   374723019  $   371755612  $    11019834  $       0      $       0      $      97      $           0  $              $0.323511      $11019849.000000      $23.934404 $23.744869 $0.703862 $     1.01  $    33.74  
48142 $  7017   $  4255556932  $  9128664760     $    16183295  $   274436974  $   209372356  $    46962485  $      47      $       0      $      97      $           0  $              $0.466175      $16183295.000000      $17.528908 $13.373084 $2.999600 $     1.31  $     4.46  
48140 $  7017   $  3185209899  $  9126375150     $    10799939  $   358428288  $   353619722  $    11092929  $       0      $       0      $      97      $           0  $              $0.349011      $10799939.000000      $22.893623 $22.586489 $0.708530 $     1.01  $    31.88  
48142 $  8019   $  4184305679  $  9130684042     $    15988467  $   271793182  $   208110490  $    45697758  $      47      $       0      $      97      $           0  $              $0.458269      $15988467.000000      $17.360044 $13.292487 $2.918819 $     1.31  $     4.55  
48140 $  8019   $  3175181082  $  9128999222     $    10649402  $   359991770  $   355241356  $    10649387  $       0      $       0      $      97      $           0  $              $0.347813      $10649402.000000      $22.993486 $22.690065 $0.680200 $     1.01  $    33.36  
48140 $  8603   $  1881742429  $  5363999571     $     5583986  $   213212340  $   210499744  $     5584000  $       0      $       0      $      97      $           0  $              $0.350810      $5583986.000000      $23.365736 $23.068464 $0.611945 $     1.01  $    37.70  
48142 $  8604   $  2244690299  $  4709432900     $     8272467  $   139718182  $   106015007  $    24794781  $      27      $       0      $      97      $           0  $              $0.476637      $8272467.000000      $15.285407 $11.598223 $2.712591 $     1.32  $     4.28  
48140 $  9085   $  1698206041  $  4580672808     $      207670  $   194072386  $   192484138  $      207649  $       0      $       0      $      97      $           0  $              $0.370733      $207670.000000      $25.768948 $25.558060 $0.027572 $     1.01  $   926.97  
48140 $  9088   $      500210  $     1439233     $          33  $       63009  $       62874  $          31  $       0      $       0      $      97      $           0  $              $0.347553      $33.000000      $1.344192 $1.341312 $0.000661 $     1.00  $  2028.19  
48140 $ 10091   $  2349107235  $  7167045009     $     9720077  $   297974410  $   295639749  $     9720091  $      42      $       0      $      97      $           0  $              $0.327765      $9720077.000000      $19.013321 $18.864351 $0.620225 $     1.01  $    30.42  
48160 $  1003   $  4111568946  $  8873106045     $    13631993  $   231967072  $   176976431  $    40707077  $       0      $       0      $      97      $           0  $              $0.463374      $13631993.000000      $14.801488 $11.292614 $2.597461 $     1.31  $     4.35  
48160 $  2005   $  4192234662  $  9030670035     $    15938783  $   271473784  $   207974109  $    45926718  $      46      $       0      $      97      $           0  $              $0.464222      $15938783.000000      $17.339643 $13.283775 $2.933443 $     1.31  $     4.53  
48140 $ 11093   $  2850002675  $  8737862391     $    11267840  $   361406399  $   358659568  $    11267836  $       0      $       0      $      97      $           0  $              $0.326167      $11267840.000000      $23.083841 $22.908396 $0.719702 $     1.01  $    31.83  
48160 $  3007   $  4270794498  $  9127829009     $    16104815  $   274501808  $   209810535  $    47070546  $      47      $       0      $      97      $           0  $              $0.467887      $16104815.000000      $17.533051 $13.401072 $3.006502 $     1.31  $     4.46  
48140 $ 12095   $  2950770237  $  9126271987     $    11021194  $   374313391  $   371370957  $    11021171  $       0      $       0      $      97      $           0  $              $0.323327      $11021194.000000      $23.908239 $23.720301 $0.703947 $     1.01  $    33.70  
48160 $  3108   $   376223989  $   905144966     $     2116017  $    36793434  $    28655852  $     4323316  $       4      $       0      $      97      $           0  $              $0.415651      $2116017.000000      $23.314650 $18.158163 $2.739527 $     1.28  $     6.63  
48140 $ 12195   $   288734037  $   879372322     $     1031799  $    30580712  $    30306830  $     1030720  $       0      $       0      $      97      $           0  $              $0.328341      $1031799.000000      $19.571655 $19.396372 $0.659661 $     1.01  $    29.40  
