PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48282 $  1003   $  4902516535  $  8817346822     $    26663124  $   214885653  $   143111666  $   139392189  $      46      $       0      $      97      $           0  $              $0.556008      $26663124.000000      $13.711547 $9.131751 $8.894417 $     1.50  $     1.03  
48280 $  1003   $  2389012106  $  8807029910     $     8268297  $   264793737  $   258310463  $     8689564  $       0      $       0      $      97      $           0  $              $0.271262      $8268297.000000      $16.896111 $16.482422 $0.554469 $     1.03  $    29.73  
48282 $  2006   $  5113839692  $  9108589753     $    28714117  $   231631881  $   154385680  $   150470045  $      48      $       0      $      97      $           0  $              $0.561430      $28714116.000000      $14.780101 $9.851130 $9.601279 $     1.50  $     1.03  
48280 $  2006   $  2388546326  $  9066431108     $     8684721  $   275536503  $   268655152  $     8684786  $       0      $       0      $      97      $           0  $              $0.263449      $8684721.000000      $17.581593 $17.142504 $0.554164 $     1.03  $    30.93  
48282 $  3008   $  5127078298  $  9120097555     $    28723665  $   232287180  $   154617066  $   150692906  $      48      $       0      $      97      $           0  $              $0.562174      $28723664.000000      $14.836706 $9.875741 $9.625096 $     1.50  $     1.03  
48280 $  3008   $  2391932935  $  9079061772     $     8697184  $   275973516  $   269037576  $     8697271  $       0      $       0      $      97      $           0  $              $0.263456      $8697184.000000      $17.627050 $17.184036 $0.555514 $     1.03  $    30.93  
48282 $  4010   $  5166352498  $  9119069225     $    29721861  $   238649085  $   158919659  $   154901834  $      48      $       0      $      97      $           0  $              $0.566544      $29721860.000000      $15.243055 $10.150558 $9.893929 $     1.50  $     1.03  
48280 $  4010   $  2363275199  $  9076298829     $     8632883  $   272913236  $   265885563  $     8632895  $       0      $       0      $      97      $           0  $              $0.260379      $8632883.000000      $17.431585 $16.982712 $0.551402 $     1.03  $    30.80  
48282 $  5012   $  5144818049  $  9119853047     $    29026486  $   234810969  $   156135329  $   152156355  $      48      $       0      $      97      $           0  $              $0.564134      $29026486.000000      $14.997907 $9.972715 $9.718570 $     1.50  $     1.03  
48280 $  5012   $  2203817543  $  9113822435     $     8878925  $   282478095  $   275589531  $     8878834  $       0      $       0      $      97      $           0  $              $0.241810      $8878925.000000      $18.042513 $17.602526 $0.567111 $     1.02  $    31.04  
48282 $  6015   $  5120058023  $  9119697588     $    28698024  $   231913700  $   154494959  $   150555805  $      48      $       0      $      97      $           0  $              $0.561428      $28698024.000000      $14.798082 $9.858103 $9.606751 $     1.50  $     1.03  
48280 $  6014   $  2196392392  $  9116321431     $     8941101  $   284732569  $   277912707  $     8941059  $       0      $       0      $      97      $           0  $              $0.240930      $8941101.000000      $18.186512 $17.750912 $0.571086 $     1.02  $    31.08  
48282 $  7017   $  5111560380  $  9120404347     $    28750619  $   231412946  $   154454122  $   150525538  $      48      $       0      $      97      $           0  $              $0.560453      $28750620.000000      $14.780867 $9.865334 $9.614406 $     1.50  $     1.03  
48280 $  7016   $  2196180900  $  9118026746     $     8940970  $   284704467  $   277883875  $     8940939  $       0      $       0      $      97      $           0  $              $0.240861      $8940970.000000      $18.184717 $17.749069 $0.571078 $     1.02  $    31.08  
48282 $  8019   $  5117917194  $  9120420152     $    28711912  $   231795730  $   154518996  $   150578694  $      48      $       0      $      97      $           0  $              $0.561149      $28711912.000000      $14.805316 $9.869476 $9.617801 $     1.50  $     1.03  
48280 $  8018   $  2195620906  $  9117516329     $     8934235  $   284593345  $   277808765  $     8934117  $       0      $       0      $      97      $           0  $              $0.240813      $8934235.000000      $18.177618 $17.744272 $0.570642 $     1.02  $    31.10  
48282 $  9021   $  5120008089  $  9119878029     $    28884200  $   232767929  $   155087471  $   151171492  $      48      $       0      $      97      $           0  $              $0.561412      $28884200.000000      $14.867414 $9.905787 $9.655663 $     1.50  $     1.03  
