PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48325 $  1003   $  3323885982  $  8789894714     $    14529923  $   235358437  $   205901310  $    34182879  $      46      $       0      $      97      $           0  $              $0.378149      $14529923.000000      $15.017886 $13.138269 $2.181161 $     1.14  $     6.02  
48323 $  1003   $  3203525516  $  8845775238     $     9951814  $   352416570  $   347989958  $    10375341  $       0      $       0      $      97      $           0  $              $0.362153      $9951814.000000      $22.487200 $22.204742 $0.662036 $     1.01  $    33.54  
48325 $  2006   $  3506156380  $  9149902836     $    15058542  $   244931931  $   213822389  $    39047705  $      47      $       0      $      97      $           0  $              $0.383191      $15058542.000000      $15.628757 $13.643702 $2.491578 $     1.15  $     5.48  
48323 $  2006   $  3261298139  $  9122303062     $    10768934  $   369379055  $   364739809  $    10768954  $       0      $       0      $      97      $           0  $              $0.357508      $10768934.000000      $23.569550 $23.273527 $0.687152 $     1.01  $    33.87  
48325 $  3008   $  3365621303  $  9149508898     $    16747974  $   273907407  $   240841117  $    38656628  $      47      $       0      $      97      $           0  $              $0.367847      $16747974.000000      $17.495083 $15.383065 $2.469086 $     1.14  $     6.23  
48323 $  3009   $  3268897158  $  9121788328     $    10840379  $   370164141  $   365583099  $    10840353  $       0      $       0      $      97      $           0  $              $0.358361      $10840379.000000      $23.619646 $23.327337 $0.691707 $     1.01  $    33.72  
48325 $  4010   $  3506472776  $  9145677376     $    15647381  $   254006577  $   221496065  $    39796520  $      46      $       0      $      97      $           0  $              $0.383402      $15647381.000000      $16.223972 $14.147453 $2.541893 $     1.15  $     5.57  
48323 $  4011   $  3045654738  $  9143753270     $    11201861  $   385342501  $   382712937  $    11201802  $       0      $       0      $      97      $           0  $              $0.333086      $11201861.000000      $24.612694 $24.444738 $0.715484 $     1.01  $    34.17  
48325 $  5012   $  3378254472  $  9146427669     $    16115114  $   263449148  $   231745791  $    38129438  $      46      $       0      $      97      $           0  $              $0.369352      $16115114.000000      $16.827091 $14.802127 $2.435413 $     1.14  $     6.08  
48323 $  5013   $  3052263200  $  9144331394     $    11229653  $   386617951  $   384013302  $    11229578  $       0      $       0      $      97      $           0  $              $0.333787      $11229653.000000      $24.694160 $24.527796 $0.717258 $     1.01  $    34.20  
48325 $  6014   $  3469306510  $  9147574677     $    16279479  $   264674833  $   231201279  $    39905040  $      47      $       0      $      97      $           0  $              $0.379260      $16279479.000000      $16.905378 $14.767347 $2.548825 $     1.14  $     5.79  
48323 $  6015   $  3099142097  $  9145761989     $    11292412  $   381857872  $   378885119  $    11587344  $       0      $       0      $      97      $           0  $              $0.338861      $11292412.000000      $24.390123 $24.200247 $0.740110 $     1.01  $    32.70  
48325 $  7016   $  3415670818  $  9146427464     $    15468954  $   252746321  $   222013218  $    38004717  $      47      $       0      $      97      $           0  $              $0.373443      $15468954.000000      $16.143478 $14.180485 $2.427447 $     1.14  $     5.84  
48323 $  7017   $  3272339222  $  9144277859     $    10840707  $   370527435  $   365970535  $    10840713  $       0      $       0      $      97      $           0  $              $0.357856      $10840707.000000      $23.666422 $23.375362 $0.692421 $     1.01  $    33.76  
48325 $  8018   $  3432134655  $  9146318104     $    16923156  $   275413209  $   240964805  $    40025451  $      47      $       0      $      97      $           0  $              $0.375248      $16923156.000000      $17.591263 $15.390965 $2.556516 $     1.14  $     6.02  
48323 $  8019   $  3272272718  $  9144298355     $    10881249  $   370489289  $   365972083  $    10881190  $       0      $       0      $      97      $           0  $              $0.357848      $10881249.000000      $23.663986 $23.375463 $0.695006 $     1.01  $    33.63  
48325 $  9021   $  3524901841  $  9147930545     $    15093276  $   245204035  $   213755263  $    39403587  $      47      $       0      $      97      $           0  $              $0.385322      $15093276.000000      $15.646120 $13.639419 $2.514287 $     1.15  $     5.42  
48323 $  9022   $  3222099263  $  9145977098     $    10911012  $   373255070  $   369105819  $    10910865  $       0      $       0      $      97      $           0  $              $0.352297      $10911012.000000      $23.816874 $23.552116 $0.696207 $     1.01  $    33.83  
48325 $ 10024   $  3347809513  $  9147186035     $    16705024  $   273174225  $   240511310  $    38321053  $      47      $       0      $      97      $           0  $              $0.365993      $16705024.000000      $17.430859 $15.346684 $2.445212 $     1.14  $     6.28  
48323 $ 10025   $  3053449779  $  9145411905     $    11260367  $   386750707  $   384164863  $    11260391  $       0      $       0      $      97      $           0  $              $0.333878      $11260367.000000      $24.678013 $24.513012 $0.718509 $     1.01  $    34.12  
48323 $ 10865   $  2590087872  $  7722252633     $     8455776  $   327925251  $   325839445  $     8455709  $       0      $       0      $      97      $           0  $              $0.335406      $8455776.000000      $24.984781 $24.825863 $0.644244 $     1.01  $    38.53  
48325 $ 10864   $  2566456407  $  6829243923     $    12186323  $   198403960  $   173702372  $    29269395  $      38      $       0      $      97      $           0  $              $0.375804      $12186323.000000      $15.116493 $13.234467 $2.230049 $     1.14  $     5.93  
48323 $ 11116   $   826503216  $  2361062143     $       55313  $   104196977  $   103889887  $       55299  $       0      $       0      $      97      $           0  $              $0.350056      $55313.000000      $26.568153 $26.489851 $0.014100 $     1.00  $  1878.69  
48323 $ 11119   $      512159  $     1476074     $         143  $       64543  $       64375  $         141  $       0      $       0      $      97      $           0  $              $0.346974      $143.000000      $1.376917 $1.373333 $0.003008 $     1.00  $   456.56  
48343 $   494   $  1664790357  $  4207465332     $     5880536  $    93035634  $    81242839  $    15005147  $       0      $       0      $      97      $           0  $              $0.395675      $5880536.000000      $12.053199 $10.525388 $1.943987 $     1.15  $     5.41  
48323 $ 11613   $  1512113729  $  4385576469     $     5129156  $   189859618  $   188194411  $     5128048  $      22      $       0      $      97      $           0  $              $0.344792      $5129156.000000      $24.597197 $24.381462 $0.664362 $     1.01  $    36.70  
