PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48673 $    89   $   174622094  $   440537899     $      301559  $    17020648  $    16659112  $      726115  $       0      $       0      $      97      $           0  $              $0.396384      $301559.000000      $12.239567 $11.979587 $0.522150 $     1.02  $    22.94  
48675 $    89   $        2107  $       18954     $          66  $         192  $         471  $          21  $       1      $       0      $      97      $           0  $              $0.111164      $66.000000      $0.000138 $0.000339 $0.000015 $     0.41  $    22.43  
48673 $  1092   $  3239668594  $  9274731886     $     5677193  $   415263533  $   407018371  $     5677200  $       0      $       0      $      97      $           0  $              $0.349301      $5677193.000000      $26.497374 $25.971262 $0.362254 $     1.02  $    71.69  
48673 $  1095   $      957867  $     2763369     $        1139  $      121735  $      120173  $        1135  $       0      $       0      $      97      $           0  $              $0.346630      $1139.000000      $2.597013 $2.563691 $0.024213 $     1.01  $   105.88  
48673 $  1177   $   254903258  $   729374546     $      452187  $    32696488  $    31997409  $      452189  $       2      $       0      $      97      $           0  $              $0.349482      $452187.000000      $25.519211 $24.973587 $0.352928 $     1.02  $    70.76  
48687 $    82   $        2108  $       68859     $         263  $         196  $         479  $          15  $       0      $       0      $      97      $           0  $              $0.030613      $263.000000      $0.000153 $0.000374 $0.000012 $     0.41  $    31.93  
48673 $  2177   $  3346365542  $  9571322695     $     7254882  $   430367705  $   420599083  $     7254865  $      33      $       0      $      97      $           0  $              $0.349624      $7254882.000000      $27.543533 $26.918341 $0.464311 $     1.02  $    57.97  
48673 $  2179   $     1880534  $     5407990     $        4213  $      241513  $      236472  $        4205  $       0      $       0      $      97      $           0  $              $0.347733      $4213.000000      $7.728416 $7.567104 $0.134560 $     1.02  $    56.24  
48673 $  2251   $   237334949  $   678322100     $      523654  $    30532787  $    29842581  $      523650  $       2      $       0      $      97      $           0  $              $0.349885      $523654.000000      $27.140257 $26.526737 $0.465467 $     1.02  $    56.99  
48692 $    72   $        2107  $       60215     $         222  $         199  $         484  $          17  $       0      $       0      $      97      $           0  $              $0.034991      $222.000000      $0.000177 $0.000430 $0.000015 $     0.41  $    28.47  
48673 $  3251   $  3342483591  $  9510249818     $     3170485  $   420185611  $   414261592  $     3170418  $      35      $       0      $      97      $           0  $              $0.351461      $3170485.000000      $26.891878 $26.512743 $0.202907 $     1.01  $   130.66  
48673 $  3252   $     1851213  $     5306904     $          18  $      233575  $      231646  $          10  $       0      $       0      $      97      $           0  $              $0.348831      $18.000000      $14.948800 $14.825344 $0.000640 $     1.01  $ 23164.60  
48673 $  3332   $   265120952  $   755882264     $       11875  $    33439666  $    33198800  $       11874  $       2      $       0      $      97      $           0  $              $0.350744      $11875.000000      $26.751732 $26.559040 $0.009499 $     1.01  $  2795.92  
48694 $    80   $        2107  $       68276     $         220  $         173  $         467  $           1  $       0      $       0      $      97      $           0  $              $0.030860      $220.000000      $0.000138 $0.000374 $0.000001 $     0.37  $   467.00  
48673 $  4332   $  3267507964  $  9342874523     $       82318  $   412170443  $   409129123  $       82338  $      35      $       0      $      97      $           0  $              $0.349733      $82318.000000      $26.378908 $26.184263 $0.005270 $     1.01  $  4968.90  
48673 $  4333   $     2014702  $     5772198     $          24  $      253911  $      252371  $          16  $       0      $       0      $      97      $           0  $              $0.349036      $24.000000      $16.250303 $16.151745 $0.001024 $     1.01  $ 15773.19  
48673 $  4405   $   237909515  $   677353674     $        8538  $    30003174  $    29786550  $        8535  $       2      $       0      $      97      $           0  $              $0.351234      $8538.000000      $26.669489 $26.476933 $0.007587 $     1.01  $  3489.93  
48696 $    73   $        2107  $       61035     $         231  $         207  $         498  $          31  $       0      $       0      $      65      $           0  $              $0.034521      $231.000000      $0.000181 $0.000437 $0.000027 $     0.42  $    16.06  
48673 $  5406   $  3346283031  $  9514994583     $      174326  $   419752498  $   417012299  $      174270  $      35      $       0      $      97      $           0  $              $0.351685      $174326.000000      $26.837324 $26.662125 $0.011142 $     1.01  $  2392.91  
48673 $  5408   $     2002312  $     5761623     $           8  $      252174  $      251651  $           0  $       0      $       0      $      97      $           0  $              $0.347526      $8.000000      $8.069568 $8.052832 $0.000000 $     1.00  $      inf  
48673 $  5488   $   261699628  $   746500970     $        6628  $    32993112  $    32897637  $        6623  $       2      $       0      $      97      $           0  $              $0.350568      $6628.000000      $26.394489 $26.318110 $0.005298 $     1.00  $  4967.18  
48698 $    80   $        2107  $       73708     $         291  $         222  $         509  $          48  $       0      $       0      $      65      $           0  $              $0.028586      $291.000000      $0.000178 $0.000407 $0.000038 $     0.44  $    10.60  
48673 $  6489   $  3339566092  $  9523782019     $       68294  $   420980044  $   419803552  $       68301  $      36      $       0      $      97      $           0  $              $0.350655      $68294.000000      $26.915806 $26.840588 $0.004367 $     1.00  $  6146.38  
48673 $  6491   $     1929990  $     5550931     $          28  $      243722  $      242589  $          21  $       0      $       0      $      97      $           0  $              $0.347688      $28.000000      $7.799104 $7.762848 $0.000672 $     1.00  $ 11551.86  
48673 $  6562   $   234749206  $   670903909     $        7404  $    29597145  $    29510026  $        7399  $       2      $       0      $      97      $           0  $              $0.349900      $7404.000000      $26.679115 $26.600586 $0.006670 $     1.00  $  3988.38  
48700 $    71   $        2107  $       68426     $         230  $         180  $         482  $          16  $       0      $       0      $      65      $           0  $              $0.030792      $230.000000      $0.000162 $0.000434 $0.000014 $     0.37  $    30.12  
48673 $  7562   $  3308945486  $  9473933455     $       70037  $   417199568  $   415947644  $       70016  $      33      $       0      $      97      $           0  $              $0.349268      $70037.000000      $26.700771 $26.620649 $0.004481 $     1.00  $  5940.75  
48673 $  7564   $     1845634  $     5307264     $           8  $      232523  $      231959  $           0  $       0      $       0      $      97      $           0  $              $0.347756      $8.000000      $7.440736 $7.422688 $0.000000 $     1.00  $      inf  
48673 $  7660   $   315535503  $   901314085     $        7984  $    39780026  $    39664920  $        7974  $       3      $       0      $      97      $           0  $              $0.350084      $7984.000000      $26.520016 $26.443279 $0.005316 $     1.00  $  4974.28  
48702 $    96   $        2107  $       70169     $         248  $         189  $         485  $          16  $       0      $       0      $      97      $           0  $              $0.030028      $248.000000      $0.000126 $0.000323 $0.000011 $     0.39  $    30.31  
48673 $  8660   $  3382224661  $  9569844439     $     4632163  $   424282054  $   417185399  $     4917457  $      34      $       0      $      97      $           0  $              $0.353425      $4632163.000000      $27.154051 $26.699865 $0.314717 $     1.02  $    84.84  
48673 $  8662   $     2032706  $     5832500     $        4105  $      260790  $      255074  $        4097  $       0      $       0      $      97      $           0  $              $0.348514      $4105.000000      $8.345280 $8.162368 $0.131104 $     1.02  $    62.26  
48673 $  8750   $   289957021  $   828426968     $      647432  $    37290350  $    36449725  $      647426  $       3      $       0      $      97      $           0  $              $0.350009      $647432.000000      $27.120256 $26.508890 $0.470855 $     1.02  $    56.30  
48704 $    88   $        2107  $       72187     $         275  $         201  $         488  $          31  $       0      $       0      $     113      $           0  $              $0.029188      $275.000000      $0.000146 $0.000355 $0.000023 $     0.41  $    15.74  
48673 $  9751   $  3217612909  $  9186344544     $     7039127  $   412910686  $   404289203  $     7039124  $      33      $       0      $      97      $           0  $              $0.350260      $7039127.000000      $26.399883 $25.848661 $0.450054 $     1.02  $    57.43  
48673 $  9753   $     1973529  $     5669863     $        4441  $      253827  $      248066  $        4433  $       0      $       0      $      97      $           0  $              $0.348073      $4441.000000      $8.122464 $7.938112 $0.141856 $     1.02  $    55.96  
48673 $  9826   $   235054545  $   671136220     $      502555  $    30219699  $    29471941  $      502552  $       2      $       0      $      97      $           0  $              $0.350234      $502555.000000      $26.493984 $25.838413 $0.440594 $     1.03  $    58.64  
48706 $    72   $        2107  $       66282     $         208  $         169  $         474  $           6  $       0      $       0      $       0      $           0  $              $0.031788      $208.000000      $0.000150 $0.000421 $0.000005 $     0.36  $    79.00  
48673 $ 10827   $  3339125721  $  9521086939     $     4894669  $   425486613  $   418029070  $     4894583  $      36      $       0      $      97      $           0  $              $0.350708      $4894669.000000      $27.203939 $26.727133 $0.312940 $     1.02  $    85.41  
48673 $ 10829   $     2130555  $     6096778     $          41  $      268998  $      266600  $          41  $       0      $       0      $      97      $           0  $              $0.349456      $41.000000      $8.607936 $8.531200 $0.001312 $     1.01  $  6502.44  
48673 $ 10912   $   274540466  $   781756168     $       13727  $    34618284  $    34375901  $       13727  $       2      $       0      $      97      $           0  $              $0.351184      $13727.000000      $26.693617 $26.506718 $0.010585 $     1.01  $  2504.25  
48708 $    83   $        2107  $       68509     $         239  $         183  $         463  $          16  $       0      $       0      $      49      $           0  $              $0.030755      $239.000000      $0.000141 $0.000357 $0.000012 $     0.40  $    28.94  
48673 $ 11913   $  3227516295  $  9181634291     $      169984  $   406957704  $   404129130  $      169984  $      33      $       0      $      97      $           0  $              $0.351519      $169984.000000      $26.019274 $25.838425 $0.010868 $     1.01  $  2377.45  
48673 $ 11915   $     1851826  $     5305530     $         105  $      233565  $      231957  $          97  $       0      $       0      $      97      $           0  $              $0.349037      $105.000000      $7.474080 $7.422624 $0.003104 $     1.01  $  2391.31  
48673 $ 12008   $   308508102  $   878111271     $       15359  $    38906618  $    38625796  $       15357  $       3      $       0      $      97      $           0  $              $0.351331      $15359.000000      $26.774445 $26.581192 $0.010568 $     1.01  $  2515.19  
