PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48943 $  1003   $  4390879192  $  5181682980     $    12287508  $   164540178  $    35435172  $    14149887  $      39      $       0      $      97      $           0  $              $0.847385      $12287508.000000      $10.499074 $2.261068 $0.902884 $     4.64  $     2.50  
48941 $  1003   $  2985401574  $  8751134934     $     2916951  $   371554296  $   369697320  $     3332791  $       0      $       0      $      97      $           0  $              $0.341145      $2916951.000000      $23.708351 $23.589859 $0.212661 $     1.01  $   110.93  
48943 $  2005   $  5570811723  $  5918581877     $    17985609  $   224690547  $    50025799  $    25056556  $      41      $       0      $      97      $           0  $              $0.941241      $17985608.000000      $14.351492 $3.195261 $1.600419 $     4.49  $     2.00  
48941 $  2005   $  3119826783  $  9338924371     $     3719507  $   394930225  $   392478833  $     3719513  $       0      $       0      $      97      $           0  $              $0.334067      $3719507.000000      $25.225084 $25.068510 $0.237574 $     1.01  $   105.52  
48943 $  3007   $ 16740488329  $  9000239779     $    34450468  $   773926980  $   153023392  $    63148465  $      51      $       0      $      97      $           0  $              $1.860005      $34450468.000000      $49.432461 $9.773950 $4.033435 $     5.06  $     2.42  
48941 $  3007   $  2805173684  $  9089209584     $    11063596  $   356049995  $   353179484  $    11063351  $       0      $       0      $      97      $           0  $              $0.308627      $11063596.000000      $22.741716 $22.558371 $0.706641 $     1.01  $    31.92  
48941 $  3239   $   735386563  $  2196335589     $     1341036  $    92990561  $    92493708  $     1341048  $       0      $       0      $      97      $           0  $              $0.334824      $1341036.000000      $25.652569 $25.515507 $0.369944 $     1.01  $    68.97  
48943 $  3239   $  1950782515  $   959768458     $     2390429  $    87060760  $    15239691  $     5765982  $       9      $       0      $      97      $           0  $              $2.032555      $2390429.000000      $24.016762 $4.204053 $1.590616 $     5.71  $     2.64  
48941 $  4112   $  2907981144  $  8297536376     $       64637  $   366627228  $   365552151  $       64643  $       0      $       0      $      97      $           0  $              $0.350463      $64637.000000      $26.877598 $26.798784 $0.004739 $     1.00  $  5654.94  
48941 $  4115   $      541769  $     1574379     $          21  $       68642  $       68268  $          21  $       0      $       0      $      97      $           0  $              $0.344116      $21.000000      $1.464363 $1.456384 $0.000448 $     1.01  $  3250.86  
48941 $  5118   $  3057619225  $  9017321245     $     3075532  $   386732880  $   384596902  $     3075604  $      40      $       0      $      97      $           0  $              $0.339083      $3075532.000000      $24.676872 $24.540579 $0.196250 $     1.01  $   125.05  
48961 $  1003   $  4145168728  $  5072419267     $    11738725  $   153166126  $    35614006  $    13607726  $       0      $       0      $      97      $           0  $              $0.817198      $11738725.000000      $9.773313 $2.272479 $0.868290 $     4.30  $     2.62  
48961 $  2006   $  5032405099  $  5766847941     $    17059662  $   199394043  $    48700151  $    24045411  $      41      $       0      $      97      $           0  $              $0.872644      $17059662.000000      $12.723050 $3.107487 $1.534303 $     4.09  $     2.03  
48941 $  6121   $  3005606706  $  8965626100     $     4460375  $   374603169  $   372177679  $     4460306  $       0      $       0      $      97      $           0  $              $0.335237      $4460375.000000      $23.902895 $23.748127 $0.284606 $     1.01  $    83.44  
48961 $  3008   $ 16496152432  $  8994435828     $    33839455  $   762148921  $   161300993  $    62524667  $      50      $       0      $      97      $           0  $              $1.834040      $33839456.000000      $48.680172 $10.302658 $3.993592 $     4.73  $     2.58  
48941 $  7123   $  2791636392  $  9085576787     $    11028009  $   354292015  $   351491999  $    11027804  $       0      $       0      $      97      $           0  $              $0.307260      $11028009.000000      $22.629429 $22.450586 $0.704371 $     1.01  $    31.87  
48941 $  7385   $   794431326  $  2420403218     $     1974723  $   100533386  $    99933714  $     1974692  $       0      $       0      $      97      $           0  $              $0.328223      $1974723.000000      $24.557774 $24.411289 $0.482368 $     1.01  $    50.61  
48961 $  3270   $  3035327303  $  1491228861     $     4327762  $   135793597  $    24279238  $     7863441  $      11      $       0      $      97      $           0  $              $2.035454      $4327762.000000      $33.170956 $5.930806 $1.920841 $     5.59  $     3.09  
48941 $  8198   $  2715150209  $  7788845505     $       48956  $   342337790  $   341302371  $       48935  $       0      $       0      $      97      $           0  $              $0.348595      $48956.000000      $26.949100 $26.867592 $0.003852 $     1.00  $  6974.61  
48941 $  8200   $      417371  $     1208956     $         128  $       53250  $       52774  $         128  $       0      $       0      $      97      $           0  $              $0.345233      $128.000000      $1.704000 $1.688768 $0.004096 $     1.01  $   412.30  
48941 $  9203   $  3118605306  $  9104680506     $     3974871  $   382795330  $   380534919  $     4267315  $      40      $       0      $      97      $           0  $              $0.342528      $3974871.000000      $24.425625 $24.281391 $0.272291 $     1.01  $    89.17  
48966 $  1003   $  4091400396  $  5090551004     $    12033351  $   150613497  $    33755473  $    13916127  $       0      $       0      $      97      $           0  $              $0.803725      $12033351.000000      $9.610433 $2.153888 $0.887968 $     4.46  $     2.43  
48966 $  2006   $  5003049296  $  5725340801     $    17488497  $   197925148  $    46823075  $    24425908  $      41      $       0      $      97      $           0  $              $0.873843      $17488496.000000      $12.629322 $2.987714 $1.558582 $     4.23  $     1.92  
48941 $ 10206   $  3002925282  $  8928831886     $     3970011  $   379944036  $   377776002  $     3969950  $       0      $       0      $      97      $           0  $              $0.336318      $3970011.000000      $24.243687 $24.105349 $0.253317 $     1.01  $    95.16  
48966 $  3009   $ 16407600411  $  9003610252     $    35220194  $   755264840  $   150107566  $    63128181  $      50      $       0      $      97      $           0  $              $1.822336      $35220192.000000      $48.192371 $9.578150 $4.028119 $     5.03  $     2.38  
48941 $ 11209   $  2827478317  $  9120595580     $    11022903  $   358918986  $   356019234  $    11022661  $       0      $       0      $      97      $           0  $              $0.310010      $11022903.000000      $22.902107 $22.717079 $0.703340 $     1.01  $    32.30  
48941 $ 11503   $   903141173  $  2745260894     $     2324385  $   111838581  $   111129310  $     2324303  $       0      $       0      $      97      $           0  $              $0.328982      $2324385.000000      $24.345814 $24.191416 $0.505971 $     1.01  $    47.81  
48966 $  3303   $  3257475548  $  1678401739     $     5820432  $   146872537  $    25896958  $    10041248  $      13      $       0      $      97      $           0  $              $1.940820      $5820432.000000      $31.972254 $5.637433 $2.185850 $     5.67  $     2.58  
48941 $ 12296   $  2544731359  $  7279741765     $       94679  $   320806660  $   319885219  $       94682  $       0      $       0      $      97      $           0  $              $0.349563      $94679.000000      $25.891079 $25.816713 $0.007641 $     1.00  $  3378.52  
48941 $ 12298   $      477871  $     1390477     $           8  $       60952  $       60603  $           8  $       0      $       0      $      97      $           0  $              $0.343674      $8.000000      $1.950464 $1.939296 $0.000256 $     1.01  $  7575.38  
48941 $ 13300   $  3122485666  $  9217159644     $     3620013  $   394962866  $   392786281  $     3620020  $      40      $       0      $      97      $           0  $              $0.338769      $3620013.000000      $25.227169 $25.088144 $0.231219 $     1.01  $   108.50  
48971 $  1002   $  4315103116  $  5121513635     $    12671731  $   162145337  $    30281167  $    14542371  $       0      $       0      $      97      $           0  $              $0.842545      $12671731.000000      $10.356588 $1.934126 $0.928854 $     5.35  $     2.08  
48971 $  2005   $  5243442351  $  5847897126     $    18151767  $   208813404  $    42935731  $    25094003  $      41      $       0      $      97      $           0  $              $0.896637      $18151768.000000      $13.324086 $2.739668 $1.601213 $     4.86  $     1.71  
48941 $ 14303   $  3075693941  $  9163271156     $     3991775  $   383732710  $   381494126  $     3991639  $       0      $       0      $      97      $           0  $              $0.335655      $3991775.000000      $24.485437 $24.342596 $0.254701 $     1.01  $    95.57  
48971 $  3007   $ 17284609042  $  9000760359     $    37580607  $   803208411  $   133427066  $    66285026  $      50      $       0      $      97      $           0  $              $1.920350      $37580608.000000      $51.302731 $8.522287 $4.233774 $     6.02  $     2.01  
48941 $ 15306   $  2797780806  $  9117650136     $    10865083  $   355264158  $   352344801  $    10864982  $       0      $       0      $      97      $           0  $              $0.306853      $10865083.000000      $22.668900 $22.482620 $0.693279 $     1.01  $    32.43  
