PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51451 $  1004   $ 17332353839  $  8911085936     $     3810368  $   377098662  $   343894836  $    57724664  $      52      $       0      $      97      $           0  $              $1.945033      $3810368.000000      $24.038162 $21.921583 $3.679660 $     1.10  $     5.96  
51449 $  1004   $ 16860826126  $  8923256440     $     1152510  $   374855217  $   497317657  $     4017027  $       0      $       0      $      97      $           0  $              $1.889537      $1152510.000000      $23.895155 $31.701525 $0.256065 $     0.75  $   123.80  
51451 $  2006   $ 18030301113  $  9132951608     $     3862283  $   393278072  $   358604259  $    59603520  $      54      $       0      $      97      $           0  $              $1.974203      $3862283.000000      $25.119558 $22.904863 $3.807011 $     1.10  $     6.02  
51449 $  2007   $ 17394384722  $  9129039865     $     1112338  $   386732828  $   511518242  $     3663180  $       0      $       0      $      97      $           0  $              $1.905390      $1112338.000000      $24.676870 $32.639248 $0.233742 $     0.76  $   139.64  
51451 $  3008   $ 18022607438  $  9131616761     $     3862950  $   393151074  $   358440145  $    59612342  $      54      $       0      $      97      $           0  $              $1.973649      $3862950.000000      $25.111446 $22.894381 $3.807575 $     1.10  $     6.01  
51449 $  3009   $ 17386155509  $  9127788297     $     1109775  $   386563448  $   511378639  $     3659220  $       0      $       0      $      97      $           0  $              $1.904750      $1109775.000000      $24.690680 $32.662907 $0.233723 $     0.76  $   139.75  
51451 $  4010   $ 17956666449  $  9132314788     $     3907497  $   391571246  $   357050570  $    59681847  $      54      $       0      $      97      $           0  $              $1.966278      $3907497.000000      $25.010538 $22.805624 $3.812014 $     1.10  $     5.98  
51449 $  4011   $ 17374586492  $  9128923591     $     1105069  $   386640179  $   512061586  $     3670667  $       0      $       0      $      97      $           0  $              $1.903246      $1105069.000000      $24.695581 $32.706528 $0.234454 $     0.76  $   139.50  
51451 $  5012   $ 18022164763  $  9132634319     $     3865397  $   393108818  $   358441582  $    59616279  $      54      $       0      $      97      $           0  $              $1.973381      $3865397.000000      $25.108747 $22.894472 $3.807826 $     1.10  $     6.01  
51449 $  5013   $ 17386200121  $  9129062406     $     1115419  $   386560044  $   511400232  $     3670097  $       0      $       0      $      97      $           0  $              $1.904489      $1115419.000000      $24.690460 $32.664288 $0.234417 $     0.76  $   139.34  
51451 $  6014   $ 18024999072  $  9132926419     $     3864275  $   393188043  $   358502858  $    59610090  $      54      $       0      $      97      $           0  $              $1.973628      $3864275.000000      $25.113806 $22.898386 $3.807431 $     1.10  $     6.01  
51449 $  6015   $ 17387565426  $  9128922013     $     1111408  $   386713555  $   511825416  $     3668512  $       0      $       0      $      97      $           0  $              $1.904668      $1111408.000000      $24.700268 $32.691444 $0.234316 $     0.76  $   139.52  
51451 $  6408   $  7252831380  $  3675648227     $     1428741  $   157912640  $   144213590  $    21678254  $      19      $       0      $      97      $           0  $              $1.973211      $1428741.000000      $25.650784 $23.425556 $3.521341 $     1.09  $     6.65  
