PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51549 $  1003   $  3636844243  $  7850775180     $     3116070  $    40164383  $    36550566  $    30453704  $      43      $       0      $      97      $           0  $              $0.463247      $3116070.000000      $2.562832 $2.332240 $1.943207 $     1.10  $     1.20  
51547 $  1003   $ 16852763120  $  8920915715     $      943320  $   374606086  $   498231172  $     3471304  $       0      $       0      $      97      $           0  $              $1.889129      $943320.000000      $23.903080 $31.791420 $0.221499 $     0.75  $   143.53  
51549 $  2006   $  4247227708  $  9079360107     $     3623753  $    47292586  $    42996183  $    35708182  $      46      $       0      $      97      $           0  $              $0.467789      $3623753.000000      $3.017672 $2.743525 $2.278488 $     1.10  $     1.20  
51547 $  2006   $ 17394391562  $  9151226918     $      915899  $   386368771  $   512299124  $     3165513  $       0      $       0      $      97      $           0  $              $1.900771      $915899.000000      $24.653641 $32.689079 $0.201987 $     0.75  $   161.84  
51549 $  3008   $  4250702877  $  9080444639     $     3615523  $    47326552  $    43022884  $    35723551  $      46      $       0      $      97      $           0  $              $0.468116      $3615523.000000      $3.022854 $2.747969 $2.281744 $     1.10  $     1.20  
51547 $  3008   $ 17407522687  $  9152615011     $      918240  $   386927777  $   513447818  $     3159199  $       0      $       0      $      97      $           0  $              $1.901918      $918240.000000      $24.713949 $32.795071 $0.201785 $     0.75  $   162.52  
51549 $  4010   $  4196743685  $  9086004118     $     3433798  $    45508020  $    41543390  $    34816841  $      46      $       0      $      97      $           0  $              $0.461891      $3433798.000000      $2.906700 $2.653470 $2.223830 $     1.10  $     1.19  
51547 $  4010   $ 17385204114  $  9151405968     $      915128  $   386215432  $   512398910  $     3181195  $       0      $       0      $      97      $           0  $              $1.899730      $915128.000000      $24.668449 $32.728073 $0.203190 $     0.75  $   161.07  
51549 $  5012   $  4247405709  $  9079805332     $     3618546  $    47302131  $    43041794  $    35706026  $      46      $       0      $      97      $           0  $              $0.467786      $3618546.000000      $3.021294 $2.749176 $2.280624 $     1.10  $     1.21  
51547 $  5012   $ 17382691746  $  9151184254     $      910612  $   386226975  $   512161384  $     3168090  $       0      $       0      $      97      $           0  $              $1.899502      $910612.000000      $24.669188 $32.712902 $0.202353 $     0.75  $   161.66  
51549 $  6014   $  4249735783  $  9079234985     $     3615067  $    47318124  $    43011371  $    35725011  $      46      $       0      $      97      $           0  $              $0.468072      $3615067.000000      $3.022315 $2.747233 $2.281837 $     1.10  $     1.20  
51547 $  6015   $ 17409651118  $  9151146949     $      905545  $   386685944  $   512548048  $     3135524  $       0      $       0      $      97      $           0  $              $1.902456      $905545.000000      $24.673880 $32.704960 $0.200073 $     0.75  $   163.46  
51549 $  6382   $  1563510865  $  3397241698     $     1266192  $    16813390  $    15376512  $    12917723  $      15      $       0      $      97      $           0  $              $0.460230      $1266192.000000      $2.924068 $2.674176 $2.246561 $     1.09  $     1.19  
51547 $  6383   $  4768789351  $  2515981037     $      238619  $   105529003  $   139065823  $      809707  $       0      $       0      $      97      $           0  $              $1.895400      $238619.000000      $18.352869 $24.185360 $0.140819 $     0.76  $   171.75  
51549 $  7106   $  3201525908  $  6854301864     $     2745430  $    35619690  $    32412346  $    26903594  $      21      $       0      $      97      $           0  $              $0.467083      $2745430.000000      $3.148702 $2.865180 $2.378218 $     1.10  $     1.20  
51549 $  7107   $     2083262  $     5275357     $        1001  $       16776  $       16727  $       16169  $       0      $       0      $      97      $           0  $              $0.394904      $1001.000000      $1.073664 $1.070528 $1.034816 $     1.00  $     1.03  
51567 $   649   $ 10776652832  $  5733657675     $      644175  $   239354720  $   317515445  $     2459981  $       0      $       0      $      97      $           0  $              $1.879542      $644175.000000      $23.603548 $31.311232 $0.242587 $     0.75  $   129.07  
51549 $  7756   $  2747421205  $  5838519033     $     2382810  $    30813137  $    27957289  $    23097831  $      29      $       0      $      97      $           0  $              $0.470568      $2382810.000000      $3.038584 $2.756959 $2.277752 $     1.10  $     1.21  
