PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52253 $  1003   $  5073396861  $  8837086683     $    29248144  $   223750549  $   149622391  $   144959029  $      49      $       0      $      97      $           0  $              $0.574103      $29248144.000000      $14.277204 $9.547191 $9.249629 $     1.50  $     1.03  
52251 $  1003   $ 13946310705  $  8719982103     $      720206  $  1745065288  $     6389374  $     5089210  $       0      $       0      $      97      $           0  $              $1.599351      $720206.000000      $111.350128 $0.407697 $0.324735 $   273.12  $     1.26  
52253 $  2006   $  5295845912  $  9117122506     $    31390075  $   240854378  $   161104087  $   156171953  $      50      $       0      $      97      $           0  $              $0.580868      $31390076.000000      $15.368575 $10.279821 $9.965110 $     1.50  $     1.03  
52251 $  2006   $ 14585128155  $  9060649216     $      650668  $  1831162339  $     5956183  $     4990638  $       0      $       0      $      97      $           0  $              $1.609722      $650668.000000      $116.843857 $0.380056 $0.318446 $   307.44  $     1.19  
52253 $  3009   $  5288261068  $  9115477336     $    31265344  $   240473510  $   160710032  $   155792925  $      50      $       0      $      97      $           0  $              $0.580141      $31265344.000000      $15.344272 $10.254678 $9.940925 $     1.50  $     1.03  
52251 $  3008   $ 14429819608  $  9052958876     $      726703  $  1803601906  $     6282371  $     5199856  $       0      $       0      $      97      $           0  $              $1.593934      $726703.000000      $115.200119 $0.401269 $0.332127 $   287.09  $     1.21  
52253 $  4011   $  5301686386  $  9117506919     $    31470492  $   241129234  $   161424265  $   156474321  $      50      $       0      $      97      $           0  $              $0.581484      $31470492.000000      $15.401468 $10.310533 $9.994368 $     1.49  $     1.03  
52251 $  4010   $ 14676172221  $  9063772372     $      632833  $  1845374254  $     5998221  $     4998921  $       0      $       0      $      97      $           0  $              $1.619212      $632833.000000      $117.868210 $0.383120 $0.319292 $   307.65  $     1.20  
52253 $  5013   $  5283295745  $  9117260793     $    31367913  $   240230025  $   160817877  $   155890477  $      50      $       0      $      97      $           0  $              $0.579483      $31367912.000000      $15.344034 $10.271800 $9.957077 $     1.49  $     1.03  
52251 $  5012   $ 14457202922  $  9054663800     $      719837  $  1807759128  $     6278583  $     5199217  $       0      $       0      $      97      $           0  $              $1.596658      $719837.000000      $115.465652 $0.401027 $0.332086 $   287.92  $     1.21  
52253 $  6015   $  5303247042  $  9119435056     $    31343129  $   241217175  $   161155749  $   156189735  $      50      $       0      $      97      $           0  $              $0.581532      $31343128.000000      $15.407084 $10.293381 $9.976191 $     1.50  $     1.03  
52251 $  6015   $ 14597466419  $  9065189428     $      650407  $  1832941484  $     5960064  $     4989656  $       0      $       0      $      97      $           0  $              $1.610277      $650407.000000      $116.957382 $0.380303 $0.318383 $   307.54  $     1.19  
52253 $  7018   $  5295323607  $  9117221616     $    31404479  $   240848912  $   161111135  $   156174784  $      50      $       0      $      97      $           0  $              $0.580805      $31404480.000000      $15.368226 $10.280272 $9.965290 $     1.49  $     1.03  
52251 $  7018   $ 14541264803  $  9055827941     $      706364  $  1820932765  $     6292678  $     5207393  $       0      $       0      $      97      $           0  $              $1.605736      $706364.000000      $116.191124 $0.401527 $0.332276 $   289.37  $     1.21  
