PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53548 $  1003   $  3101834038  $  8793238931     $     1781279  $   387852196  $   383573329  $     2203383  $      43      $       0      $      97      $           0  $              $0.352752      $1781279.000000      $24.748295 $24.475267 $0.140595 $     1.01  $   174.08  
53546 $  1003   $  6773349857  $  9110764003     $       39590  $    16359351  $    17905807  $      775418  $       0      $       0      $      97      $           0  $              $0.743445      $39590.000000      $1.043867 $1.142544 $0.049478 $     0.91  $    23.09  
53548 $  2005   $  3206075373  $  9161353972     $     1923901  $   406478209  $   401942435  $     1924495  $      44      $       0      $      97      $           0  $              $0.349956      $1923901.000000      $25.962681 $25.672970 $0.122922 $     1.01  $   208.86  
53546 $  2005   $  6812758800  $  9166638149     $       57158  $    14780541  $    15165571  $     1161020  $       0      $       0      $      97      $           0  $              $0.743212      $57158.000000      $0.944066 $0.968659 $0.074157 $     0.97  $    13.06  
53548 $  3007   $  3206840370  $  9160655795     $     2073131  $   404105680  $   399544755  $     2073514  $      44      $       0      $      97      $           0  $              $0.350067      $2073131.000000      $25.811140 $25.519825 $0.132440 $     1.01  $   192.69  
53546 $  3007   $  6814800679  $  9167120817     $       67864  $    16133219  $    17447296  $     1411413  $       0      $       0      $      97      $           0  $              $0.743396      $67864.000000      $1.030465 $1.114398 $0.090150 $     0.92  $    12.36  
53548 $  4010   $  3221735753  $  9178681401     $     1855996  $   408222181  $   403705378  $     1856036  $      44      $       0      $      97      $           0  $              $0.351002      $1855996.000000      $26.048075 $25.759865 $0.118431 $     1.01  $   217.51  
53546 $  4010   $  6848380773  $  9180544256     $       39781  $    16839369  $    18567773  $      816758  $       0      $       0      $      97      $           0  $              $0.745967      $39781.000000      $1.074496 $1.184783 $0.052116 $     0.91  $    22.73  
53548 $  5013   $  3220706874  $  9178079171     $     2272160  $   408428253  $   403601540  $     2272185  $      44      $       0      $      97      $           0  $              $0.350913      $2272160.000000      $26.061224 $25.753239 $0.144985 $     1.01  $   177.63  
53546 $  5013   $  6849373413  $  9178940814     $       69111  $    16083900  $    17279920  $     1427679  $       0      $       0      $      97      $           0  $              $0.746205      $69111.000000      $1.026291 $1.102607 $0.091098 $     0.93  $    12.10  
53548 $  6015   $  3218960770  $  9173517090     $     1632010  $   403964182  $   400946400  $     1631925  $      44      $       0      $      97      $           0  $              $0.350897      $1632010.000000      $25.802105 $25.609350 $0.104235 $     1.01  $   245.69  
53546 $  6016   $  6848960086  $  9174358369     $       20080  $    15747677  $    16696602  $      412865  $       0      $       0      $      97      $           0  $              $0.746533      $20080.000000      $1.004837 $1.065386 $0.026344 $     0.94  $    40.44  
53548 $  7017   $  3212787734  $  9169870733     $      982383  $   405710779  $   403947239  $      982408  $      44      $       0      $      97      $           0  $              $0.350363      $982383.000000      $25.913662 $25.801022 $0.062749 $     1.00  $   411.18  
53546 $  7018   $  6841980125  $  9171138621     $        1688  $    15960336  $    17070345  $       33735  $       0      $       0      $      97      $           0  $              $0.746034      $1688.000000      $1.019423 $1.090321 $0.002155 $     0.93  $   506.01  
53548 $  8019   $  3214810562  $  9175473487     $      987335  $   405971431  $   404204921  $      987362  $      44      $       0      $      97      $           0  $              $0.350370      $987335.000000      $25.930311 $25.817480 $0.063065 $     1.00  $   409.38  
53546 $  8020   $  6850000578  $  9175989941     $        5327  $    16102797  $    17309633  $       98393  $       0      $       0      $      97      $           0  $              $0.746513      $5327.000000      $1.028522 $1.105605 $0.006285 $     0.93  $   175.92  
53548 $  9021   $  3240077588  $  9163482714     $     2306097  $   402830875  $   398583938  $     2593810  $      44      $       0      $      97      $           0  $              $0.353586      $2306097.000000      $25.729717 $25.458454 $0.165672 $     1.01  $   153.67  
53546 $  9022   $  6820356936  $  9168040363     $       37011  $    15663953  $    16610513  $      733797  $       0      $       0      $      97      $           0  $              $0.743928      $37011.000000      $1.000492 $1.060951 $0.046869 $     0.94  $    22.64  
53548 $ 10024   $  3206489666  $  9166601443     $     2547142  $   406841328  $   402084477  $     2547205  $      44      $       0      $      97      $           0  $              $0.349801      $2547142.000000      $25.959967 $25.656437 $0.162534 $     1.01  $   157.85  
53546 $ 10025   $  6810144200  $  9163867875     $       71817  $    15254362  $    15962291  $     1457432  $       0      $       0      $      97      $           0  $              $0.743152      $71817.000000      $0.973359 $1.018531 $0.092997 $     0.96  $    10.95  
53548 $ 10527   $  1634097011  $  4670059363     $     1255117  $   207329968  $   204883515  $     1255152  $      21      $       0      $      97      $           0  $              $0.349909      $1255117.000000      $26.379955 $26.068678 $0.159701 $     1.01  $   163.23  
53546 $ 10529   $  2661468043  $  3644858274     $       30789  $     5635025  $     5787959  $      599058  $       0      $       0      $      97      $           0  $              $0.730198      $30789.000000      $0.715559 $0.734979 $0.076071 $     0.97  $     9.66  
53548 $ 11127   $  2016973121  $  5743860121     $      954182  $   252572141  $   249980010  $      954124  $      20      $       0      $      97      $           0  $              $0.351153      $954182.000000      $26.941029 $26.664536 $0.101773 $     1.01  $   262.00  
53548 $ 11129   $     1877409  $     5365514     $         474  $      237305  $      234799  $         468  $       0      $       0      $      97      $           0  $              $0.349903      $474.000000      $7.593760 $7.513568 $0.014976 $     1.01  $   501.71  
53548 $ 12131   $  3223481847  $  9179145642     $     2099002  $   408746683  $   403968238  $     2099006  $      44      $       0      $      97      $           0  $              $0.351175      $2099002.000000      $26.107573 $25.802362 $0.134068 $     1.01  $   192.46  
53566 $  1002   $  6831377698  $  9172974948     $       33097  $    15997642  $    17210586  $      671255  $       0      $       0      $      97      $           0  $              $0.744729      $33097.000000      $1.021806 $1.099279 $0.042875 $     0.93  $    25.64  
53548 $ 13133   $  3219687101  $  9170809113     $     2210989  $   408320511  $   403500071  $     2211006  $      44      $       0      $      97      $           0  $              $0.351080      $2210989.000000      $26.080353 $25.772459 $0.141222 $     1.01  $   182.50  
53566 $  2004   $  6847900549  $  9172632991     $       59969  $    15383182  $    16155399  $     1237732  $       0      $       0      $      97      $           0  $              $0.746558      $59969.000000      $0.982559 $1.031882 $0.079057 $     0.95  $    13.05  
53548 $ 14136   $  3218087646  $  9171967447     $     1507848  $   404331657  $   401757571  $     1507743  $      44      $       0      $      97      $           0  $              $0.350861      $1507848.000000      $25.799826 $25.635578 $0.096207 $     1.01  $   266.46  
53566 $  3007   $  6845420617  $  9170101880     $       23041  $    15559404  $    16424712  $      472716  $       0      $       0      $      97      $           0  $              $0.746493      $23041.000000      $0.992823 $1.048037 $0.030163 $     0.95  $    34.75  
53548 $ 15138   $  3214356185  $  9172873305     $      968042  $   405672320  $   404134220  $      968059  $      44      $       0      $      97      $           0  $              $0.350420      $968042.000000      $25.911205 $25.812963 $0.061832 $     1.00  $   417.47  
53566 $  4010   $  6846316931  $  9168474445     $        1031  $    14917664  $    15340450  $       16728  $       0      $       0      $      97      $           0  $              $0.746724      $1031.000000      $0.951875 $0.978852 $0.001067 $     0.97  $   917.05  
53548 $ 16140   $  3214897525  $  9172493639     $      981812  $   405221090  $   403660893  $      981791  $      44      $       0      $      97      $           0  $              $0.350493      $981812.000000      $25.882385 $25.782732 $0.062709 $     1.00  $   411.15  
53566 $  5012   $  6845754760  $  9168370095     $        4031  $    14824609  $    15179094  $       68557  $       0      $       0      $      97      $           0  $              $0.746671      $4031.000000      $0.946881 $0.969523 $0.004379 $     0.98  $   221.41  
53566 $  5021   $    59851528  $    77859036     $         232  $      125616  $      128829  $        3159  $       0      $       0      $      97      $           0  $              $0.768717      $232.000000      $0.893269 $0.916117 $0.022464 $     0.98  $    40.78  
53548 $ 16150   $    20638790  $    51565568     $        2652  $      291443  $      291092  $        1751  $       0      $       0      $      97      $           0  $              $0.400244      $2652.000000      $1.865235 $1.862989 $0.011206 $     1.00  $   166.24  
