PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55305 $  1003   $  3573266971  $  7727809415     $     3177247  $    39674113  $    36071947  $    30019685  $      35      $       0      $      97      $           0  $              $0.462391      $3177247.000000      $2.531549 $2.301700 $1.915513 $     1.10  $     1.20  
55303 $  1004   $  4286790515  $  5151496231     $    12537541  $   160783223  $    31996775  $    14681711  $       0      $       0      $      97      $           0  $              $0.832145      $12537541.000000      $10.249129 $2.039635 $0.935886 $     5.02  $     2.18  
55305 $  2005   $  4228492371  $  9262502633     $     4085843  $    47178671  $    42955142  $    35477122  $      38      $       0      $      97      $           0  $              $0.456517      $4085843.000000      $3.013408 $2.743642 $2.266004 $     1.10  $     1.21  
55303 $  2006   $  4842631895  $  5866889813     $    17243298  $   192496612  $    42859970  $    24416442  $       0      $       0      $      97      $           0  $              $0.825417      $17243298.000000      $12.295193 $2.737563 $1.559533 $     4.49  $     1.76  
55305 $  3007   $  4117755138  $  9046984842     $     4052203  $    45067894  $    41246411  $    34174852  $      47      $       0      $      97      $           0  $              $0.455152      $4052203.000000      $2.878588 $2.634501 $2.182825 $     1.09  $     1.21  
55303 $  3008   $ 16415904423  $  8992541507     $    35474191  $   764268812  $   138095812  $    63993620  $       0      $       0      $      97      $           0  $              $1.825502      $35474192.000000      $48.815571 $8.820491 $4.087417 $     5.53  $     2.16  
55305 $  3294   $  1266232273  $  2677803078     $     1221539  $    14721411  $    13316058  $    10869480  $      11      $       0      $      97      $           0  $              $0.472862      $1221539.000000      $3.282823 $2.969434 $2.423856 $     1.11  $     1.23  
55303 $  3296   $  2920172862  $  1409391544     $     4288224  $   131712834  $    19093113  $     7770028  $       0      $       0      $      97      $           0  $              $2.071939      $4288224.000000      $29.269518 $4.242914 $1.726673 $     6.90  $     2.46  
55305 $  4118   $  3607362501  $  7745359679     $     3049722  $    39817526  $    36186292  $    30243840  $      26      $       0      $      97      $           0  $              $0.465745      $3049722.000000      $3.092623 $2.810586 $2.349036 $     1.10  $     1.20  
55305 $  4120   $     2310003  $     5830013     $         938  $       18441  $       18430  $       18135  $       0      $       0      $      97      $           0  $              $0.396226      $938.000000      $0.590112 $0.589760 $0.580320 $     1.00  $     1.02  
55305 $  5122   $  4164305655  $  9087634100     $     3781117  $    45221698  $    41291604  $    34569566  $      37      $       0      $      97      $           0  $              $0.458239      $3781117.000000      $2.888412 $2.637388 $2.208036 $     1.10  $     1.19  
55329 $  1002   $  3758063998  $  5047229177     $    11457559  $   136939163  $    26109268  $    13596121  $       0      $       0      $      97      $           0  $              $0.744580      $11457559.000000      $8.746614 $1.667658 $0.868415 $     5.24  $     1.92  
55305 $  6125   $  4275070093  $  9262797745     $     4101868  $    47457119  $    43167414  $    35808684  $      38      $       0      $      97      $           0  $              $0.461531      $4101868.000000      $3.028171 $2.754451 $2.284901 $     1.10  $     1.21  
55329 $  2004   $  5006447987  $  5792599423     $    16880568  $   197252669  $    37670884  $    21526589  $       0      $       0      $      97      $           0  $              $0.864284      $16880568.000000      $12.598973 $2.406124 $1.374952 $     5.24  $     1.75  
55305 $  7128   $  4097703495  $  9037404764     $     4045801  $    44943318  $    41138171  $    34025846  $      47      $       0      $      97      $           0  $              $0.453416      $4045801.000000      $2.867769 $2.624968 $2.171141 $     1.09  $     1.21  
55329 $  3006   $ 16454798042  $  8985479341     $    35707875  $   766227703  $   125661277  $    65112721  $       0      $       0      $      97      $           0  $              $1.831266      $35707876.000000      $48.940693 $8.026269 $4.158896 $     6.10  $     1.93  
55305 $  7439   $  1347079362  $  2891289996     $     1275683  $    15297286  $    13891552  $    11422266  $      12      $       0      $      97      $           0  $              $0.465909      $1275683.000000      $3.147995 $2.858712 $2.350563 $     1.10  $     1.22  
55329 $  3318   $  3246107924  $  1671690952     $     6148314  $   149438795  $    22470066  $    11048610  $       0      $       0      $      97      $           0  $              $1.941811      $6148314.000000      $30.654114 $4.609244 $2.266382 $     6.65  $     2.03  
55305 $  7819   $  1674291465  $  3546831366     $     1473843  $    18867822  $    17058162  $    14110583  $      11      $       0      $      97      $           0  $              $0.472053      $1473843.000000      $3.177738 $2.872954 $2.376519 $     1.11  $     1.21  
55334 $  1004   $  4422515162  $  5371811770     $    14106566  $   168234028  $    36292846  $    15966528  $      27      $       0      $      65      $           0  $              $0.823282      $14106566.000000      $10.724082 $2.313488 $1.017787 $     4.64  $     2.27  
