PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56037 $  1003   $  4913290004  $  8823183480     $    27003736  $   215546700  $   144102765  $   139716650  $      47      $       0      $      97      $           0  $              $0.556861      $27003736.000000      $13.753728 $9.194992 $8.915121 $     1.50  $     1.03  
56035 $  1003   $  2372904342  $  8769992067     $     8365366  $   269055837  $   262593120  $     8790013  $       0      $       0      $      97      $           0  $              $0.270571      $8365366.000000      $17.168070 $16.755693 $0.560878 $     1.02  $    29.87  
56037 $  2005   $  5106572352  $  9102637565     $    29047867  $   231244635  $   155037582  $   150419717  $      48      $       0      $      97      $           0  $              $0.560999      $29047868.000000      $14.770117 $9.902600 $9.607646 $     1.49  $     1.03  
56035 $  2005   $  2407453947  $  9099023045     $     8723578  $   277375176  $   270647080  $     8723587  $       0      $       0      $      97      $           0  $              $0.264584      $8723578.000000      $17.716578 $17.286839 $0.557195 $     1.02  $    31.02  
56037 $  3007   $  5118986544  $  9100180948     $    28951845  $   231839517  $   155000528  $   150362420  $      48      $       0      $      97      $           0  $              $0.562515      $28951844.000000      $14.808113 $9.900233 $9.603987 $     1.50  $     1.03  
56035 $  3007   $  2405927638  $  9096479206     $     8715028  $   277237586  $   270486552  $     8714762  $       0      $       0      $      97      $           0  $              $0.264490      $8715028.000000      $17.707790 $17.276587 $0.556632 $     1.02  $    31.04  
56037 $  4009   $  5161983654  $  9100234514     $    30042801  $   238646529  $   159647586  $   154898291  $      48      $       0      $      97      $           0  $              $0.567236      $30042800.000000      $15.242892 $10.197051 $9.893703 $     1.49  $     1.03  
56035 $  4009   $  2377536577  $  9097535181     $     8667005  $   274167979  $   267357158  $     8666471  $       0      $       0      $      97      $           0  $              $0.261339      $8667005.000000      $17.511726 $17.076704 $0.553547 $     1.03  $    30.85  
56037 $  5011   $  5131708935  $  9110244859     $    29254080  $   233969722  $   156319677  $   151656186  $      48      $       0      $      97      $           0  $              $0.563290      $29254080.000000      $14.944174 $9.984490 $9.686623 $     1.50  $     1.03  
56035 $  5011   $  2433770171  $  9099071212     $     8677153  $   272749699  $   266077851  $     8937282  $       0      $       0      $      97      $           0  $              $0.267475      $8677153.000000      $17.421139 $16.994993 $0.570844 $     1.03  $    29.77  
56037 $  6013   $  5108837414  $  9106542963     $    29064227  $   231330432  $   155108780  $   150487678  $      48      $       0      $      97      $           0  $              $0.561007      $29064228.000000      $14.775597 $9.907147 $9.611987 $     1.49  $     1.03  
56035 $  6013   $  2408026473  $  9103503782     $     8727507  $   277442641  $   270713304  $     8727494  $       0      $       0      $      97      $           0  $              $0.264516      $8727507.000000      $17.720888 $17.291069 $0.557445 $     1.02  $    31.02  
56037 $  7015   $  5119763477  $  9110187731     $    29042048  $   231900724  $   155209805  $   150578477  $      48      $       0      $      97      $           0  $              $0.561982      $29042048.000000      $14.812022 $9.913601 $9.617787 $     1.49  $     1.03  
56035 $  7015   $  2407967473  $  9107476060     $     8722523  $   277466643  $   270715232  $     8722307  $       0      $       0      $      97      $           0  $              $0.264395      $8722523.000000      $17.722422 $17.291193 $0.557113 $     1.02  $    31.04  
56037 $  8017   $  5125129719  $  9109869609     $    29014327  $   232153484  $   155197019  $   150559220  $      48      $       0      $      97      $           0  $              $0.562591      $29014328.000000      $14.828167 $9.912784 $9.616557 $     1.50  $     1.03  
56035 $  8017   $  2408813318  $  9107077854     $     8729906  $   277524275  $   270798656  $     8729417  $       0      $       0      $      97      $           0  $              $0.264499      $8729906.000000      $17.726103 $17.296520 $0.557568 $     1.02  $    31.02  
56037 $  9019   $  5118642797  $  9109437501     $    29355759  $   233277072  $   156300931  $   151656271  $      48      $       0      $      97      $           0  $              $0.561905      $29355760.000000      $14.899933 $9.983293 $9.686628 $     1.49  $     1.03  
56035 $  9019   $  2433832696  $  9098305851     $     8693464  $   272787430  $   266122323  $     8953826  $       0      $       0      $      97      $           0  $              $0.267504      $8693464.000000      $17.423548 $16.997833 $0.571901 $     1.03  $    29.72  
56037 $ 10021   $  5179646991  $  9110214984     $    30005869  $   239553141  $   159830120  $   155053474  $      48      $       0      $      97      $           0  $              $0.568554      $30005868.000000      $15.300799 $10.208710 $9.903615 $     1.50  $     1.03  
56035 $ 10021   $  2377840193  $  9107877221     $     8647832  $   274188692  $   267391344  $     8647792  $       0      $       0      $      97      $           0  $              $0.261075      $8647832.000000      $17.513050 $17.078888 $0.552354 $     1.03  $    30.92  
56037 $ 11023   $  5111639834  $  9110562464     $    29084527  $   231502095  $   155199265  $   150571236  $      48      $       0      $      97      $           0  $              $0.561067      $29084528.000000      $14.786561 $9.912927 $9.617324 $     1.49  $     1.03  
56035 $ 11023   $  2407236706  $  9106990909     $     8717418  $   277383083  $   270629411  $     8717169  $       0      $       0      $      97      $           0  $              $0.264328      $8717418.000000      $17.717083 $17.285711 $0.556785 $     1.02  $    31.05  
56037 $ 12025   $  5113979296  $  9104931488     $    29000544  $   231612065  $   155064300  $   150439166  $      48      $       0      $      97      $           0  $              $0.561671      $29000544.000000      $14.793585 $9.904306 $9.608889 $     1.49  $     1.03  
56035 $ 12025   $  2406554238  $  9102205504     $     8728952  $   277272955  $   270558258  $     8728611  $       0      $       0      $      97      $           0  $              $0.264392      $8728952.000000      $17.710049 $17.281168 $0.557516 $     1.02  $    31.00  
56037 $ 13027   $  5123976445  $  9110489647     $    29010550  $   232113581  $   155157318  $   150523873  $      48      $       0      $      97      $           0  $              $0.562426      $29010550.000000      $14.825618 $9.910248 $9.614299 $     1.50  $     1.03  
