PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56329 $  1003   $ 21329729168  $  8812602580     $      746857  $   345931389  $   422770830  $     4478744  $      49      $       0      $      97      $           0  $              $2.420367      $746857.000000      $22.073389 $26.976402 $0.285782 $     0.82  $    94.39  
56327 $  1003   $  3296732492  $  8794129955     $     4565820  $   368594225  $   364322454  $     4997878  $       0      $       0      $      97      $           0  $              $0.374879      $4565820.000000      $23.519472 $23.246897 $0.318907 $     1.01  $    72.90  
56329 $  2006   $ 22122872671  $  9128944472     $      652713  $   358178576  $   435296206  $     4103267  $      51      $       0      $      97      $           0  $              $2.423377      $652713.000000      $22.854864 $27.775629 $0.261824 $     0.82  $   106.09  
56327 $  2006   $  3414785879  $  9161754173     $     4720398  $   386038123  $   381603820  $     4720412  $       0      $       0      $      97      $           0  $              $0.372722      $4720398.000000      $24.632542 $24.349594 $0.301203 $     1.01  $    80.84  
56329 $  3009   $ 22047684032  $  9122121199     $      733360  $   357236506  $   438148288  $     4477183  $      51      $       0      $      97      $           0  $              $2.416947      $733360.000000      $22.794752 $27.957617 $0.285683 $     0.82  $    97.86  
56327 $  3009   $  3434423540  $  9154429758     $     4884095  $   383698911  $   379223720  $     5094482  $       0      $       0      $      97      $           0  $              $0.375165      $4884095.000000      $24.483280 $24.197725 $0.325072 $     1.01  $    74.44  
56329 $  4011   $ 22157854420  $  9130734206     $      659813  $   359015323  $   438710621  $     4129129  $      51      $       0      $      97      $           0  $              $2.426733      $659813.000000      $22.931118 $28.021437 $0.263737 $     0.82  $   106.25  
56327 $  4011   $  3415447347  $  9163263581     $     4651903  $   386113278  $   381678787  $     4651914  $       0      $       0      $      97      $           0  $              $0.372733      $4651903.000000      $24.661926 $24.378685 $0.297128 $     1.01  $    82.05  
56329 $  5013   $ 22155225831  $  9128962285     $      636114  $   358781944  $   436359539  $     3924753  $      51      $       0      $      97      $           0  $              $2.426916      $636114.000000      $22.916212 $27.871269 $0.250683 $     0.82  $   111.18  
56327 $  5013   $  3414954905  $  9161697574     $     4632804  $   386099145  $   381620444  $     4632817  $       0      $       0      $      97      $           0  $              $0.372743      $4632804.000000      $24.661022 $24.374958 $0.295908 $     1.01  $    82.37  
56329 $  6015   $ 22164135830  $  9130643392     $      728624  $   359024154  $   437505723  $     4433621  $      51      $       0      $      97      $           0  $              $2.427445      $728624.000000      $22.931683 $27.944477 $0.283185 $     0.82  $    98.68  
56327 $  6015   $  3436561224  $  9156275227     $     4803471  $   383878137  $   379441829  $     5014710  $       0      $       0      $      97      $           0  $              $0.375323      $4803471.000000      $24.519163 $24.235806 $0.320301 $     1.01  $    75.67  
56329 $  7017   $ 22159454455  $  9130483485     $      744281  $   358877298  $   437631511  $     4472799  $      51      $       0      $      97      $           0  $              $2.426975      $744281.000000      $22.922304 $27.952513 $0.285688 $     0.82  $    97.84  
56327 $  7017   $  3415148678  $  9163047664     $     4695729  $   386108318  $   381652172  $     4695766  $       0      $       0      $      97      $           0  $              $0.372709      $4695729.000000      $24.661610 $24.376984 $0.299929 $     1.01  $    81.28  
56329 $  8019   $ 22191551332  $  9129540022     $      640345  $   359446524  $   438193576  $     4007987  $      51      $       0      $      97      $           0  $              $2.430742      $640345.000000      $22.958660 $27.988411 $0.255999 $     0.82  $   109.33  
56327 $  8019   $  3414849170  $  9161834196     $     4697675  $   386062753  $   381609227  $     4697666  $       0      $       0      $      97      $           0  $              $0.372725      $4697675.000000      $24.658699 $24.374241 $0.300051 $     1.01  $    81.23  
56329 $  9021   $ 22141255020  $  9128157752     $      679196  $   358526704  $   436862253  $     4219704  $      51      $       0      $      97      $           0  $              $2.425600      $679196.000000      $22.899910 $27.903378 $0.269522 $     0.82  $   103.53  
56327 $  9021   $  3436008918  $  9153852360     $     4829635  $   383836008  $   379401562  $     5041017  $       0      $       0      $      97      $           0  $              $0.375362      $4829635.000000      $24.516472 $24.233234 $0.321981 $     1.01  $    75.26  
56329 $ 10024   $ 22163535599  $  9130469805     $      668907  $   358868864  $   436831379  $     4092221  $      51      $       0      $      97      $           0  $              $2.427426      $668907.000000      $22.898911 $27.873589 $0.261119 $     0.82  $   106.75  
56327 $ 10023   $  3415187794  $  9162417134     $     4722231  $   386106855  $   381656678  $     4722247  $       0      $       0      $      97      $           0  $              $0.372739      $4722231.000000      $24.661516 $24.377272 $0.301621 $     1.01  $    80.82  
56329 $ 11027   $ 22179431664  $  9130312151     $      668490  $   359170888  $   436661014  $     4176943  $      51      $       0      $      97      $           0  $              $2.429209      $668490.000000      $22.918182 $27.862717 $0.266525 $     0.82  $   104.54  
56327 $ 11026   $  3414865617  $  9161821284     $     4700620  $   386066292  $   381612973  $     4700591  $       0      $       0      $      97      $           0  $              $0.372728      $4700620.000000      $24.634340 $24.350180 $0.299938 $     1.01  $    81.18  
56329 $ 12030   $ 22145195885  $  9128298806     $      715164  $   358492530  $   435589541  $     4406692  $      51      $       0      $      97      $           0  $              $2.425994      $715164.000000      $22.874899 $27.794348 $0.281185 $     0.82  $    98.85  
