PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57953 $  1004   $ 16511753527  $  8864073082     $     4661987  $   363111366  $   326811195  $    71588055  $      48      $       0      $      97      $           0  $              $1.862773      $4661987.000000      $23.146542 $20.832586 $4.563382 $     1.11  $     4.57  
57951 $  1004   $  4023844499  $  7312072732     $     3055987  $    81362626  $    64228759  $    61184547  $       0      $       0      $      97      $           0  $              $0.550301      $3055987.000000      $5.186462 $4.094264 $3.900210 $     1.27  $     1.05  
57953 $  2007   $ 17082018984  $  9119676971     $     4952164  $   377208099  $   338755615  $    77016651  $      52      $       0      $      97      $           0  $              $1.873095      $4952164.000000      $24.069111 $21.615513 $4.914322 $     1.11  $     4.40  
57951 $  2007   $  5006695204  $  9045195877     $     3716322  $   102217345  $    80830983  $    76954851  $       0      $       0      $      97      $           0  $              $0.553520      $3716322.000000      $6.522343 $5.157710 $4.910379 $     1.26  $     1.05  
57953 $  3010   $ 17082097877  $  9118706915     $     4950405  $   377190688  $   338767651  $    77025826  $      52      $       0      $      97      $           0  $              $1.873303      $4950405.000000      $24.068001 $21.616282 $4.914908 $     1.11  $     4.40  
57951 $  3010   $  5005938015  $  9044731792     $     3714597  $   102206359  $    80822249  $    76946037  $       0      $       0      $      97      $           0  $              $0.553465      $3714597.000000      $6.521642 $5.157153 $4.909817 $     1.26  $     1.05  
57953 $  4012   $ 17080263629  $  9118526352     $     4949610  $   377123140  $   338725727  $    77016812  $      52      $       0      $      97      $           0  $              $1.873139      $4949610.000000      $24.087706 $21.635176 $4.919238 $     1.11  $     4.40  
57951 $  4013   $  5005167475  $  9044045121     $     3716591  $   102194714  $    80804118  $    76935773  $       0      $       0      $      97      $           0  $              $0.553421      $3716591.000000      $6.520899 $5.155996 $4.909162 $     1.26  $     1.05  
57953 $  5014   $ 17013347055  $  9119282132     $     4976336  $   375522877  $   337305580  $    76923674  $      52      $       0      $      97      $           0  $              $1.865645      $4976336.000000      $23.985493 $21.544468 $4.913289 $     1.11  $     4.38  
57951 $  5016   $  4990865431  $  9044336996     $     3681512  $   101464069  $    80371463  $    76499495  $       0      $       0      $      97      $           0  $              $0.551822      $3681512.000000      $6.474278 $5.128388 $4.881324 $     1.26  $     1.05  
57953 $  6016   $ 17113598766  $  9118481359     $     4940476  $   377837188  $   339409310  $    77106888  $      52      $       0      $      97      $           0  $              $1.876804      $4940476.000000      $24.133312 $21.678839 $4.924991 $     1.11  $     4.40  
57951 $  6019   $  4923685343  $  9045095812     $     3519650  $    98142229  $    78389717  $    74532333  $       0      $       0      $      97      $           0  $              $0.544349      $3519650.000000      $6.262316 $5.001936 $4.755802 $     1.25  $     1.05  
57953 $  7018   $ 17085354669  $  9118374286     $     4945142  $   377238283  $   338823574  $    77043990  $      52      $       0      $      97      $           0  $              $1.873728      $4945142.000000      $24.095058 $21.641426 $4.920974 $     1.11  $     4.40  
57951 $  7022   $  4973437721  $  9050720943     $     3670018  $   101222571  $    80202725  $    76440463  $       0      $       0      $      97      $           0  $              $0.549507      $3670018.000000      $6.458868 $5.117622 $4.877557 $     1.26  $     1.05  
57953 $  7425   $  7303969618  $  3817497659     $     1690455  $   160289610  $   145070226  $    25680161  $      19      $       0      $      97      $           0  $              $1.913287      $1690455.000000      $25.205246 $22.812025 $4.038158 $     1.10  $     5.65  
57951 $  7430   $  1279442697  $  2188949268     $     1028698  $    27146980  $    20781411  $    19811756  $       0      $       0      $      97      $           0  $              $0.584501      $1028698.000000      $4.258350 $3.259829 $3.107726 $     1.31  $     1.05  
