PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58766 $  1003   $  3377432457  $  8890896525     $    14636574  $   237607298  $   203964146  $    34479611  $      41      $       0      $      97      $           0  $              $0.379875      $14636574.000000      $15.161383 $13.014661 $2.200095 $     1.16  $     5.92  
58764 $  1004   $  1229040118  $  6922312031     $     1485106  $   244817295  $   243378908  $     1918883  $       0      $       0      $      97      $           0  $              $0.177548      $1485106.000000      $15.605884 $15.514194 $0.122319 $     1.01  $   126.83  
58766 $  2006   $  3530223044  $  9157733568     $    15630943  $   254835531  $   218043753  $    39841416  $      41      $       0      $      97      $           0  $              $0.385491      $15630943.000000      $16.260693 $13.913061 $2.542224 $     1.17  $     5.47  
58764 $  2007   $  1152383511  $  6307942300     $     1656821  $   217103872  $   215992004  $     1711792  $       0      $       0      $      97      $           0  $              $0.182688      $1656821.000000      $13.853088 $13.782142 $0.109227 $     1.01  $   126.18  
58766 $  3008   $  3487923280  $  9366903019     $    16080601  $   263450655  $   227333894  $    38695111  $      41      $       0      $      97      $           0  $              $0.372367      $16080601.000000      $16.827188 $14.520329 $2.471544 $     1.16  $     5.88  
58764 $  3010   $  1099903531  $  5863872366     $     1616745  $   197921168  $   196917475  $     1672013  $       0      $       0      $      97      $           0  $              $0.187573      $1616745.000000      $12.629067 $12.565023 $0.106689 $     1.01  $   117.77  
58766 $  4010   $  3537435896  $  9373218447     $    17013951  $   277553303  $   238288725  $    40625895  $      39      $       0      $      97      $           0  $              $0.377398      $17013952.000000      $17.727957 $15.220038 $2.594868 $     1.16  $     5.87  
58764 $  4012   $   958165295  $  5172072714     $     1689343  $   176220702  $   175355876  $     1744284  $       0      $       0      $      97      $           0  $              $0.185257      $1689343.000000      $11.255614 $11.200375 $0.111411 $     1.00  $   100.53  
58766 $  5012   $  3514905735  $  9275225432     $    16685531  $   271945901  $   233274653  $    40317446  $      42      $       0      $      97      $           0  $              $0.378956      $16685531.000000      $17.369797 $14.899778 $2.575166 $     1.17  $     5.79  
58764 $  5014   $  1245310650  $  6915676615     $     1584249  $   237733960  $   236501009  $     1581499  $       0      $       0      $      97      $           0  $              $0.180071      $1584249.000000      $15.184604 $15.105853 $0.101014 $     1.01  $   149.54  
58766 $  6014   $  3527765953  $  9160609988     $    15254016  $   248806866  $   213116379  $    39305917  $      41      $       0      $      97      $           0  $              $0.385102      $15254016.000000      $15.891855 $13.612225 $2.510557 $     1.17  $     5.42  
58764 $  6016   $  1175435535  $  6463430756     $     1590324  $   223442710  $   222324077  $     1647088  $       0      $       0      $      97      $           0  $              $0.181859      $1590324.000000      $14.271790 $14.200340 $0.105203 $     1.01  $   134.98  
58766 $  7016   $  3412503334  $  9231726591     $    16699479  $   273940348  $   236378970  $    38730911  $      41      $       0      $      97      $           0  $              $0.369650      $16699479.000000      $17.497189 $15.098059 $2.473831 $     1.16  $     6.10  
58764 $  7019   $  1045841394  $  5768127793     $     1634947  $   200857386  $   199759571  $     1691540  $       0      $       0      $      97      $           0  $              $0.181314      $1634947.000000      $12.816423 $12.746373 $0.107935 $     1.01  $   118.09  
58766 $  8018   $  3537843786  $  9373036553     $    16992999  $   276958103  $   237757676  $    40633484  $      40      $       0      $      97      $           0  $              $0.377449      $16993000.000000      $17.689939 $15.186119 $2.595352 $     1.16  $     5.85  
58764 $  8021   $   973757790  $  5290173745     $     1704774  $   180914182  $   180021304  $     1759660  $       0      $       0      $      97      $           0  $              $0.184069      $1704774.000000      $11.555396 $11.498367 $0.112393 $     1.00  $   102.30  
58766 $  9021   $  3580343700  $  9295306536     $    15694823  $   255437560  $   218614941  $    40161621  $      42      $       0      $      97      $           0  $              $0.385178      $15694823.000000      $16.299107 $13.949508 $2.562656 $     1.17  $     5.44  
58764 $  9024   $  1243164285  $  6673179924     $     1563560  $   222657265  $   221569763  $     1560676  $       0      $       0      $      97      $           0  $              $0.186293      $1563560.000000      $14.207442 $14.138050 $0.099585 $     1.00  $   141.97  
58766 $ 10024   $  3416473204  $  9177843594     $    16012151  $   262680077  $   226595655  $    38211399  $      42      $       0      $      97      $           0  $              $0.372252      $16012151.000000      $16.761242 $14.458745 $2.438215 $     1.16  $     5.93  
58764 $ 10027   $  1150197813  $  6492779539     $     1584283  $   229755698  $   228546912  $     1639195  $       0      $       0      $      97      $           0  $              $0.177150      $1584283.000000      $14.660383 $14.583253 $0.104595 $     1.01  $   139.43  
58764 $ 10689   $   562295174  $  3077764451     $      981845  $   107775097  $   107265121  $     1032780  $       0      $       0      $      97      $           0  $              $0.182696      $981845.000000      $10.419345 $10.370042 $0.099846 $     1.00  $   103.86  
58766 $ 10686   $  1932847586  $  5124017021     $     9662698  $   157784459  $   135357219  $    22447512  $      24      $       0      $      97      $           0  $              $0.377213      $9662698.000000      $15.254087 $13.085894 $2.170152 $     1.17  $     6.03  
58764 $ 11130   $   620179286  $  3605316222     $        3733  $   130870043  $   130197783  $        3731  $       0      $       0      $      97      $           0  $              $0.172018      $3733.000000      $18.992477 $18.894917 $0.000541 $     1.01  $ 34896.21  
58764 $ 11133   $      481258  $     2091006     $           2  $       55369  $       55240  $           0  $       0      $       0      $      97      $           0  $              $0.230156      $2.000000      $1.181205 $1.178453 $0.000000 $     1.00  $      inf  
58764 $ 12136   $  1082562370  $  5716238773     $     1577182  $   192411121  $   191443782  $     1633362  $      40      $       0      $      97      $           0  $              $0.189384      $1577182.000000      $12.277479 $12.215755 $0.104222 $     1.01  $   117.21  
58784 $  1003   $  3499856619  $  9088429446     $    14687081  $   238517087  $   191825382  $    35388779  $       0      $       0      $      97      $           0  $              $0.385089      $14687081.000000      $15.219436 $12.240104 $2.258108 $     1.24  $     5.42  
58784 $  2006   $  3549420412  $  9271709027     $    17006540  $   277544508  $   223056319  $    40649638  $      40      $       0      $      97      $           0  $              $0.382823      $17006540.000000      $17.709719 $14.232905 $2.593796 $     1.24  $     5.49  
58764 $ 13139   $  1000552359  $  5321826279     $     1666490  $   176701323  $   175823525  $     1663421  $       0      $       0      $      97      $           0  $              $0.188009      $1666490.000000      $11.275060 $11.219049 $0.106141 $     1.00  $   105.70  
58784 $  2096   $   377088777  $   808352150     $      950194  $    14749148  $    11181425  $     4128100  $       3      $       0      $      97      $           0  $              $0.466491      $950194.000000      $10.488283 $7.951236 $2.935538 $     1.32  $     2.71  
58764 $ 13229   $    30354047  $   199278312     $      135700  $     7530124  $     7498890  $      134486  $       0      $       0      $      97      $           0  $              $0.152320      $135700.000000      $5.354755 $5.332544 $0.095634 $     1.00  $    55.76  
