PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60032 $  1003   $  2943033785  $  8723954970     $    10267793  $   367549573  $   364904361  $    10690246  $      45      $       0      $      97      $           0  $              $0.337351      $10267793.000000      $23.452814 $23.284027 $0.682129 $     1.01  $    34.13  
60030 $  1003   $  3321473632  $  8775636477     $    14541788  $   235633399  $   205449521  $    34222620  $       0      $       0      $      97      $           0  $              $0.378488      $14541788.000000      $15.035431 $13.109441 $2.183697 $     1.15  $     6.00  
60032 $  2005   $  3033725317  $  9116817550     $    11113591  $   384453574  $   381718277  $    11113632  $      46      $       0      $      97      $           0  $              $0.332761      $11113591.000000      $24.555916 $24.381207 $0.709853 $     1.01  $    34.35  
60030 $  2005   $  3508695828  $  9136418900     $    15053261  $   244786081  $   212892991  $    39166481  $       0      $       0      $      97      $           0  $              $0.384034      $15053261.000000      $15.635039 $13.597956 $2.501652 $     1.15  $     5.44  
60032 $  3008   $  3040008836  $  9115410913     $    11207181  $   385191605  $   382491167  $    11207050  $      47      $       0      $      97      $           0  $              $0.333502      $11207181.000000      $24.578527 $24.406216 $0.715106 $     1.01  $    34.13  
60030 $  3008   $  3355514154  $  9134528116     $    16721366  $   273583712  $   239867953  $    38521306  $       0      $       0      $      97      $           0  $              $0.367344      $16721366.000000      $17.456987 $15.305632 $2.457989 $     1.14  $     6.23  
60032 $  4011   $  3031384340  $  9117785831     $    11130614  $   384063786  $   381431003  $    11130686  $      46      $       0      $      97      $           0  $              $0.332469      $11130614.000000      $24.506561 $24.338570 $0.710233 $     1.01  $    34.27  
60030 $  4011   $  3505500192  $  9136527135     $    15646327  $   254189457  $   220926061  $    39808076  $       0      $       0      $      97      $           0  $              $0.383680      $15646327.000000      $16.219467 $14.096977 $2.540097 $     1.15  $     5.55  
60032 $  5013   $  3039103701  $  9118847399     $    11163464  $   385010524  $   382388685  $    11163480  $      46      $       0      $      97      $           0  $              $0.333277      $11163464.000000      $24.591492 $24.424026 $0.713037 $     1.01  $    34.25  
60030 $  5014   $  3377882081  $  9136783662     $    16084418  $   263145099  $   230682968  $    38137509  $       0      $       0      $      97      $           0  $              $0.369701      $16084418.000000      $16.790915 $14.719552 $2.433500 $     1.14  $     6.05  
60032 $  6015   $  3030787739  $  9116857165     $    11150783  $   384024377  $   381340989  $    11150746  $      47      $       0      $      97      $           0  $              $0.332438      $11150783.000000      $24.528503 $24.357109 $0.712223 $     1.01  $    34.20  
60030 $  6016   $  3466441190  $  9134163830     $    16280937  $   264538761  $   230297228  $    39916877  $       0      $       0      $      97      $           0  $              $0.379503      $16280937.000000      $16.896688 $14.709603 $2.549581 $     1.15  $     5.77  
60032 $  7017   $  3031963284  $  9111602616     $    11131646  $   384107744  $   381476618  $    11131697  $      46      $       0      $      97      $           0  $              $0.332759      $11131646.000000      $24.533829 $24.365772 $0.711007 $     1.01  $    34.27  
60030 $  7018   $  3410737047  $  9129608173     $    15485250  $   252733882  $   221243444  $    38005478  $       0      $       0      $      97      $           0  $              $0.373591      $15485250.000000      $16.142683 $14.131317 $2.427496 $     1.14  $     5.82  
60032 $  8019   $  3031229856  $  9112917919     $    11167407  $   384027086  $   381393967  $    11167357  $      47      $       0      $      97      $           0  $              $0.332630      $11167407.000000      $24.528675 $24.360493 $0.713284 $     1.01  $    34.15  
60030 $  8020   $  3431335878  $  9131780145     $    16869231  $   274270456  $   239108955  $    40014588  $       0      $       0      $      97      $           0  $              $0.375758      $16869232.000000      $17.518272 $15.272429 $2.555822 $     1.15  $     5.98  
