PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60139 $  1003   $ 16851472953  $  8933035283     $     1006682  $   374616599  $   498302199  $     3623273  $      46      $       0      $      97      $           0  $              $1.886422      $1006682.000000      $23.903751 $31.795954 $0.231196 $     0.75  $   137.53  
60137 $  1003   $  3379414693  $  8828248539     $    14657378  $   237649361  $   196992465  $    34579821  $       0      $       0      $      97      $           0  $              $0.382796      $14657378.000000      $15.164067 $12.569808 $2.206489 $     1.21  $     5.70  
60139 $  2005   $ 17362602770  $  9142067251     $      980434  $   385676584  $   511322740  $     3360409  $      47      $       0      $      97      $           0  $              $1.899199      $980434.000000      $24.634033 $32.659336 $0.214637 $     0.75  $   152.16  
60137 $  2005   $  3537272369  $  9139672281     $    15902867  $   258202388  $   213547343  $    40095468  $       0      $       0      $      97      $           0  $              $0.387024      $15902867.000000      $16.491968 $13.639750 $2.560988 $     1.21  $     5.33  
60139 $  3007   $ 17389750920  $  9141105710     $      956918  $   386206416  $   511798044  $     3257581  $      47      $       0      $      97      $           0  $              $1.902368      $956918.000000      $24.667873 $32.689697 $0.208069 $     0.75  $   157.11  
60137 $  3007   $  3439565356  $  9139137959     $    15869812  $   259705876  $   216258011  $    38347060  $       0      $       0      $      97      $           0  $              $0.376356      $15869812.000000      $16.587999 $13.812887 $2.449313 $     1.20  $     5.64  
60139 $  4009   $ 17374328610  $  9140392186     $      971074  $   386204300  $   512201139  $     3284196  $      47      $       0      $      97      $           0  $              $1.900830      $971074.000000      $24.667740 $32.715443 $0.209769 $     0.75  $   155.96  
60137 $  4009   $  3477345867  $  9138328263     $    16998122  $   277123665  $   229665532  $    40309567  $       0      $       0      $      97      $           0  $              $0.380523      $16998122.000000      $17.700514 $14.669256 $2.574663 $     1.21  $     5.70  
60139 $  5012   $ 17343960752  $  9143213465     $      974469  $   385812931  $   511933836  $     3331987  $      47      $       0      $      97      $           0  $              $1.896922      $974469.000000      $24.618174 $32.665768 $0.212609 $     0.75  $   153.64  
60137 $  5011   $  3543740553  $  9140399599     $    15765037  $   256336862  $   211953195  $    40060801  $       0      $       0      $      97      $           0  $              $0.387701      $15765037.000000      $16.372814 $13.537929 $2.558774 $     1.21  $     5.29  
60139 $  6015   $ 17400723654  $  9142156088     $      948074  $   386994529  $   513176364  $     3223250  $      47      $       0      $      97      $           0  $              $1.903350      $948074.000000      $24.693569 $32.745052 $0.205671 $     0.75  $   159.21  
60137 $  6014   $  3436326827  $  9139521218     $    15978039  $   261597973  $   217872575  $    38402393  $       0      $       0      $      97      $           0  $              $0.375985      $15978039.000000      $16.692194 $13.902139 $2.450402 $     1.20  $     5.67  
60137 $  6386   $  1325847970  $  3442878554     $     6784498  $   110030925  $    90798158  $    15903138  $       0      $       0      $      97      $           0  $              $0.385099      $6784498.000000      $18.930052 $15.621189 $2.736024 $     1.21  $     5.71  
60139 $  6387   $  4871231144  $  2565089992     $      252760  $   107869694  $   141885361  $      841342  $      16      $       0      $      97      $           0  $              $1.899049      $252760.000000      $18.558228 $24.410385 $0.144747 $     0.76  $   168.64  
60137 $  7105   $  2619106777  $  6858438916     $    12188865  $   199140512  $   165213746  $    29680835  $       0      $       0      $      97      $           0  $              $0.381881      $12188865.000000      $17.725998 $14.706091 $2.641966 $     1.21  $     5.57  
60137 $  7107   $      302263  $     1392507     $        4008  $       79622  $       68377  $        4008  $       0      $       0      $      97      $           0  $              $0.217064      $4008.000000      $2.547904 $2.188064 $0.128256 $     1.16  $    17.06  
60137 $  8110   $  3441834570  $  9037915913     $    15112251  $   246916194  $   205338095  $    37832367  $      46      $       0      $      97      $           0  $              $0.380822      $15112251.000000      $15.755370 $13.102331 $2.414029 $     1.20  $     5.43  
60157 $  1002   $ 16943945112  $  8963284804     $     1024643  $   376625495  $   499576177  $     3726528  $       0      $       0      $      97      $           0  $              $1.890372      $1024643.000000      $24.055920 $31.909058 $0.238022 $     0.75  $   134.06  
60157 $  2004   $ 17279077923  $  9085339074     $      994816  $   384127147  $   508732607  $     3364514  $      47      $       0      $      97      $           0  $              $1.901864      $994816.000000      $24.535067 $32.493900 $0.214899 $     0.76  $   151.21  
60137 $  9112   $  3419155343  $  8846127866     $    15996383  $   261064121  $   215802481  $    38904794  $       0      $       0      $      97      $           0  $              $0.386514      $15996383.000000      $16.674755 $13.783792 $2.484937 $     1.21  $     5.55  
60157 $  3007   $ 17400878753  $  9144581916     $      971811  $   386711301  $   511617916  $     3312444  $      47      $       0      $      97      $           0  $              $1.902862      $971811.000000      $24.675497 $32.645611 $0.211362 $     0.76  $   154.45  
60137 $ 10115   $  3458503062  $  9142681537     $    15623243  $   255629072  $   212789927  $    38317190  $       0      $       0      $      97      $           0  $              $0.378281      $15623243.000000      $16.311327 $13.577822 $2.444965 $     1.20  $     5.55  
60157 $  3548   $  9347210712  $  4923394936     $      550722  $   208160252  $   275954614  $     1830783  $      25      $       0      $      97      $           0  $              $1.898529      $550722.000000      $24.625242 $32.645279 $0.216581 $     0.75  $   150.73  
60137 $ 10656   $  1855198453  $  4888720459     $     9662581  $   157265894  $   130158861  $    21981994  $       0      $       0      $      97      $           0  $              $0.379485      $9662581.000000      $18.604467 $15.397721 $2.600458 $     1.21  $     5.92  
