PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60274 $  1003   $  6740044287  $  9103625554     $      151998  $    16380665  $    18023612  $     3091060  $      42      $       0      $      97      $           0  $              $0.740369      $151998.000000      $1.045227 $1.150061 $0.197236 $     0.91  $     5.83  
60272 $  1003   $  3356791963  $  8834275317     $    14653098  $   237476821  $   200191495  $    34450311  $       0      $       0      $      97      $           0  $              $0.379974      $14653098.000000      $15.153057 $12.773933 $2.198225 $     1.19  $     5.81  
60274 $  2006   $  6786447654  $  9149979619     $      165058  $    16060870  $    17453217  $     3330938  $      43      $       0      $      97      $           0  $              $0.741690      $165058.000000      $1.024821 $1.113665 $0.212542 $     0.92  $     5.24  
60272 $  2005   $  3536282678  $  9149910380     $    15426376  $   250467433  $   210403579  $    39824623  $       0      $       0      $      97      $           0  $              $0.386483      $15426376.000000      $15.997920 $13.438951 $2.543689 $     1.19  $     5.28  
60274 $  3008   $  6772926282  $  9148824695     $      162760  $    17108633  $    19271087  $     3286362  $      43      $       0      $      97      $           0  $              $0.740306      $162760.000000      $1.092767 $1.230888 $0.209907 $     0.89  $     5.86  
60272 $  3007   $  3386819589  $  9148904535     $    16334852  $   267159625  $   226430244  $    38286015  $       0      $       0      $      97      $           0  $              $0.370189      $16334852.000000      $17.064089 $14.462610 $2.445414 $     1.18  $     5.91  
60274 $  4010   $  6777853921  $  9149356119     $      167157  $    15893763  $    17188565  $     3390242  $      43      $       0      $      97      $           0  $              $0.740801      $167157.000000      $1.015170 $1.097872 $0.216542 $     0.92  $     5.07  
60272 $  4009   $  3483436877  $  9149076726     $    16339280  $   265393097  $   223383787  $    40001349  $       0      $       0      $      97      $           0  $              $0.380742      $16339280.000000      $16.951256 $14.268026 $2.554976 $     1.19  $     5.58  
60274 $  5013   $  6785154323  $  9152333123     $      158911  $    16224350  $    17738265  $     3226980  $      43      $       0      $      97      $           0  $              $0.741358      $158911.000000      $1.035253 $1.131853 $0.205909 $     0.91  $     5.50  
60272 $  5011   $  3439540358  $  9152082819     $    15439706  $   252225749  $   213447978  $    38113563  $       0      $       0      $      97      $           0  $              $0.375821      $15439706.000000      $16.110228 $13.633404 $2.434399 $     1.18  $     5.60  
60274 $  6015   $  6776584672  $  9149769136     $      168440  $    17011711  $    19107353  $     3443180  $      43      $       0      $      97      $           0  $              $0.740629      $168440.000000      $1.086576 $1.220430 $0.219924 $     0.89  $     5.55  
60272 $  6013   $  3449403063  $  9150288001     $    17010723  $   276930327  $   233417219  $    40145495  $       0      $       0      $      97      $           0  $              $0.376972      $17010724.000000      $17.688166 $14.908884 $2.564183 $     1.19  $     5.81  
60274 $  7017   $  6780736262  $  9149261930     $      163820  $    15589094  $    16630016  $     3335155  $      43      $       0      $      97      $           0  $              $0.741124      $163820.000000      $0.995711 $1.062197 $0.213024 $     0.94  $     4.99  
60272 $  7015   $  3532906739  $  9148818346     $    15495454  $   251449641  $   211263896  $    39841232  $       0      $       0      $      97      $           0  $              $0.386160      $15495454.000000      $16.060656 $13.493902 $2.544749 $     1.19  $     5.30  
60274 $  8020   $  6792326301  $  9150132473     $      161182  $    15074324  $    15704826  $     3300228  $      43      $       0      $      97      $           0  $              $0.742320      $161182.000000      $0.961871 $1.002103 $0.210583 $     0.96  $     4.76  
60272 $  8017   $  3392009394  $  9149888362     $    16275288  $   266180278  $   225583548  $    38281685  $       0      $       0      $      97      $           0  $              $0.370716      $16275288.000000      $17.001534 $14.408530 $2.445138 $     1.18  $     5.89  
60274 $  9022   $  6788893284  $  9148018776     $      165905  $    14940102  $    15483132  $     3397782  $      43      $       0      $      97      $           0  $              $0.742116      $165905.000000      $0.954258 $0.988943 $0.217024 $     0.96  $     4.56  
60272 $  9019   $  3480876646  $  9147728832     $    16446948  $   267433423  $   225162534  $    40055985  $       0      $       0      $      97      $           0  $              $0.380518      $16446948.000000      $17.081575 $14.381639 $2.558466 $     1.19  $     5.62  
60274 $ 10024   $  6793908176  $  9151923854     $      157178  $    14308998  $    14360208  $     3217309  $      43      $       0      $      97      $           0  $              $0.742348      $157178.000000      $0.913948 $0.917219 $0.205497 $     1.00  $     4.46  
60272 $ 10021   $  3443570147  $  9151667958     $    15312399  $   250216672  $   211695833  $    38060735  $       0      $       0      $      97      $           0  $              $0.376278      $15312399.000000      $15.981903 $13.521491 $2.431025 $     1.18  $     5.56  
60272 $ 10583   $  1955123152  $  5187021164     $     9697407  $   158121705  $   133257629  $    22810316  $       0      $       0      $      97      $           0  $              $0.376926      $9697407.000000      $18.006742 $15.175246 $2.597616 $     1.19  $     5.84  
60274 $ 10587   $  3168857580  $  4342278048     $       78731  $     6591372  $     6686829  $     1558314  $      23      $       0      $      97      $           0  $              $0.729768      $78731.000000      $0.749286 $0.760137 $0.177144 $     0.99  $     4.29  
60272 $ 10705   $   420551522  $  1120229924     $     2387254  $    38884031  $    32677302  $     5081608  $       0      $       0      $      97      $           0  $              $0.375415      $2387254.000000      $20.398180 $17.142191 $2.665761 $     1.19  $     6.43  
60292 $  1004   $  6828409240  $  9167366920     $        1990  $    16343516  $    17841691  $       31754  $      30      $       0      $      65      $           0  $              $0.744860      $1990.000000      $1.041818 $1.137319 $0.002024 $     0.92  $   561.87  
