PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60507 $  1003   $  1234096990  $  6936675109     $     1503372  $   243719123  $   242458280  $     1931381  $      42      $       0      $      97      $           0  $              $0.177909      $1503372.000000      $15.551370 $15.470917 $0.123239 $     1.01  $   125.54  
60505 $  1003   $  3425744546  $  8906743754     $    14644242  $   237618841  $   203343265  $    34534905  $       0      $       0      $      97      $           0  $              $0.384624      $14644242.000000      $15.162120 $12.975043 $2.203623 $     1.17  $     5.89  
60507 $  2005   $  1166286757  $  6379910229     $     1688317  $   219202691  $   218086635  $     1739130  $      41      $       0      $      97      $           0  $              $0.182806      $1688317.000000      $14.000970 $13.929686 $0.111082 $     1.01  $   125.40  
60505 $  2005   $  3587009750  $  9231477757     $    15876460  $   258690853  $   220792743  $    40077678  $       0      $       0      $      97      $           0  $              $0.388563      $15876460.000000      $16.523169 $14.102530 $2.559852 $     1.17  $     5.51  
60507 $  3007   $  1098749417  $  5887320696     $     1683117  $   199744531  $   198689826  $     1734683  $      41      $       0      $      97      $           0  $              $0.186630      $1683117.000000      $12.758134 $12.690767 $0.110798 $     1.01  $   114.54  
60505 $  3007   $  3540566414  $  9365016151     $    15864175  $   259671402  $   223269109  $    38645302  $       0      $       0      $      97      $           0  $              $0.378063      $15864175.000000      $16.585798 $14.260701 $2.468363 $     1.16  $     5.78  
60507 $  4010   $   964177849  $  5216850847     $     1669865  $   178003510  $   177194049  $     1721493  $      40      $       0      $      97      $           0  $              $0.184820      $1669865.000000      $11.358150 $11.306499 $0.109846 $     1.00  $   102.93  
60505 $  4010   $  3578299179  $  9371046739     $    17015487  $   277529794  $   237512500  $    40649805  $       0      $       0      $      97      $           0  $              $0.381846      $17015488.000000      $17.708780 $15.155334 $2.593806 $     1.17  $     5.84  
60507 $  5012   $  1245147690  $  6849174825     $     1575483  $   233770707  $   232585404  $     1568232  $      42      $       0      $      97      $           0  $              $0.181795      $1575483.000000      $14.931462 $14.855755 $0.100167 $     1.01  $   148.31  
60505 $  5012   $  3545113691  $  9264556724     $    16780058  $   273665112  $   234061165  $    40324142  $       0      $       0      $      97      $           0  $              $0.382653      $16780058.000000      $17.479609 $14.950015 $2.575594 $     1.17  $     5.80  
60507 $  6014   $  1176180670  $  6520717879     $     1634789  $   226906059  $   225731211  $     1688231  $      42      $       0      $      97      $           0  $              $0.180376      $1634789.000000      $14.493002 $14.417962 $0.107831 $     1.01  $   133.71  
