PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60593 $  1003   $  3257659713  $  8755454994     $    13742698  $   217120313  $   185783722  $    33152142  $      43      $       0      $      97      $           0  $              $0.372072      $13742698.000000      $13.854138 $11.854595 $2.115391 $     1.17  $     5.60  
60591 $  1003   $  3258103977  $  8755424032     $    13805169  $   217603568  $   180960447  $    33220005  $       0      $       0      $      97      $           0  $              $0.372124      $13805169.000000      $13.884974 $11.546828 $2.119721 $     1.20  $     5.45  
60593 $  2005   $  3273988700  $  9116756494     $    16128048  $   258922731  $   223335807  $    37295760  $      44      $       0      $      97      $           0  $              $0.359118      $16128048.000000      $16.537979 $14.264962 $2.382164 $     1.16  $     5.99  
60591 $  2005   $  3275740018  $  9114880128     $    16160110  $   258334633  $   216435020  $    37368812  $       0      $       0      $      97      $           0  $              $0.359384      $16160110.000000      $16.500416 $13.824193 $2.386830 $     1.19  $     5.79  
60593 $  3008   $  3338761742  $  9116222010     $    15006949  $   240108418  $   206597246  $    37109628  $      44      $       0      $      97      $           0  $              $0.366244      $15006949.000000      $15.320975 $13.182676 $2.367913 $     1.16  $     5.57  
60591 $  3008   $  3337593005  $  9114352061     $    15057303  $   240092297  $   200766902  $    37162233  $       0      $       0      $      97      $           0  $              $0.366191      $15057303.000000      $15.319947 $12.810650 $2.371269 $     1.20  $     5.40  
60593 $  4011   $  3345946746  $  9111251776     $    16304758  $   259331316  $   222098698  $    38947628  $      44      $       0      $      97      $           0  $              $0.367232      $16304758.000000      $16.547562 $14.171802 $2.485193 $     1.17  $     5.70  
60591 $  4011   $  3341765819  $  9109305957     $    16382205  $   259811871  $   216212710  $    38994303  $       0      $       0      $      97      $           0  $              $0.366852      $16382205.000000      $16.578224 $13.796225 $2.488171 $     1.20  $     5.54  
60593 $  5013   $  3281382453  $  9115624713     $    15968561  $   256202941  $   220908388  $    37267867  $      44      $       0      $      97      $           0  $              $0.359973      $15968561.000000      $16.364260 $14.109917 $2.380383 $     1.16  $     5.93  
60591 $  5014   $  3283942740  $  9114049549     $    15979708  $   255564107  $   214049441  $    37332065  $       0      $       0      $      97      $           0  $              $0.360317      $15979708.000000      $16.307182 $13.658190 $2.382106 $     1.19  $     5.73  
60593 $  6015   $  3337891615  $  9115888063     $    15009841  $   240101617  $   206588832  $    37103140  $      44      $       0      $      97      $           0  $              $0.366162      $15009841.000000      $15.335832 $13.195294 $2.369861 $     1.16  $     5.57  
60591 $  6016   $  3337226060  $  9114171680     $    15055332  $   240083553  $   200758972  $    37155216  $       0      $       0      $      97      $           0  $              $0.366158      $15055332.000000      $15.334678 $12.822928 $2.373188 $     1.20  $     5.40  
60593 $  7017   $  3339132819  $  9113709268     $    16458374  $   261990062  $   224465506  $    38977894  $      44      $       0      $      97      $           0  $              $0.366386      $16458374.000000      $16.733896 $14.337118 $2.489606 $     1.17  $     5.76  
60591 $  7018   $  3334481130  $  9111664843     $    16555573  $   262502263  $   218524365  $    39038735  $       0      $       0      $      97      $           0  $              $0.365957      $16555573.000000      $16.766611 $13.957644 $2.493492 $     1.20  $     5.60  
60593 $  8019   $  3290750546  $  9113167625     $    15808590  $   253565475  $   218568820  $    37221926  $      44      $       0      $      97      $           0  $              $0.361098      $15808590.000000      $16.195799 $13.960484 $2.377449 $     1.16  $     5.87  
60591 $  8020   $  3293087043  $  9111389687     $    15834135  $   252914968  $   211781039  $    37293821  $       0      $       0      $      97      $           0  $              $0.361425      $15834135.000000      $16.154249 $13.526933 $2.382041 $     1.19  $     5.68  
60593 $  9021   $  3342204364  $  9111983365     $    15052328  $   240436365  $   206734349  $    37245998  $      44      $       0      $      97      $           0  $              $0.366792      $15052328.000000      $15.357213 $13.204589 $2.378986 $     1.16  $     5.55  
60591 $  9022   $  3345676780  $  9110205667     $    15130019  $   240760013  $   201060733  $    37454612  $       0      $       0      $      97      $           0  $              $0.367245      $15130019.000000      $15.377885 $12.842203 $2.392311 $     1.20  $     5.37  
60593 $ 10024   $  3320813518  $  9115561257     $    16564122  $   263991813  $   226494608  $    38752349  $      44      $       0      $      97      $           0  $              $0.364302      $16564122.000000      $16.844940 $14.452298 $2.472732 $     1.17  $     5.84  
60591 $ 10025   $  3309227646  $  9113643323     $    16614091  $   264114163  $   220328672  $    38630234  $       0      $       0      $      97      $           0  $              $0.363107      $16614091.000000      $16.852749 $14.058859 $2.464940 $     1.20  $     5.70  
60593 $ 11027   $  3299778971  $  9114841478     $    15658385  $   250991377  $   216277037  $    37213784  $      44      $       0      $      97      $           0  $              $0.362023      $15658385.000000      $16.015402 $13.800329 $2.374558 $     1.16  $     5.81  
60591 $ 11028   $  3302225458  $  9113200616     $    15666633  $   250310427  $   209540964  $    37264293  $       0      $       0      $      97      $           0  $              $0.362356      $15666633.000000      $15.971951 $13.370510 $2.377781 $     1.19  $     5.62  
