PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60630 $  1003   $  4931943838  $  7740713812     $    10628515  $   134228074  $   135989019  $   126306891  $      46      $       0      $      97      $           0  $              $0.637143      $10628515.000000      $8.564902 $8.677266 $8.059463 $     0.99  $     1.08  
60628 $  1003   $  2848238600  $  8697592041     $    13457981  $   195017560  $   161223360  $    28326577  $       0      $       0      $      97      $           0  $              $0.327474      $13457981.000000      $12.443793 $10.287433 $1.807478 $     1.21  $     5.69  
60630 $  2005   $  5496732471  $  9114337311     $    14214238  $   173205038  $   173258039  $   169406859  $      47      $       0      $      97      $           0  $              $0.603086      $14214238.000000      $11.062997 $11.066381 $10.820398 $     1.00  $     1.02  
60628 $  2005   $  2935948790  $  9108513314     $    14320102  $   203223004  $   168696547  $    31935171  $       0      $       0      $      97      $           0  $              $0.322330      $14320102.000000      $12.980312 $10.775029 $2.039772 $     1.20  $     5.28  
60630 $  3008   $  5597673080  $  9113864372     $    14185548  $   173234208  $   173287187  $   169414196  $      47      $       0      $      97      $           0  $              $0.614193      $14185548.000000      $11.053828 $11.057208 $10.810078 $     1.00  $     1.02  
60628 $  3008   $  2845951661  $  9108040625     $    15831336  $   229272434  $   189420118  $    33381372  $       0      $       0      $      97      $           0  $              $0.312466      $15831336.000000      $14.629547 $12.086627 $2.130018 $     1.21  $     5.67  
60630 $  4011   $  5555571735  $  9110840614     $    14340048  $   174484896  $   174536013  $   170667642  $      47      $       0      $      97      $           0  $              $0.609776      $14340048.000000      $11.133633 $11.136894 $10.890059 $     1.00  $     1.02  
60628 $  4011   $  2901164261  $  9104822356     $    14544552  $   207651205  $   172442742  $    31868804  $       0      $       0      $      97      $           0  $              $0.318640      $14544552.000000      $13.249927 $11.003325 $2.033503 $     1.20  $     5.41  
60630 $  5014   $  5579377863  $  9113369877     $    14353079  $   175079572  $   175132459  $   171256885  $      47      $       0      $      97      $           0  $              $0.612219      $14353079.000000      $11.171577 $11.174953 $10.927657 $     1.00  $     1.02  
60628 $  5014   $  2878886023  $  9107991707     $    15565700  $   223831619  $   184705938  $    33463192  $       0      $       0      $      97      $           0  $              $0.316084      $15565700.000000      $14.282376 $11.785823 $2.135239 $     1.21  $     5.52  
60630 $  6017   $  5579633802  $  9110744891     $    14281406  $   174562489  $   174616100  $   170749687  $      47      $       0      $      97      $           0  $              $0.612423      $14281406.000000      $11.138584 $11.142004 $10.895293 $     1.00  $     1.02  
60628 $  6017   $  2864412929  $  9104391468     $    14835512  $   213221416  $   177165930  $    31842130  $       0      $       0      $      97      $           0  $              $0.314619      $14835512.000000      $13.605354 $11.304706 $2.031801 $     1.20  $     5.56  
60630 $  7020   $  5504845934  $  9112647704     $    14134764  $   172440120  $   172492217  $   168690302  $      47      $       0      $      97      $           0  $              $0.604089      $14134764.000000      $11.003159 $11.006483 $10.763887 $     1.00  $     1.02  
60628 $  7020   $  2912963144  $  9107154225     $    15198812  $   217319832  $   179187636  $    33427308  $       0      $       0      $      97      $           0  $              $0.319854      $15198812.000000      $13.866869 $11.433707 $2.132949 $     1.21  $     5.36  
60630 $  8023   $  5583374262  $  6441942448     $     7922536  $   104361424  $   104394364  $   102516563  $      42      $       0      $      97      $           0  $              $0.866722      $7922536.000000      $6.659153 $6.661256 $6.541436 $     1.00  $     1.02  
60628 $  8023   $  3209998761  $  9264567250     $    16501630  $   253021628  $   209925412  $    36730850  $       0      $       0      $      97      $           0  $              $0.346481      $16501630.000000      $16.144949 $13.395041 $2.343743 $     1.21  $     5.72  
60628 $  8135   $   452528895  $  1050156276     $     1314361  $    21004713  $    16839515  $     4814232  $       0      $       0      $      97      $           0  $              $0.430916      $1314361.000000      $12.002692 $9.622581 $2.750990 $     1.25  $     3.50  
60630 $  8136   $        1992  $       89529     $         359  $         211  $         478  $          53  $       3      $       0      $      97      $           0  $              $0.022250      $359.000000      $0.000120 $0.000271 $0.000030 $     0.44  $     9.02  
60628 $  9134   $  3693390605  $  9817844425     $    17529516  $   285629288  $   236628598  $    41958488  $       0      $       0      $      97      $           0  $              $0.376192      $17529516.000000      $18.298573 $15.159389 $2.688031 $     1.21  $     5.64  
60628 $  9136   $      297105  $     1383182     $        4018  $       78272  $       67025  $        4016  $       0      $       0      $      97      $           0  $              $0.214798      $4018.000000      $2.504704 $2.144800 $0.128512 $     1.17  $    16.69  
60628 $ 10139   $  2887562960  $  8923085161     $    14694522  $   215482696  $   179080968  $    31890334  $      47      $       0      $      97      $           0  $              $0.323606      $14694522.000000      $13.749643 $11.426901 $2.034877 $     1.20  $     5.62  
60648 $  1002   $  4908409975  $  7734102083     $    10647109  $   133661236  $   135422056  $   125835467  $       0      $       0      $      97      $           0  $              $0.634645      $10647109.000000      $8.537245 $8.649712 $8.037395 $     0.99  $     1.08  
60648 $  2004   $  5454179036  $  8987443965     $    13880319  $   170930536  $   170988062  $   167214147  $      47      $       0      $      97      $           0  $              $0.606866      $13880319.000000      $10.917718 $10.921393 $10.680345 $     1.00  $     1.02  
60628 $ 11141   $  2778243798  $  8660468519     $    13957659  $   199680586  $   165475346  $    30480310  $       0      $       0      $      97      $           0  $              $0.320796      $13957659.000000      $12.754050 $10.569283 $1.946846 $     1.21  $     5.43  
60648 $  3006   $  5596228866  $  9101220692     $    14116107  $   172506569  $   172567198  $   168718078  $      47      $       0      $      97      $           0  $              $0.614888      $14116107.000000      $11.018384 $11.022256 $10.776404 $     1.00  $     1.02  
60628 $ 12143   $  2868876221  $  9099768575     $    15611234  $   224935729  $   185640880  $    33423524  $       0      $       0      $      97      $           0  $              $0.315269      $15611234.000000      $14.367152 $11.857302 $2.134836 $     1.21  $     5.55  
60648 $  3416   $  2252480889  $  3723414684     $     5876509  $    72015486  $    72039454  $    70445823  $      19      $       0      $      97      $           0  $              $0.604950      $5876509.000000      $11.241442 $11.245183 $10.996421 $     1.00  $     1.02  
60628 $ 12553   $  1130297868  $  3676190168     $     6252892  $    91316475  $    75973413  $    12663753  $       0      $       0      $      97      $           0  $              $0.307464      $6252892.000000      $14.254278 $11.859265 $1.976781 $     1.20  $     6.00  
60648 $  3489   $        4867  $      184465     $         581  $         341  $         792  $          35  $       1      $       0      $      97      $           0  $              $0.026384      $581.000000      $0.000299 $0.000694 $0.000031 $     0.43  $    22.63  
