PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60894 $  1003   $  2161684234  $  8618006761     $     8834063  $   271258539  $   267489801  $     9248029  $      47      $       0      $      97      $           0  $              $0.250833      $8834063.000000      $17.308620 $17.068144 $0.590104 $     1.01  $    28.92  
60892 $  1003   $  5289355757  $  7746621150     $    11100250  $   146511625  $   148379224  $   138306306  $       0      $       0      $      97      $           0  $              $0.682795      $11100250.000000      $9.348699 $9.467867 $8.825128 $     0.99  $     1.07  
60894 $  2006   $  2168756341  $  9071021695     $     9047407  $   278352729  $   274102811  $     9047492  $      49      $       0      $      97      $           0  $              $0.239086      $9047407.000000      $17.761292 $17.490110 $0.577308 $     1.02  $    30.30  
60892 $  2006   $  6128722634  $  9116209717     $    14881097  $   191640698  $   191699762  $   187153113  $       0      $       0      $      97      $           0  $              $0.672288      $14881097.000000      $12.228320 $12.232088 $11.941974 $     1.00  $     1.02  
60894 $  3009   $  2168702287  $  9073216514     $     9044178  $   278373338  $   274103711  $     9044147  $      49      $       0      $      97      $           0  $              $0.239022      $9044178.000000      $17.762606 $17.490168 $0.577094 $     1.02  $    30.31  
60892 $  3009   $  6155376052  $  9118407109     $    14850438  $   191658062  $   191716137  $   187175847  $       0      $       0      $      97      $           0  $              $0.675050      $14850438.000000      $12.229427 $12.233134 $11.943423 $     1.00  $     1.02  
60894 $  4012   $  2169420249  $  9074049441     $     9045989  $   278440925  $   274212469  $     9045451  $      49      $       0      $      97      $           0  $              $0.239080      $9045989.000000      $17.766918 $17.497107 $0.577177 $     1.02  $    30.31  
60892 $  4012   $  6156464560  $  9117490851     $    14865854  $   191711052  $   191769987  $   187226043  $       0      $       0      $      97      $           0  $              $0.675237      $14865854.000000      $12.232809 $12.236569 $11.946628 $     1.00  $     1.02  
60894 $  5014   $  2173651524  $  9073295499     $     9068997  $   279183507  $   274814997  $     9069063  $      49      $       0      $      97      $           0  $              $0.239566      $9068997.000000      $17.832081 $17.553055 $0.579261 $     1.02  $    30.30  
60892 $  5015   $  6145951680  $  9117598757     $    14901760  $   191797954  $   191857244  $   187304247  $       0      $       0      $      97      $           0  $              $0.674076      $14901760.000000      $12.238354 $12.242138 $11.951616 $     1.00  $     1.02  
60894 $  6016   $  2173406883  $  9073009143     $     9068327  $   279148178  $   274780420  $     9068367  $      49      $       0      $      97      $           0  $              $0.239546      $9068327.000000      $17.829824 $17.550844 $0.579217 $     1.02  $    30.30  
60892 $  6017   $  6116719685  $  9118263064     $    14928517  $   192089240  $   192147182  $   187588376  $       0      $       0      $      97      $           0  $              $0.670821      $14928517.000000      $12.269174 $12.272874 $11.981693 $     1.00  $     1.02  
60894 $  7019   $  2352343235  $  9097816451     $     9672380  $   301033730  $   297045553  $     9672463  $      48      $       0      $      97      $           0  $              $0.258561      $9672380.000000      $19.208532 $18.954054 $0.617186 $     1.01  $    30.71  
60892 $  7020   $  6475865105  $  8835767007     $    12628203  $   165396633  $   165445418  $   161727337  $       0      $       0      $      97      $           0  $              $0.732915      $12628203.000000      $10.553723 $10.556837 $10.319592 $     1.00  $     1.02  
60894 $  7431   $  1318114785  $  3844920822     $     3765463  $   166750221  $   165790180  $     3765466  $      15      $       0      $      97      $           0  $              $0.342820      $3765463.000000      $25.902946 $25.753815 $0.584927 $     1.01  $    44.03  
60892 $  7432   $  1338847756  $   559614288     $      504103  $    10482482  $    10486932  $    10480965  $       0      $       0      $      97      $           0  $              $2.392447      $504103.000000      $1.628347 $1.629038 $1.628111 $     1.00  $     1.00  
60894 $  8110   $  2266533422  $  6493061871     $      175861  $   285617835  $   284720618  $      175780  $      22      $       0      $      97      $           0  $              $0.349070      $175861.000000      $26.921268 $26.836699 $0.016568 $     1.00  $  1619.76  
60894 $  8112   $     1803117  $     5180292     $         285  $      227804  $      226884  $         279  $       0      $       0      $      97      $           0  $              $0.348072      $285.000000      $7.289728 $7.260288 $0.008928 $     1.00  $   813.20  
60894 $  9114   $  2276670318  $  9084189234     $     9344739  $   291291405  $   287482767  $     9344814  $      48      $       0      $      97      $           0  $              $0.250619      $9344739.000000      $18.605438 $18.362171 $0.596874 $     1.01  $    30.76  
60918 $  1002   $  5314086516  $  7826446235     $    11183009  $   147365010  $   149091785  $   138968426  $       0      $       0      $      97      $           0  $              $0.678991      $11183009.000000      $9.412536 $9.522829 $8.876227 $     0.99  $     1.07  
60894 $ 10116   $  2175841368  $  9074811457     $     9067516  $   279305221  $   275087899  $     9067502  $      49      $       0      $      97      $           0  $              $0.239767      $9067516.000000      $17.839853 $17.570484 $0.579162 $     1.02  $    30.34  
60918 $  2004   $  6119809187  $  9118232505     $    14868556  $   191177153  $   191235309  $   186681410  $       0      $       0      $      97      $           0  $              $0.671162      $14868556.000000      $12.210916 $12.214631 $11.923762 $     1.00  $     1.02  
60894 $ 11118   $  2176661468  $  9076776709     $     9071042  $   279389090  $   275193434  $     9070342  $      49      $       0      $      97      $           0  $              $0.239806      $9071042.000000      $17.845211 $17.577227 $0.579343 $     1.02  $    30.34  
60918 $  3006   $  6141109544  $  9119080725     $    14853970  $   191246844  $   191305067  $   186751284  $       0      $       0      $      97      $           0  $              $0.673435      $14853970.000000      $12.215367 $12.219087 $11.928226 $     1.00  $     1.02  
60894 $ 12120   $  2223198734  $  9105533968     $     9087354  $   275287404  $   271139870  $     9432670  $      49      $       0      $      97      $           0  $              $0.244159      $9087354.000000      $17.583227 $17.318316 $0.602486 $     1.02  $    28.74  
60918 $  4008   $  6127827643  $  9120275978     $    14833055  $   190894375  $   190953088  $   186425281  $       0      $       0      $      97      $           0  $              $0.671891      $14833055.000000      $12.192854 $12.196605 $11.907403 $     1.00  $     1.02  
60894 $ 13122   $  2181132000  $  9116181952     $     9102236  $   279805082  $   275621497  $     9102250  $      49      $       0      $      97      $           0  $              $0.239259      $9102236.000000      $17.871782 $17.604567 $0.581381 $     1.02  $    30.28  
60918 $  5010   $  6148180899  $  9118762615     $    14846875  $   191411390  $   191471513  $   186920106  $       0      $       0      $      97      $           0  $              $0.674234      $14846875.000000      $12.225878 $12.229718 $11.939009 $     1.00  $     1.02  
60894 $ 14124   $  2179399760  $  9116140826     $     9097471  $   279600410  $   275475585  $     9097505  $      49      $       0      $      97      $           0  $              $0.239070      $9097471.000000      $17.858709 $17.595247 $0.581078 $     1.01  $    30.28  
60918 $  6012   $  6118073884  $  9118997756     $    14920288  $   191997540  $   192056835  $   187494878  $       0      $       0      $      97      $           0  $              $0.670915      $14920288.000000      $12.263315 $12.267103 $11.975720 $     1.00  $     1.02  
60894 $ 15127   $  2347852577  $  9122210962     $     9665202  $   300232547  $   296441831  $     9664740  $      48      $       0      $      97      $           0  $              $0.257378      $9665202.000000      $19.157410 $18.915529 $0.616693 $     1.01  $    30.67  
60918 $  7015   $  6461778188  $  8886065818     $    12714639  $   166445213  $   166496140  $   162737927  $       0      $       0      $      97      $           0  $              $0.727181      $12714639.000000      $10.620632 $10.623881 $10.384074 $     1.00  $     1.02  
60894 $ 15541   $  1324013657  $  3863770964     $     3920295  $   167478220  $   166534853  $     3920286  $      15      $       0      $      97      $           0  $              $0.342674      $3920295.000000      $25.890354 $25.744518 $0.606035 $     1.01  $    42.48  
60918 $  7429   $  1395454618  $   584276665     $      524869  $    10925940  $    10930851  $    10923839  $       0      $       0      $      97      $           0  $              $2.388345      $524869.000000      $1.689034 $1.689793 $1.688709 $     1.00  $     1.00  
60894 $ 16208   $  2313602953  $  6593796428     $      104594  $   291632923  $   290848057  $      104591  $      23      $       0      $      97      $           0  $              $0.350876      $104594.000000      $27.982769 $27.907461 $0.010036 $     1.00  $  2780.81  
60894 $ 16210   $     1841974  $     5293979     $          56  $      232152  $      231551  $          50  $       0      $       0      $      97      $           0  $              $0.347938      $56.000000      $7.428864 $7.409632 $0.001600 $     1.00  $  4631.02  
60894 $ 17212   $  2281912825  $  9115598456     $     9429297  $   292025008  $   288151737  $     9429307  $      48      $       0      $      97      $           0  $              $0.250331      $9429297.000000      $18.652296 $18.404902 $0.602271 $     1.01  $    30.56  
60928 $  1003   $  5355429928  $  7832292101     $    11209424  $   148991238  $   151004580  $   140515851  $       0      $       0      $      97      $           0  $              $0.683763      $11209424.000000      $9.506918 $9.635386 $8.966117 $     0.99  $     1.07  
60894 $ 18214   $  2190463727  $  9116381658     $     9144242  $   281203364  $   276951295  $     9144175  $      49      $       0      $      97      $           0  $              $0.240278      $9144242.000000      $17.961092 $17.689505 $0.584059 $     1.02  $    30.29  
60928 $  2005   $  6189084449  $  9118044107     $    14833637  $   192451845  $   192510433  $   187909593  $       0      $       0      $      97      $           0  $              $0.678773      $14833637.000000      $12.292333 $12.296076 $12.002210 $     1.00  $     1.02  
60894 $ 19216   $  2190320768  $  9114976957     $     9135973  $   281075131  $   276919159  $     9135855  $      49      $       0      $      97      $           0  $              $0.240299      $9135973.000000      $17.952904 $17.687452 $0.583528 $     1.02  $    30.31  
60928 $  3007   $  6185521094  $  9117311160     $    14824710  $   192389691  $   192448912  $   187853412  $       0      $       0      $      97      $           0  $              $0.678437      $14824710.000000      $12.288363 $12.292146 $11.998621 $     1.00  $     1.02  
60894 $ 20218   $  2191070706  $  9117208602     $     9138618  $   281134200  $   277023356  $     9138594  $      49      $       0      $      97      $           0  $              $0.240323      $9138618.000000      $17.956676 $17.694107 $0.583703 $     1.01  $    30.31  
60928 $  4009   $  6170012214  $  9118933131     $    14849602  $   192547495  $   192607812  $   188003742  $       0      $       0      $      97      $           0  $              $0.676616      $14849602.000000      $12.298442 $12.302295 $12.008224 $     1.00  $     1.02  
60894 $ 21220   $  2190030579  $  9115881345     $     9133747  $   281042774  $   276892523  $     9133682  $      49      $       0      $      97      $           0  $              $0.240243      $9133747.000000      $17.950836 $17.685749 $0.583389 $     1.01  $    30.32  
60928 $  5011   $  6143894879  $  9118338457     $    14912674  $   193116082  $   193174892  $   188565859  $       0      $       0      $      97      $           0  $              $0.673795      $14912674.000000      $12.334760 $12.338516 $12.044127 $     1.00  $     1.02  
60894 $ 22222   $  2191888540  $  9114975777     $     9144799  $   281250416  $   277130028  $     9144009  $      49      $       0      $      97      $           0  $              $0.240471      $9144799.000000      $17.964100 $17.700920 $0.584048 $     1.01  $    30.31  
60928 $  6013   $  6143534360  $  9116752387     $    14910375  $   193060772  $   193120202  $   188511490  $       0      $       0      $      97      $           0  $              $0.673873      $14910375.000000      $12.331226 $12.335023 $12.040654 $     1.00  $     1.02  
60928 $  6166   $   963351819  $  1377391525     $     2370124  $    30262571  $    30270762  $    29555256  $       0      $       0      $      97      $           0  $              $0.699403      $2370124.000000      $12.658854 $12.662279 $12.362983 $     1.00  $     1.02  
60894 $ 22375   $   328416081  $  1343455178     $     1311337  $    40242412  $    39644007  $     1310165  $       7      $       0      $      97      $           0  $              $0.244456      $1311337.000000      $16.833427 $16.583115 $0.548043 $     1.02  $    30.26  
