PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61562 $  1002   $  3051919752  $  7262841380     $     7118129  $    75474393  $    77652205  $    69301940  $      46      $       0      $      97      $           0  $              $0.420210      $7118129.000000      $4.820720 $4.959822 $4.426471 $     0.97  $     1.12  
61560 $  1002   $  3045961516  $  7245797273     $     7103865  $    75287075  $    77156176  $    69081661  $       0      $       0      $      97      $           0  $              $0.420376      $7103865.000000      $4.808755 $4.928139 $4.412402 $     0.98  $     1.12  
61562 $  2005   $  3240304837  $  9100938731     $     9877775  $   102237856  $   102272325  $   100537858  $      47      $       0      $      97      $           0  $              $0.356041      $9877775.000000      $6.523652 $6.525851 $6.415177 $     1.00  $     1.02  
61560 $  2005   $  3234476289  $  9097814971     $     9873867  $   102054364  $   102090994  $   100360522  $       0      $       0      $      97      $           0  $              $0.355522      $9873867.000000      $6.511944 $6.514281 $6.403862 $     1.00  $     1.02  
61562 $  3008   $  3328095044  $  9101112776     $     9865576  $   102750807  $   102788335  $   101054087  $      47      $       0      $      97      $           0  $              $0.365680      $9865576.000000      $6.556383 $6.558777 $6.448117 $     1.00  $     1.02  
61560 $  3008   $  3324544134  $  9097859030     $     9870939  $   102839146  $   102877461  $   101146720  $       0      $       0      $      97      $           0  $              $0.365420      $9870939.000000      $6.562019 $6.564464 $6.454028 $     1.00  $     1.02  
61562 $  4010   $  3336059496  $  9100379998     $     9912969  $   104492508  $   104527342  $   102831237  $      47      $       0      $      97      $           0  $              $0.366585      $9912969.000000      $6.674172 $6.676397 $6.568063 $     1.00  $     1.02  
61560 $  4010   $  3334935077  $  9097202255     $     9914295  $   104454838  $   104490794  $   102796492  $       0      $       0      $      97      $           0  $              $0.366589      $9914295.000000      $6.671766 $6.674063 $6.565844 $     1.00  $     1.02  
61562 $  5013   $  3248025681  $  9099819642     $     9864223  $   101894765  $   101930872  $   100192837  $      47      $       0      $      97      $           0  $              $0.356933      $9864223.000000      $6.501760 $6.504064 $6.393162 $     1.00  $     1.02  
61560 $  5013   $  3249286375  $  9096532804     $     9878674  $   101969016  $   102006183  $   100269410  $       0      $       0      $      97      $           0  $              $0.357201      $9878674.000000      $6.506497 $6.508869 $6.398048 $     1.00  $     1.02  
61562 $  6016   $  3295189941  $  9100388254     $     9877211  $   103211091  $   103248352  $   101524999  $      47      $       0      $      97      $           0  $              $0.362093      $9877211.000000      $6.585752 $6.588130 $6.478166 $     1.00  $     1.02  
61560 $  6016   $  3294202685  $  9098267086     $     9884084  $   103310370  $   103348727  $   101627827  $       0      $       0      $      97      $           0  $              $0.362069      $9884084.000000      $6.592087 $6.594535 $6.484726 $     1.00  $     1.02  
61562 $  7019   $  3340334742  $  9100882593     $     9908785  $   104148974  $   104183903  $   102479181  $      47      $       0      $      97      $           0  $              $0.367034      $9908785.000000      $6.645597 $6.647826 $6.539051 $     1.00  $     1.02  
61560 $  7019   $  3335301916  $  9097710812     $     9903696  $   104012612  $   104049033  $   102350831  $       0      $       0      $      97      $           0  $              $0.366609      $9903696.000000      $6.636896 $6.639220 $6.530861 $     1.00  $     1.02  
61562 $  8022   $  3280460172  $  9101565217     $     9872330  $   102040029  $   102076579  $   100333375  $      47      $       0      $      97      $           0  $              $0.360428      $9872330.000000      $6.511029 $6.513361 $6.402130 $     1.00  $     1.02  
61560 $  8022   $  3279289785  $  9098189746     $     9879605  $   102040949  $   102078335  $   100339365  $       0      $       0      $      97      $           0  $              $0.360433      $9879605.000000      $6.511088 $6.513473 $6.402512 $     1.00  $     1.02  
61562 $  9024   $  3267719379  $  9099692227     $     9893915  $   103662143  $   103698711  $   101985181  $      47      $       0      $      97      $           0  $              $0.359102      $9893915.000000      $6.621135 $6.623471 $6.514024 $     1.00  $     1.02  
61560 $  9024   $  3262872615  $  9096664975     $     9886881  $   103546225  $   103582924  $   101878814  $       0      $       0      $      97      $           0  $              $0.358689      $9886881.000000      $6.613731 $6.616075 $6.507230 $     1.00  $     1.02  
61562 $ 10027   $  3342363972  $  9101258269     $     9900253  $   103701406  $   103738340  $   102025406  $      47      $       0      $      97      $           0  $              $0.367242      $9900253.000000      $6.617039 $6.619395 $6.510096 $     1.00  $     1.02  
61560 $ 10027   $  3341175910  $  9098207889     $     9904765  $   103670003  $   103707043  $   101997671  $       0      $       0      $      97      $           0  $              $0.367234      $9904765.000000      $6.615035 $6.617398 $6.508326 $     1.00  $     1.02  
61562 $ 11030   $  3306265643  $  9100424814     $     9865698  $   102015643  $   102052525  $   100308939  $      47      $       0      $      97      $           0  $              $0.363309      $9865698.000000      $6.509472 $6.511827 $6.400570 $     1.00  $     1.02  
61560 $ 11030   $  3305758708  $  9097358727     $     9866723  $   101983816  $   102021866  $   100281460  $       0      $       0      $      97      $           0  $              $0.363376      $9866723.000000      $6.507442 $6.509870 $6.398817 $     1.00  $     1.02  
61562 $ 12033   $  3271053514  $  9099828532     $     9900993  $   104047357  $   104082384  $   102374315  $      47      $       0      $      97      $           0  $              $0.359463      $9900993.000000      $6.639114 $6.641348 $6.532359 $     1.00  $     1.02  
61560 $ 12033   $  3270430606  $  9096761246     $     9903047  $   104061584  $   104097633  $   102396323  $       0      $       0      $      97      $           0  $              $0.359516      $9903047.000000      $6.640021 $6.642322 $6.533763 $     1.00  $     1.02  
61562 $ 13036   $  4551903654  $  6632314334     $     5905270  $    71673999  $    71699606  $    70830353  $      39      $       0      $      97      $           0  $              $0.686322      $5905270.000000      $4.573416 $4.575050 $4.519584 $     1.00  $     1.01  
61560 $ 13036   $  4552913102  $  6636472841     $     5914193  $    71742173  $    71766664  $    70896908  $       0      $       0      $      97      $           0  $              $0.686044      $5914193.000000      $4.577766 $4.579329 $4.523831 $     1.00  $     1.01  
61560 $ 13086   $           0  $           0     $           0  $           0  $           0  $           0  $       0      $       0      $      97      $           0  $              $-nan      $0.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
61562 $ 13088   $           0  $           0     $           0  $           0  $           0  $           0  $       0      $       0      $      97      $           0  $              $-nan      $0.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
61580 $  1004   $  5794568637  $  7846746058     $    11622798  $   160083300  $   161826005  $   151610604  $      35      $       0      $      65      $           0  $              $0.738468      $11622798.000000      $10.204513 $10.315601 $9.664421 $     0.99  $     1.07  
61580 $  2077   $  5794568637  $  7846746058     $    11622798  $   160083300  $   161826005  $   151610604  $      36      $       0      $      65      $           0  $              $0.738468      $11622798.000000      $9.548305 $9.652249 $9.042944 $     0.99  $     1.07  
