PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62254 $  1003   $  3191296044  $  8759371595     $    10675590  $   357235055  $   352948984  $    11097046  $      52      $       0      $      97      $           0  $              $0.364329      $10675590.000000      $22.794659 $22.521172 $0.708087 $     1.01  $    31.81  
62252 $  1003   $ 17240348442  $  8850658367     $     3503955  $   374641747  $   342282142  $    53331321  $       0      $       0      $      97      $           0  $              $1.947917      $3503955.000000      $23.905357 $21.840536 $3.402996 $     1.09  $     6.42  
62254 $  2006   $  3304132335  $  9115284204     $    11083397  $   374305704  $   369715481  $    11083180  $      54      $       0      $      97      $           0  $              $0.362483      $11083397.000000      $23.883913 $23.591019 $0.707202 $     1.01  $    33.36  
62252 $  2006   $ 18012042979  $  9115508149     $     3542750  $   392465161  $   358481485  $    55170208  $       0      $       0      $      97      $           0  $              $1.975978      $3542750.000000      $25.042643 $22.874191 $3.520332 $     1.09  $     6.50  
62254 $  3008   $  3328075556  $  9110507345     $    11160634  $   372162538  $   367679957  $    11372866  $      53      $       0      $      97      $           0  $              $0.365301      $11160634.000000      $23.770861 $23.484549 $0.726411 $     1.01  $    32.33  
62252 $  3008   $ 18008162780  $  9116759839     $     3553993  $   392423573  $   358392406  $    55314704  $       0      $       0      $      97      $           0  $              $1.975281      $3553993.000000      $25.064980 $22.891333 $3.533075 $     1.09  $     6.48  
62254 $  4010   $  3301864610  $  9116176154     $    11084277  $   373960363  $   369451233  $    11084231  $      53      $       0      $      97      $           0  $              $0.362198      $11084277.000000      $23.885691 $23.597683 $0.707975 $     1.01  $    33.33  
62252 $  4010   $ 17944715452  $  9116730462     $     3585165  $   390937180  $   357062863  $    55295607  $       0      $       0      $      97      $           0  $              $1.968328      $3585165.000000      $24.970039 $22.806410 $3.531855 $     1.09  $     6.46  
62254 $  5012   $  3304406642  $  9115516496     $    11083862  $   374367158  $   369748471  $    11083618  $      53      $       0      $      97      $           0  $              $0.362503      $11083862.000000      $23.911674 $23.616669 $0.707936 $     1.01  $    33.36  
62252 $  5012   $ 18009136815  $  9116184046     $     3545001  $   392425220  $   358427185  $    55172258  $       0      $       0      $      97      $           0  $              $1.975513      $3545001.000000      $25.065084 $22.893553 $3.523976 $     1.09  $     6.50  
62254 $  6014   $  3327812165  $  9110061140     $    11157786  $   372129901  $   367665212  $    11370753  $      53      $       0      $      97      $           0  $              $0.365290      $11157786.000000      $23.768776 $23.483606 $0.726276 $     1.01  $    32.33  
62252 $  6014   $ 18005315329  $  9116176733     $     3553939  $   392368134  $   358340958  $    55324550  $       0      $       0      $      97      $           0  $              $1.975095      $3553939.000000      $25.061438 $22.888046 $3.533704 $     1.09  $     6.48  
62254 $  7017   $  3304356649  $  9116220559     $    11079288  $   374280223  $   369732423  $    11079246  $      54      $       0      $      97      $           0  $              $0.362470      $11079288.000000      $23.882288 $23.592098 $0.706951 $     1.01  $    33.37  
62252 $  7016   $ 18011062525  $  9116849946     $     3542293  $   392465826  $   358462259  $    55211208  $       0      $       0      $      97      $           0  $              $1.975580      $3542293.000000      $25.067677 $22.895794 $3.526464 $     1.09  $     6.49  
62254 $  8020   $  3302092768  $  9115478299     $    11091673  $   374061449  $   369492923  $    11091406  $      53      $       0      $      97      $           0  $              $0.362251      $11091673.000000      $23.868328 $23.576817 $0.707727 $     1.01  $    33.31  
62252 $  8019   $ 17944873415  $  9115659198     $     3581425  $   390929982  $   357066919  $    55273573  $       0      $       0      $      97      $           0  $              $1.968577      $3581425.000000      $24.944685 $22.783930 $3.526928 $     1.09  $     6.46  
62254 $  9023   $  3327626654  $  9108403387     $    11154197  $   372127119  $   367642611  $    11367816  $      53      $       0      $      97      $           0  $              $0.365336      $11154197.000000      $23.744900 $23.458752 $0.725364 $     1.01  $    32.34  
62252 $  9022   $ 18005461129  $  9114853614     $     3549964  $   392365217  $   358343590  $    55331066  $       0      $       0      $      97      $           0  $              $1.975398      $3549964.000000      $25.036264 $22.865393 $3.530596 $     1.09  $     6.48  
62254 $ 10025   $  3305168022  $  9117942652     $    11083292  $   374343717  $   369821446  $    11083268  $      54      $       0      $      97      $           0  $              $0.362491      $11083292.000000      $23.910177 $23.621330 $0.707913 $     1.01  $    33.37  
62252 $ 10024   $ 18015401446  $  9117875011     $     3543088  $   392559923  $   358549342  $    55190093  $       0      $       0      $      97      $           0  $              $1.975833      $3543088.000000      $25.073689 $22.901356 $3.525116 $     1.09  $     6.50  
62254 $ 11027   $  3307134059  $  9128576264     $    11105544  $   374631847  $   370056865  $    11105284  $      53      $       0      $      97      $           0  $              $0.362284      $11105544.000000      $23.928581 $23.636366 $0.709320 $     1.01  $    33.32  
62252 $ 11026   $ 17970681017  $  9128623264     $     3594251  $   391483972  $   357580166  $    55351860  $       0      $       0      $      97      $           0  $              $1.968608      $3594251.000000      $25.004965 $22.839451 $3.535448 $     1.09  $     6.46  
62254 $ 12029   $  3332164189  $  9122536636     $    11173964  $   372702026  $   368153206  $    11387751  $      54      $       0      $      97      $           0  $              $0.365267      $11173964.000000      $23.805319 $23.514776 $0.727361 $     1.01  $    32.33  
62252 $ 12028   $ 18032832186  $  9128786914     $     3556906  $   392935449  $   358878802  $    55383383  $       0      $       0      $      97      $           0  $              $1.975381      $3556906.000000      $25.097673 $22.922400 $3.537462 $     1.09  $     6.48  
62254 $ 13031   $  3306888309  $  9126247592     $    11090380  $   374581120  $   370017847  $    11090330  $      54      $       0      $      97      $           0  $              $0.362349      $11090380.000000      $23.925341 $23.633875 $0.708364 $     1.01  $    33.36  
62252 $ 13030   $ 18028121392  $  9126410650     $     3547173  $   392830369  $   358808264  $    55237983  $       0      $       0      $      97      $           0  $              $1.975379      $3547173.000000      $25.090961 $22.917892 $3.528175 $     1.09  $     6.50  
62254 $ 14034   $  3305925548  $  9118081923     $    11084781  $   374512338  $   369919133  $    11084485  $      54      $       0      $      97      $           0  $              $0.362568      $11084781.000000      $23.897099 $23.604013 $0.707285 $     1.01  $    33.37  
62252 $ 14032   $ 18016180932  $  9118288460     $     3542490  $   392572781  $   358559994  $    55195422  $       0      $       0      $      97      $           0  $              $1.975829      $3542490.000000      $25.074509 $22.902037 $3.525456 $     1.09  $     6.50  
62252 $ 14869   $ 15176417715  $  7703272397     $     2921104  $   330355717  $   301955024  $    44765578  $       0      $       0      $      97      $           0  $              $1.970126      $2921104.000000      $25.260174 $23.088554 $3.422935 $     1.09  $     6.75  
62254 $ 14871   $  2350888759  $  6484713140     $     7870179  $   265668929  $   262457796  $     7868931  $      43      $       0      $      97      $           0  $              $0.362528      $7870179.000000      $20.313992 $20.068457 $0.601686 $     1.01  $    33.35  
62252 $ 15157   $  5700274880  $  2829128029     $      771577  $   123555965  $   113429670  $    11918557  $       0      $       0      $      97      $           0  $              $2.014852      $771577.000000      $27.456882 $25.206594 $2.648568 $     1.09  $     9.52  
62252 $ 15159   $     2498918  $     1230302     $        1352  $       53760  $       49798  $       20728  $       0      $       0      $      97      $           0  $              $2.031142      $1352.000000      $1.720320 $1.593536 $0.663296 $     1.08  $     2.40  
62272 $   451   $  1403666983  $  3798693656     $     4692166  $   155943649  $   152586574  $     5113185  $       0      $       0      $      97      $           0  $              $0.369513      $4692166.000000      $22.129475 $21.653084 $0.725596 $     1.02  $    29.84  
62252 $ 15610   $  7825157121  $  3987494798     $     1516743  $   169861052  $   155349187  $    23479608  $      23      $       0      $      97      $           0  $              $1.962424      $1516743.000000      $24.104452 $22.045116 $3.331918 $     1.09  $     6.62  
