PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62616 $  1003   $ 19657240620  $  8726064175     $     5268096  $   307553676  $   307634512  $    40830178  $      55      $       0      $      97      $           0  $              $2.252704      $5268096.000000      $19.624561 $19.629719 $2.605315 $     1.00  $     7.53  
62614 $  1003   $ 16801485856  $  8792772021     $     4541778  $   366147223  $   332743652  $    73912893  $       0      $       0      $      97      $           0  $              $1.910829      $4541778.000000      $23.363333 $21.231897 $4.716277 $     1.10  $     4.50  
62616 $  2006   $ 20633038823  $  9095930989     $     5409397  $   322812735  $   322874722  $    42174307  $      57      $       0      $      97      $           0  $              $2.268381      $5409397.000000      $20.598221 $20.602175 $2.691082 $     1.00  $     7.66  
62614 $  2006   $ 17653724179  $  9107718273     $     4667246  $   385787053  $   350524823  $    77362796  $       0      $       0      $      97      $           0  $              $1.938326      $4667246.000000      $24.616522 $22.366489 $4.936410 $     1.10  $     4.53  
62616 $  3009   $ 20557220290  $  9092633444     $     5483348  $   321397358  $   321466935  $    42325170  $      57      $       0      $      97      $           0  $              $2.260865      $5483348.000000      $20.507906 $20.512348 $2.700709 $     1.00  $     7.60  
62614 $  3009   $ 17657878394  $  9110881969     $     4674685  $   385938360  $   350649195  $    77392169  $       0      $       0      $      97      $           0  $              $1.938109      $4674685.000000      $24.626177 $22.374424 $4.938284 $     1.10  $     4.53  
62616 $  4012   $ 20665119849  $  9109737253     $     5414876  $   323312687  $   323375000  $    42235825  $      57      $       0      $      97      $           0  $              $2.268465      $5414876.000000      $20.630121 $20.634098 $2.695008 $     1.00  $     7.66  
62614 $  4012   $ 17681572642  $  9121334178     $     4675962  $   386413384  $   351092014  $    77489536  $       0      $       0      $      97      $           0  $              $1.938485      $4675962.000000      $24.656487 $22.402679 $4.944497 $     1.10  $     4.53  
62616 $  5014   $ 20656005310  $  9107797326     $     5432395  $   323168877  $   323227227  $    42272863  $      57      $       0      $      97      $           0  $              $2.267947      $5432395.000000      $20.641523 $20.645252 $2.700063 $     1.00  $     7.65  
62614 $  5015   $ 17616785273  $  9120367119     $     4713898  $   384931297  $   349724811  $    77479209  $       0      $       0      $      97      $           0  $              $1.931587      $4713898.000000      $24.561916 $22.315441 $4.943838 $     1.10  $     4.51  
62616 $  6016   $ 20577068250  $  9101847193     $     5517334  $   321704085  $   321774454  $    42380240  $      57      $       0      $      97      $           0  $              $2.260757      $5517334.000000      $20.547966 $20.552462 $2.706922 $     1.00  $     7.59  
62614 $  6017   $ 17675896051  $  9120107182     $     4677840  $   386243050  $   350942663  $    77474188  $       0      $       0      $      97      $           0  $              $1.938124      $4677840.000000      $24.670214 $22.415499 $4.948452 $     1.10  $     4.53  
