PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63227 $  1003   $  3282534515  $  8757280588     $     5650850  $   367062944  $   362739367  $     6069156  $      49      $       0      $      97      $           0  $              $0.374835      $5650850.000000      $23.421762 $23.145882 $0.387264 $     1.01  $    59.77  
63225 $  1003   $ 21833993743  $  8790365881     $     1139631  $   341626885  $   341684198  $     7049764  $       0      $       0      $      97      $           0  $              $2.483855      $1139631.000000      $21.798723 $21.802382 $0.449835 $     1.00  $    48.47  
63227 $  2006   $  3412420900  $  9149823416     $     5819691  $   385864583  $   381363055  $     5819694  $      51      $       0      $      97      $           0  $              $0.372949      $5819691.000000      $24.621468 $24.334232 $0.371346 $     1.01  $    65.53  
63225 $  2006   $ 22808545761  $  9129288719     $     1070054  $   356663589  $   356701239  $     6661358  $       0      $       0      $      97      $           0  $              $2.498392      $1070054.000000      $22.758194 $22.760597 $0.425052 $     1.00  $    53.55  
63227 $  3009   $  3436237945  $  9144038751     $     5885380  $   383872784  $   379408447  $     6095975  $      51      $       0      $      97      $           0  $              $0.375790      $5885380.000000      $24.494373 $24.209513 $0.388975 $     1.01  $    62.24  
63225 $  3009   $ 22877541776  $  9136537908     $     1035193  $   357943048  $   357971431  $     6627387  $       0      $       0      $      97      $           0  $              $2.503962      $1035193.000000      $22.839834 $22.841646 $0.422884 $     1.00  $    54.01  
63227 $  4011   $  3412007578  $  9150138616     $     5844165  $   385847479  $   381322582  $     5844201  $      51      $       0      $      97      $           0  $              $0.372891      $5844165.000000      $24.644949 $24.355934 $0.373282 $     1.01  $    65.25  
63225 $  4012   $ 22807014243  $  9129241746     $     1072826  $   356637436  $   356678419  $     6686958  $       0      $       0      $      97      $           0  $              $2.498237      $1072826.000000      $22.756527 $22.759142 $0.426685 $     1.00  $    53.34  
63227 $  5013   $  3413146976  $  9150922813     $     5812268  $   385876761  $   381433471  $     5812276  $      51      $       0      $      97      $           0  $              $0.372984      $5812268.000000      $24.646820 $24.363016 $0.371243 $     1.01  $    65.63  
63225 $  5014   $ 22811979179  $  9130497384     $     1068515  $   356722051  $   356762942  $     6642430  $       0      $       0      $      97      $           0  $              $2.498438      $1068515.000000      $22.784641 $22.787254 $0.424267 $     1.00  $    53.71  
63227 $  6015   $  3437067038  $  9143507640     $     5837249  $   383896603  $   379491484  $     6051313  $      51      $       0      $      97      $           0  $              $0.375902      $5837249.000000      $24.520342 $24.238977 $0.386511 $     1.01  $    62.71  
63225 $  6016   $ 22877196672  $  9135855782     $     1030737  $   357942430  $   357969129  $     6605071  $       0      $       0      $      97      $           0  $              $2.504111      $1030737.000000      $22.862591 $22.864296 $0.421881 $     1.00  $    54.20  
63227 $  7017   $  3412272147  $  9150130406     $     5816983  $   385837601  $   381348110  $     5817000  $      51      $       0      $      97      $           0  $              $0.372921      $5816983.000000      $24.644318 $24.357563 $0.371545 $     1.01  $    65.56  
63225 $  7018   $ 22805900751  $  9129113789     $     1073094  $   356621656  $   356662848  $     6677552  $       0      $       0      $      97      $           0  $              $2.498151      $1073094.000000      $22.778231 $22.780861 $0.426510 $     1.00  $    53.41  
63227 $  8019   $  3412617238  $  9150793839     $     5777969  $   385899697  $   381379040  $     5777959  $      51      $       0      $      97      $           0  $              $0.372931      $5777969.000000      $24.648285 $24.359539 $0.369051 $     1.01  $    66.01  
63225 $  8020   $ 22812289486  $  9130871447     $     1065226  $   356723047  $   356759554  $     6616514  $       0      $       0      $      97      $           0  $              $2.498369      $1065226.000000      $22.784704 $22.787037 $0.422612 $     1.00  $    53.92  
63227 $  9022   $  3435384572  $  9143971322     $     5938480  $   383819980  $   379327394  $     6147793  $      51      $       0      $      97      $           0  $              $0.375699      $5938480.000000      $24.491005 $24.204340 $0.392282 $     1.01  $    61.70  
63225 $  9022   $ 22871077553  $  9136188737     $     1043404  $   357838395  $   357867634  $     6683724  $       0      $       0      $      97      $           0  $              $2.503350      $1043404.000000      $22.855946 $22.857815 $0.426905 $     1.00  $    53.54  
63227 $ 10025   $  3411799534  $  9148894396     $     5820212  $   385770905  $   381294133  $     5820240  $      51      $       0      $      97      $           0  $              $0.372919      $5820212.000000      $24.615492 $24.329836 $0.371381 $     1.01  $    65.51  
63225 $ 10025   $ 22803220359  $  9128617098     $     1073082  $   356580190  $   356619175  $     6669882  $       0      $       0      $      97      $           0  $              $2.497993      $1073082.000000      $22.752874 $22.755362 $0.425596 $     1.00  $    53.47  
63227 $ 11027   $  3414386537  $  9151198225     $     5735552  $   386066142  $   381573855  $     5735532  $      51      $       0      $      97      $           0  $              $0.373108      $5735552.000000      $24.658915 $24.371983 $0.366341 $     1.01  $    66.53  
