PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63717 $  1003   $ 20475702816  $  8803468697     $     2491525  $   332214113  $   405357754  $    18653396  $      52      $       0      $      97      $           0  $              $2.325868      $2491525.000000      $21.198109 $25.865301 $1.190247 $     0.82  $    21.73  
63715 $  1003   $ 20680591936  $  8812869760     $     3795399  $   323543289  $   323651746  $    28217454  $       0      $       0      $      97      $           0  $              $2.346635      $3795399.000000      $20.644836 $20.651756 $1.800516 $     1.00  $    11.47  
63717 $  2005   $ 21198671091  $  9116196238     $     2676981  $   343442860  $   415769620  $    20655295  $      54      $       0      $      97      $           0  $              $2.325386      $2676981.000000      $21.936470 $26.556145 $1.319300 $     0.83  $    20.13  
63715 $  2005   $ 21603525216  $  9136105432     $     3842432  $   337975676  $   338054546  $    28955873  $       0      $       0      $      97      $           0  $              $2.364632      $3842432.000000      $21.587269 $21.592308 $1.849477 $     1.00  $    11.67  
63717 $  3008   $ 21232214626  $  9115782802     $     2592653  $   343924986  $   416980489  $    20195285  $      54      $       0      $      97      $           0  $              $2.329171      $2592653.000000      $21.945364 $26.606930 $1.288632 $     0.82  $    20.65  
63715 $  3008   $ 21515788132  $  9127592801     $     3920281  $   336379301  $   336468399  $    29142363  $       0      $       0      $      97      $           0  $              $2.357225      $3920281.000000      $21.463882 $21.469568 $1.859533 $     1.00  $    11.55  
63717 $  4011   $ 21298718724  $  9115214918     $     2561938  $   345092736  $   418305353  $    19881863  $      54      $       0      $      97      $           0  $              $2.336612      $2561938.000000      $22.019875 $26.691467 $1.268633 $     0.82  $    21.04  
63715 $  4011   $ 21601495659  $  9135019949     $     3845417  $   337940917  $   338017668  $    29087990  $       0      $       0      $      97      $           0  $              $2.364691      $3845417.000000      $21.563528 $21.568426 $1.856063 $     1.00  $    11.62  
63717 $  5014   $ 21141326984  $  9114614955     $     2793696  $   342433048  $   414244456  $    21513052  $      54      $       0      $      97      $           0  $              $2.319498      $2793696.000000      $21.850164 $26.432348 $1.372717 $     0.83  $    19.26  
63715 $  5014   $ 21508860142  $  9126216161     $     3923759  $   336265512  $   336348402  $    29439971  $       0      $       0      $      97      $           0  $              $2.356821      $3923759.000000      $21.456623 $21.461912 $1.878523 $     1.00  $    11.42  
63717 $  6016   $ 21171555915  $  9114801653     $     2717613  $   342807319  $   416020049  $    21126683  $      54      $       0      $      97      $           0  $              $2.322767      $2717613.000000      $21.895878 $26.572140 $1.349409 $     0.82  $    19.69  
63715 $  6017   $ 21570657189  $  9133568171     $     3906655  $   337465333  $   337545259  $    29647469  $       0      $       0      $      97      $           0  $              $2.361690      $3906655.000000      $21.533182 $21.538280 $1.891763 $     1.00  $    11.39  
63717 $  7018   $ 21178308904  $  9115126502     $     2771801  $   342466099  $   410468722  $    21278761  $      54      $       0      $      97      $           0  $              $2.323425      $2771801.000000      $21.874083 $26.217564 $1.359122 $     0.83  $    19.29  
63715 $  7019   $ 21489099946  $  9127944368     $     3982484  $   335976219  $   336062937  $    29869215  $       0      $       0      $      97      $           0  $              $2.354210      $3982484.000000      $21.459558 $21.465097 $1.907814 $     1.00  $    11.25  
63717 $  8020   $ 21380628049  $  9121685036     $     2617751  $   346629910  $   421008667  $    20261862  $      54      $       0      $      97      $           0  $              $2.343934      $2617751.000000      $22.140036 $26.890774 $1.294171 $     0.82  $    20.78  
63715 $  8021   $ 21599402788  $  9134572988     $     3829869  $   337930632  $   338008081  $    29271502  $       0      $       0      $      97      $           0  $              $2.364577      $3829869.000000      $21.584391 $21.589340 $1.869637 $     1.00  $    11.55  
63717 $  9022   $ 21224298656  $  9115357285     $     2624885  $   343870919  $   417793811  $    20401171  $      54      $       0      $      97      $           0  $              $2.328411      $2624885.000000      $21.963810 $26.685434 $1.303069 $     0.82  $    20.48  
63715 $  9023   $ 21514591532  $  9127160062     $     3907519  $   336398425  $   336485664  $    29348555  $       0      $       0      $      97      $           0  $              $2.357206      $3907519.000000      $21.486526 $21.492098 $1.874558 $     1.00  $    11.47  
63717 $ 10024   $ 21207599748  $  9113803028     $     2611602  $   343516705  $   416730133  $    20335383  $      54      $       0      $      97      $           0  $              $2.326976      $2611602.000000      $21.941187 $26.617495 $1.298867 $     0.82  $    20.49  
63715 $ 10025   $ 21596795986  $  9134120430     $     3821400  $   337897007  $   337977682  $    29148219  $       0      $       0      $      97      $           0  $              $2.364409      $3821400.000000      $21.582243 $21.587399 $1.861763 $     1.00  $    11.60  
63717 $ 11026   $ 21254164866  $  9116119848     $     2514340  $   344217954  $   417888254  $    19706114  $      54      $       0      $      97      $           0  $              $2.331492      $2514340.000000      $21.985977 $26.691465 $1.258674 $     0.82  $    21.21  
63715 $ 11027   $ 21511343652  $  9128322387     $     3908287  $   336322873  $   336412546  $    29236065  $       0      $       0      $      97      $           0  $              $2.356550      $3908287.000000      $21.481701 $21.487429 $1.867373 $     1.00  $    11.51  
63717 $ 12028   $ 21131191005  $  9114615393     $     2742266  $   342242962  $   413771583  $    21173501  $      54      $       0      $      97      $           0  $              $2.318385      $2742266.000000      $21.859831 $26.428524 $1.352399 $     0.83  $    19.54  
63715 $ 12029   $ 21598069579  $  9134824802     $     3837459  $   337891440  $   337971357  $    29046695  $       0      $       0      $      97      $           0  $              $2.364366      $3837459.000000      $21.581890 $21.586992 $1.855278 $     1.00  $    11.64  
63717 $ 13030   $ 21135311920  $  9121078198     $     2774042  $   342243092  $   413713116  $    21389125  $      54      $       0      $      97      $           0  $              $2.317194      $2774042.000000      $21.859838 $26.424789 $1.366172 $     0.83  $    19.34  
63715 $ 13031   $ 21528637294  $  9133403887     $     3923747  $   336574741  $   336657451  $    29314584  $       0      $       0      $      97      $           0  $              $2.357132      $3923747.000000      $21.497789 $21.503071 $1.872389 $     1.00  $    11.48  
