PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
64982 $  1003   $  4325139570  $  5180141681     $    12971264  $   162422426  $    32867893  $    15032445  $      42      $       0      $      97      $           0  $              $0.834946      $12971264.000000      $10.363944 $2.097253 $0.959199 $     4.94  $     2.19  
64980 $  1004   $ 20172328955  $  8916974366     $     1210860  $   327267816  $   400196539  $     6935676  $       0      $       0      $      97      $           0  $              $2.262239      $1210860.000000      $20.861692 $25.510536 $0.442115 $     0.82  $    57.70  
64982 $  2005   $  5455995901  $  5910460101     $    18972671  $   220314998  $    47525989  $    26100464  $      44      $       0      $      97      $           0  $              $0.923109      $18972672.000000      $14.072016 $3.035592 $1.667096 $     4.64  $     1.82  
64980 $  2006   $ 20490367045  $  9320487462     $     1495868  $   331986123  $   402654095  $     8156693  $       0      $       0      $      97      $           0  $              $2.198422      $1495868.000000      $21.204702 $25.718424 $0.520986 $     0.82  $    49.36  
64982 $  3007   $ 16879089950  $  9000014437     $    38430535  $   783570871  $   144716350  $    66988128  $      53      $       0      $      97      $           0  $              $1.875451      $38430536.000000      $50.048439 $9.243360 $4.278683 $     5.41  $     2.16  
64980 $  3008   $ 19353703425  $  9089083017     $     3857053  $   313132038  $   373922998  $    22872912  $       0      $       0      $      97      $           0  $              $2.129335      $3857053.000000      $20.000448 $23.883307 $1.460945 $     0.84  $    16.35  
64980 $  3219   $  4810484506  $  1992634700     $      197231  $    77846194  $    93610489  $     1358065  $       0      $       0      $      97      $           0  $              $2.414133      $197231.000000      $23.612116 $28.393703 $0.411925 $     0.83  $    68.93  
64982 $  3219   $  1848830229  $   865262837     $     2269076  $    83488462  $    12932408  $     5630811  $       9      $       0      $      97      $           0  $              $2.136727      $2269076.000000      $25.204065 $3.904123 $1.699867 $     6.46  $     2.30  
64980 $  4102   $ 20741753153  $  8526929411     $      203302  $   336069268  $   412308248  $     1465708  $       0      $       0      $      97      $           0  $              $2.432500      $203302.000000      $24.358362 $29.884176 $0.106235 $     0.82  $   281.30  
64980 $  4104   $     3421394  $     1391010     $          73  $       54767  $       63679  $         686  $       0      $       0      $      97      $           0  $              $2.459647      $73.000000      $1.752544 $2.037728 $0.021952 $     0.86  $    92.83  
64980 $  5106   $ 19923740376  $  8875381790     $     1374773  $   322576418  $   393049370  $     6882031  $      43      $       0      $      97      $           0  $              $2.244832      $1374773.000000      $20.603683 $25.104950 $0.439571 $     0.82  $    57.11  
65000 $  1002   $  3986361443  $  5072713387     $    12131877  $   146736011  $    31685956  $    14150448  $       0      $       0      $      97      $           0  $              $0.785844      $12131877.000000      $9.372360 $2.023854 $0.903821 $     4.63  $     2.24  
65000 $  2004   $  5081692327  $  5813705509     $    18190013  $   202475293  $    45842304  $    25186568  $      43      $       0      $      97      $           0  $              $0.874088      $18190012.000000      $12.932554 $2.928051 $1.608723 $     4.42  $     1.82  
64980 $  6109   $ 19732992128  $  8964150385     $     1624694  $   319447947  $   385956315  $     8656026  $       0      $       0      $      97      $           0  $              $2.201323      $1624694.000000      $20.383518 $24.627323 $0.552329 $     0.83  $    44.59  
65000 $  3006   $ 16631272131  $  8992106481     $    38330083  $   771462914  $   147363912  $    66778242  $      53      $       0      $      97      $           0  $              $1.849541      $38330084.000000      $49.275078 $9.412465 $4.265277 $     5.24  $     2.21  
64980 $  7111   $ 19391869452  $  9074273801     $     3440566  $   314299436  $   378088831  $    20300049  $       0      $       0      $      97      $           0  $              $2.137016      $3440566.000000      $20.075012 $24.149387 $1.296610 $     0.83  $    18.63  
64980 $  7359   $  5319833020  $  2300290697     $      673067  $    86131466  $   104638639  $     4310979  $       0      $       0      $      97      $           0  $              $2.312679      $673067.000000      $22.227474 $27.003519 $1.112511 $     0.82  $    24.27  
65000 $  3254   $  2883884553  $  1379738086     $     4467725  $   129580448  $    20519809  $     7940968  $      11      $       0      $      97      $           0  $              $2.090168      $4467725.000000      $33.440117 $5.295434 $2.049282 $     6.31  $     2.58  
64980 $  8184   $ 19498995208  $  8007712957     $      189293  $   315489442  $   382707667  $     1337129  $       0      $       0      $      97      $           0  $              $2.435027      $189293.000000      $24.474333 $29.688839 $0.103729 $     0.82  $   286.22  
64980 $  8186   $     3284879  $     1431434     $          27  $       57617  $      111773  $         121  $       0      $       0      $      97      $           0  $              $2.294817      $27.000000      $1.843744 $3.576736 $0.003872 $     0.52  $   923.74  
64980 $  9188   $ 20283474614  $  9063644934     $     1181812  $   328680903  $   401431405  $     6442809  $      43      $       0      $      97      $           0  $              $2.237894      $1181812.000000      $20.993589 $25.640329 $0.411517 $     0.82  $    62.31  
65005 $  1002   $  4099160913  $  5057395503     $    12141403  $   152195449  $    29841088  $    14195299  $       0      $       0      $      97      $           0  $              $0.810528      $12141403.000000      $9.721067 $1.906018 $0.906686 $     5.10  $     2.10  
65005 $  2004   $  5075934764  $  5776992985     $    17936376  $   202680938  $    43290212  $    25015954  $      43      $       0      $      97      $           0  $              $0.878647      $17936376.000000      $12.945689 $2.765043 $1.597825 $     4.68  $     1.73  
64980 $ 10190   $ 19629495299  $  8868941785     $     1578292  $   318119669  $   387098684  $     8643193  $       0      $       0      $      97      $           0  $              $2.213285      $1578292.000000      $20.319021 $24.724867 $0.552060 $     0.82  $    44.79  
65005 $  3006   $ 17010018894  $  8988542773     $    37045170  $   790107928  $   136789981  $    65589683  $      53      $       0      $      97      $           0  $              $1.892411      $37045168.000000      $50.465973 $8.737084 $4.189361 $     5.78  $     2.09  
64980 $ 11192   $ 19385908862  $  9078119572     $     3813527  $   313722684  $   374690846  $    22504047  $       0      $       0      $      97      $           0  $              $2.135454      $3813527.000000      $20.038176 $23.932350 $1.437384 $     0.84  $    16.65  
64980 $ 11421   $  5146018710  $  2148073942     $      280999  $    83187999  $    99958914  $     1882215  $       0      $       0      $      97      $           0  $              $2.395643      $280999.000000      $23.249048 $27.936115 $0.526034 $     0.83  $    53.11  
65005 $  3235   $  2334779570  $  1088243861     $     3143525  $   104851742  $    14387163  $     6575739  $      10      $       0      $      97      $           0  $              $2.145456      $3143525.000000      $29.303545 $4.020866 $1.837761 $     7.29  $     2.19  
64980 $ 12278   $ 20308952333  $  8351679062     $      213684  $   329124284  $   403213457  $     1543823  $       0      $       0      $      97      $           0  $              $2.431721      $213684.000000      $24.578711 $30.111624 $0.115291 $     0.82  $   261.18  
64980 $ 12280   $     3198804  $     1284676     $          21  $       51735  $       63705  $         112  $       0      $       0      $      97      $           0  $              $2.489969      $21.000000      $1.655520 $2.038560 $0.003584 $     0.81  $   568.79  
64980 $ 13283   $ 20071594468  $  8992383299     $     1268254  $   325078588  $   396427091  $     6875056  $      43      $       0      $      97      $           0  $              $2.232066      $1268254.000000      $20.742802 $25.295448 $0.438688 $     0.82  $    57.66  
65010 $  1003   $  4078356543  $  5065459264     $    12298430  $   151355085  $    29261711  $    14280420  $       0      $       0      $      97      $           0  $              $0.805131      $12298430.000000      $9.657752 $1.867148 $0.911213 $     5.17  $     2.05  
65010 $  2005   $  5195224694  $  5805914256     $    18434266  $   208072136  $    43506269  $    25432199  $      43      $       0      $      97      $           0  $              $0.894816      $18434266.000000      $13.290036 $2.778843 $1.624412 $     4.78  $     1.71  
64980 $ 14285   $ 19787626425  $  8995032980     $     1501362  $   320362809  $   387378649  $     8067645  $       0      $       0      $      97      $           0  $              $2.199839      $1501362.000000      $20.462296 $24.742748 $0.515299 $     0.83  $    48.02  
