PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
65262 $  1003   $  3325085067  $  8783622702     $    14672696  $   234755136  $   197389836  $    34134630  $      47      $       0      $      97      $           0  $              $0.378555      $14672696.000000      $14.979390 $12.595164 $2.178082 $     1.19  $     5.78  
65260 $  1003   $ 20575186917  $  8799129493     $     1464717  $   333780009  $   408173489  $     8983432  $       0      $       0      $      97      $           0  $              $2.338321      $1464717.000000      $21.298025 $26.044970 $0.573220 $     0.82  $    45.44  
65262 $  2005   $  3473637011  $  9130704556     $    15159534  $   244254402  $   205573803  $    38448571  $      49      $       0      $      97      $           0  $              $0.380435      $15159534.000000      $15.601079 $13.130463 $2.455797 $     1.19  $     5.35  
65260 $  2005   $ 21363484083  $  9098017100     $     1314501  $   345959014  $   420917154  $     8283439  $       0      $       0      $      97      $           0  $              $2.348147      $1314501.000000      $22.097181 $26.884928 $0.529082 $     0.82  $    50.81  
65262 $  3007   $  3389383069  $  9128855354     $    17042229  $   275110955  $   231993212  $    39225637  $      49      $       0      $      97      $           0  $              $0.371282      $17042228.000000      $17.571957 $14.817930 $2.505430 $     1.19  $     5.91  
65260 $  3007   $ 21286850090  $  9096289194     $     1453080  $   344783705  $   418409598  $     8991237  $       0      $       0      $      97      $           0  $              $2.340169      $1453080.000000      $22.022114 $26.724766 $0.574291 $     0.82  $    46.54  
65262 $  4009   $  3509777213  $  9129944054     $    15655152  $   250886463  $   210341212  $    39672920  $      49      $       0      $      97      $           0  $              $0.384425      $15655152.000000      $16.024685 $13.434968 $2.533999 $     1.19  $     5.30  
65260 $  4009   $ 21279213503  $  9097799390     $     1485720  $   344717789  $   418373173  $     9335365  $       0      $       0      $      97      $           0  $              $2.338941      $1485720.000000      $22.017902 $26.722439 $0.596271 $     0.82  $    44.82  
65262 $  5011   $  3367866722  $  9128588860     $    16436899  $   266406269  $   225294179  $    38125605  $      49      $       0      $      97      $           0  $              $0.368936      $16436899.000000      $17.015970 $14.390047 $2.435168 $     1.18  $     5.91  
65260 $  5011   $ 21379486998  $  9097525415     $     1335559  $   346290989  $   420526636  $     8368040  $       0      $       0      $      97      $           0  $              $2.350033      $1335559.000000      $22.118385 $26.859983 $0.534486 $     0.82  $    50.25  
65262 $  6014   $  3479089089  $  9128956812     $    16215915  $   260528590  $   218704376  $    39807609  $      48      $       0      $      97      $           0  $              $0.381105      $16215915.000000      $16.623959 $13.955215 $2.540067 $     1.19  $     5.49  
65260 $  6014   $ 21254724631  $  9096012899     $     1442586  $   344108357  $   417579965  $     8940113  $       0      $       0      $      97      $           0  $              $2.336708      $1442586.000000      $21.957064 $26.645182 $0.570456 $     0.82  $    46.71  
65262 $  7017   $  3399125501  $  9130073257     $    15874925  $   256779969  $   216941461  $    38002814  $      49      $       0      $      97      $           0  $              $0.372300      $15874925.000000      $16.384764 $13.842725 $2.424906 $     1.18  $     5.71  
65260 $  7017   $ 21342201546  $  9097304660     $     1377073  $   345655600  $   420937362  $     8741368  $       0      $       0      $      97      $           0  $              $2.345992      $1377073.000000      $22.055792 $26.859413 $0.557774 $     0.82  $    48.15  
65262 $  8019   $  3449364868  $  9132515436     $    16792224  $   270388795  $   227260352  $    39944774  $      49      $       0      $      97      $           0  $              $0.377702      $16792224.000000      $17.270342 $14.515632 $2.551363 $     1.19  $     5.69  
65260 $  8020   $ 21316714080  $  9100401343     $     1400984  $   345097834  $   418784931  $     8725344  $       0      $       0      $      97      $           0  $              $2.342393      $1400984.000000      $22.020201 $26.722069 $0.556752 $     0.82  $    48.00  
65262 $  9021   $  3436841393  $  9141364327     $    15283540  $   246956206  $   208422047  $    37915519  $      49      $       0      $      97      $           0  $              $0.375966      $15283540.000000      $15.773650 $13.312387 $2.421750 $     1.18  $     5.50  
65260 $  9022   $ 21387980043  $  9109871495     $     1380714  $   346206708  $   418024097  $     8631406  $       0      $       0      $      97      $           0  $              $2.347781      $1380714.000000      $22.113005 $26.700142 $0.551307 $     0.83  $    48.43  
65262 $ 10023   $  3429315158  $  9139629263     $    17174397  $   276774199  $   232793831  $    40009040  $      49      $       0      $      97      $           0  $              $0.375214      $17174396.000000      $17.678192 $14.869066 $2.555468 $     1.19  $     5.82  
65260 $ 10024   $ 21429405081  $  9113208126     $     1389341  $   346962668  $   420533595  $     8598512  $       0      $       0      $      97      $           0  $              $2.351467      $1389341.000000      $22.161287 $26.860430 $0.549206 $     0.83  $    48.91  
65260 $ 10887   $ 18555326585  $  7916107245     $     1078280  $   300853223  $   368524303  $     6759368  $       0      $       0      $      97      $           0  $              $2.343996      $1078280.000000      $22.311247 $27.329727 $0.501274 $     0.82  $    54.52  
65262 $ 10887   $  2610070517  $  6931960470     $    12331170  $   198689581  $   167274823  $    29541983  $      41      $       0      $      97      $           0  $              $0.376527      $12331170.000000      $14.717747 $12.390727 $2.188295 $     1.19  $     5.66  
65260 $ 11126   $  5521181989  $  2253645899     $       43675  $    89391334  $   109142254  $      297896  $       0      $       0      $      97      $           0  $              $2.449889      $43675.000000      $23.937429 $29.226377 $0.079771 $     0.82  $   366.38  
65260 $ 11129   $     3279194  $     1333569     $          36  $       52633  $       64593  $         313  $       0      $       0      $      97      $           0  $              $2.458961      $36.000000      $1.122837 $1.377984 $0.006677 $     0.81  $   206.37  
65260 $ 12131   $ 21222043429  $  9010654259     $     1234438  $   343656931  $   417480171  $     7466412  $      48      $       0      $      97      $           0  $              $2.355217      $1234438.000000      $21.950144 $26.665400 $0.476897 $     0.82  $    55.91  
65281 $  1002   $  3361035817  $  8847490204     $    14790992  $   237509770  $   190356059  $    34505957  $       0      $       0      $      97      $           0  $              $0.379886      $14790992.000000      $15.170285 $12.158471 $2.203973 $     1.25  $     5.52  
65281 $  2004   $  3458493078  $  9025738832     $    15119919  $   242630228  $   194385616  $    38503709  $      48      $       0      $      97      $           0  $              $0.383181      $15119919.000000      $15.497339 $12.415848 $2.459319 $     1.25  $     5.05  
65260 $ 13134   $ 20942335195  $  8929808006     $     1434880  $   339138700  $   412889939  $     8859854  $       0      $       0      $      97      $           0  $              $2.345217      $1434880.000000      $21.639956 $26.345919 $0.565335 $     0.82  $    46.60  
