PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47707 $  1003   $  3347171697  $  8917272470     $     2762442  $   368035021  $   363789161  $     3181598  $      47      $       0      $      97      $           0  $              $0.375358      $2762442.000000      $23.483789 $23.212868 $0.203013 $     1.01  $   114.34  
47705 $  1003   $  3345785593  $  8916790000     $     5298745  $   367980874  $   363655731  $     5719098  $       0      $       0      $      97      $           0  $              $0.375223      $5298745.000000      $23.480335 $23.204355 $0.364928 $     1.01  $    63.59  
47707 $  2005   $  3421588012  $  9156710780     $     1360003  $   386354062  $   382369595  $     1360077  $      48      $       0      $      97      $           0  $              $0.373670      $1360003.000000      $24.677305 $24.422810 $0.086871 $     1.01  $   281.14  
47705 $  2005   $  3419387691  $  9152782868     $     4874039  $   386207323  $   382133207  $     4874162  $       0      $       0      $      97      $           0  $              $0.373590      $4874039.000000      $24.667933 $24.407711 $0.311324 $     1.01  $    78.40  
47707 $  3007   $  3395204147  $  9159234894     $     1782502  $   387665080  $   383830780  $     1782572  $      48      $       0      $      97      $           0  $              $0.370686      $1782502.000000      $24.761044 $24.516138 $0.113857 $     1.01  $   215.32  
47705 $  3007   $  3392845575  $  9154803727     $     4881984  $   388452320  $   384546046  $     4881998  $       0      $       0      $      97      $           0  $              $0.370608      $4881984.000000      $24.811325 $24.561823 $0.311824 $     1.01  $    78.77  
47707 $  4009   $  3200359453  $  9172421206     $     3927949  $   405507654  $   402414932  $     3927988  $      47      $       0      $      97      $           0  $              $0.348911      $3927949.000000      $25.900688 $25.703150 $0.250889 $     1.01  $   102.45  
47705 $  4009   $  3204182819  $  9171017083     $     3874066  $   405660684  $   402879451  $     3874086  $       0      $       0      $      97      $           0  $              $0.349381      $3874066.000000      $25.910461 $25.732819 $0.247447 $     1.01  $   103.99  
47707 $  5011   $  3201301680  $  9173321764     $     3898059  $   405526248  $   402526400  $     3898094  $      47      $       0      $      97      $           0  $              $0.348980      $3898059.000000      $25.901876 $25.710270 $0.248980 $     1.01  $   103.26  
47705 $  5011   $  3205338693  $  9172145343     $     3870465  $   405673071  $   403017426  $     3870463  $       0      $       0      $      97      $           0  $              $0.349464      $3870465.000000      $25.911253 $25.741632 $0.247215 $     1.01  $   104.13  
47707 $  6014   $  3307692187  $  9168771528     $     4269177  $   395510324  $   391888913  $     4567091  $      48      $       0      $      97      $           0  $              $0.360756      $4269177.000000      $25.236950 $25.005875 $0.291420 $     1.01  $    85.81  
47705 $  6013   $  3310162262  $  9166501234     $     4224837  $   395335117  $   392081186  $     4506989  $       0      $       0      $      97      $           0  $              $0.361115      $4224837.000000      $25.250944 $25.043110 $0.287872 $     1.01  $    86.99  
47707 $  7016   $  3424351942  $  9161997170     $     1819515  $   386713601  $   382699460  $     1819502  $      48      $       0      $      97      $           0  $              $0.373756      $1819515.000000      $24.700270 $24.443878 $0.116216 $     1.01  $   210.33  
47705 $  7015   $  3422627324  $  9158799133     $     4818565  $   386533352  $   382510017  $     4818582  $       0      $       0      $      97      $           0  $              $0.373698      $4818565.000000      $24.688757 $24.431778 $0.307774 $     1.01  $    79.38  
47707 $  8018   $  3422832184  $  9160295995     $     1361158  $   386395707  $   382514381  $     1361010  $      48      $       0      $      97      $           0  $              $0.373660      $1361158.000000      $24.679966 $24.432055 $0.086931 $     1.01  $   281.05  
47705 $  8017   $  3422403125  $  9157559910     $     4839544  $   386301660  $   382473729  $     4839548  $       0      $       0      $      97      $           0  $              $0.373724      $4839544.000000      $24.673958 $24.429461 $0.309113 $     1.01  $    79.03  
47707 $  9020   $  3290531635  $  9167583937     $     2895720  $   396983366  $   393575460  $     2895660  $      48      $       0      $      97      $           0  $              $0.358931      $2895720.000000      $25.356222 $25.138552 $0.184952 $     1.01  $   135.92  
47705 $  9019   $  3288994460  $  9165906953     $     4668343  $   397633793  $   394396725  $     4668317  $       0      $       0      $      97      $           0  $              $0.358829      $4668343.000000      $25.397768 $25.191010 $0.298176 $     1.01  $    84.48  
47707 $ 10022   $  3202072853  $  9172798650     $     3519850  $   405649902  $   402620277  $     3519856  $      47      $       0      $      97      $           0  $              $0.349084      $3519850.000000      $25.909773 $25.716267 $0.224821 $     1.01  $   114.39  
47705 $ 10021   $  3203291917  $  9172463501     $     4226732  $   405657426  $   402777937  $     4226761  $       0      $       0      $      97      $           0  $              $0.349229      $4226732.000000      $25.910255 $25.726336 $0.269973 $     1.01  $    95.29  
47707 $ 11024   $  3201707285  $  9172338807     $     3497659  $   405554120  $   402569608  $     3497672  $      47      $       0      $      97      $           0  $              $0.349061      $3497659.000000      $25.903656 $25.713028 $0.223404 $     1.01  $   115.10  
47705 $ 11023   $  3202612931  $  9171714269     $     4241408  $   405615486  $   402693037  $     4241408  $       0      $       0      $      97      $           0  $              $0.349184      $4241408.000000      $25.907576 $25.720911 $0.270908 $     1.01  $    94.94  
