PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48038 $  1003   $  4384952936  $  5185087274     $    12801051  $   166035623  $    31147251  $    14699904  $      40      $       0      $      97      $           0  $              $0.845685      $12801051.000000      $10.594496 $1.987462 $0.937980 $     5.33  $     2.12  
48036 $  1003   $  3303989498  $  9032389860     $     3024206  $   358549801  $   353010257  $     3442360  $       0      $       0      $      97      $           0  $              $0.365793      $3024206.000000      $22.878551 $22.525082 $0.219652 $     1.02  $   102.55  
48038 $  2005   $  5889527572  $  5917606625     $    18034713  $   239015913  $    46731917  $    25209386  $      42      $       0      $      97      $           0  $              $0.995255      $18034712.000000      $15.266486 $2.984873 $1.610180 $     5.11  $     1.85  
48036 $  2005   $  3336584605  $  9340063068     $     3835456  $   378350434  $   371792035  $     3835676  $       0      $       0      $      97      $           0  $              $0.357234      $3835456.000000      $24.166096 $23.747196 $0.244993 $     1.02  $    96.93  
48038 $  3007   $ 17546652081  $  9003166406     $    35627583  $   815707260  $   134257059  $    65725259  $      51      $       0      $      97      $           0  $              $1.948942      $35627584.000000      $52.101063 $8.575301 $4.198020 $     6.08  $     2.04  
48036 $  3007   $  3004962552  $  9094689625     $    11042786  $   343108714  $   335403390  $    11042670  $       0      $       0      $      97      $           0  $              $0.330408      $11042786.000000      $21.915127 $21.422972 $0.705320 $     1.02  $    30.37  
48036 $  3169   $   544864791  $  1550011260     $      656304  $    66679073  $    65957445  $      656323  $       0      $       0      $      97      $           0  $              $0.351523      $656304.000000      $26.342350 $26.057262 $0.259288 $     1.01  $   100.50  
48038 $  3170   $   676731697  $   405977433     $      492647  $    29117668  $     3258542  $     2479225  $       6      $       0      $      97      $           0  $              $1.666919      $492647.000000      $11.432704 $1.279428 $0.973438 $     8.94  $     1.31  
48036 $  4098   $  3107533641  $  8837125618     $      100919  $   391698008  $   389164500  $      100920  $       0      $       0      $      97      $           0  $              $0.351645      $100919.000000      $26.984577 $26.810041 $0.006953 $     1.01  $  3856.17  
48036 $  4101   $      872072  $     2553787     $         144  $      110781  $      109944  $         142  $       0      $       0      $      97      $           0  $              $0.341482      $144.000000      $2.363328 $2.345472 $0.003029 $     1.01  $   774.25  
48036 $  5104   $  3086751359  $  9111345262     $     3748910  $   390814643  $   386995141  $     3748866  $      40      $       0      $      97      $           0  $              $0.338781      $3748910.000000      $24.937326 $24.693607 $0.239210 $     1.01  $   103.23  
48056 $  1003   $  4160628244  $  5061579820     $    12334285  $   155245553  $    28783980  $    14222442  $       0      $       0      $      97      $           0  $              $0.822002      $12334285.000000      $9.905997 $1.836665 $0.907514 $     5.39  $     2.02  
48056 $  2006   $  5082485186  $  5686588156     $    18055086  $   202803019  $    41714223  $    24999292  $      41      $       0      $      97      $           0  $              $0.893767      $18055086.000000      $12.940572 $2.661725 $1.595169 $     4.86  $     1.67  
48036 $  6107   $  3077068417  $  8938858408     $     3970509  $   370256146  $   365570857  $     4255779  $       0      $       0      $      97      $           0  $              $0.344235      $3970509.000000      $23.625517 $23.326555 $0.271555 $     1.01  $    85.90  
48056 $  3008   $ 17234212007  $  8993171824     $    38984321  $   800899428  $   130558498  $    67852488  $      51      $       0      $      97      $           0  $              $1.916367      $38984320.000000      $51.155254 $8.339066 $4.333891 $     6.13  $     1.92  
48036 $  7109   $  3027136245  $  9108774374     $    10923150  $   345086591  $   337778133  $    10923115  $       0      $       0      $      97      $           0  $              $0.332332      $10923150.000000      $22.041458 $21.574652 $0.697684 $     1.02  $    30.92  
48036 $  7295   $   622411675  $  1740139601     $     1309534  $    70466513  $    69354716  $     1309540  $       0      $       0      $      97      $           0  $              $0.357679      $1309534.000000      $24.246542 $23.863989 $0.450594 $     1.02  $    52.96  
48056 $  3194   $  2008661421  $   906129082     $     2523982  $    90707738  $    11164087  $     5934898  $       8      $       0      $      97      $           0  $              $2.216750      $2523982.000000      $31.211264 $3.841406 $2.042115 $     8.12  $     1.88  
48036 $  8173   $  3152774772  $  8406292800     $      135278  $   355542104  $   351061679  $      135268  $       0      $       0      $      97      $           0  $              $0.375049      $135278.000000      $25.916510 $25.589916 $0.009860 $     1.01  $  2595.30  
48036 $  8175   $      913366  $     2453217     $          16  $      102951  $      101590  $          13  $       0      $       0      $      97      $           0  $              $0.372314      $16.000000      $3.294432 $3.250880 $0.000416 $     1.01  $  7814.62  
