PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49965 $   127   $   115574150  $   948535569     $     7018264  $    15140179  $     7794941  $     7018215  $       2      $       0      $      97      $           0  $              $0.121845      $7018264.000000      $7.629696 $3.928159 $3.536738 $     1.94  $     1.11  
49963 $   128   $        2108  $       20100     $         249  $         397  $         705  $         198  $       0      $       0      $      97      $           0  $              $0.104876      $249.000000      $0.000198 $0.000353 $0.000099 $     0.56  $     3.56  
49965 $  1129   $  4608280493  $  5720305444     $    13415935  $   167125247  $    31587087  $    15418109  $      26      $       0      $      97      $           0  $              $0.805600      $13415935.000000      $10.674666 $2.017539 $0.984789 $     5.29  $     2.05  
49965 $  1131   $     2117516  $     5266494     $           8  $        2165  $        2188  $           0  $       0      $       0      $      97      $           0  $              $0.402073      $8.000000      $0.069280 $0.070016 $0.000000 $     0.99  $      inf  
49965 $  1182   $   197180392  $   471571526     $       63340  $      526914  $      478375  $      170233  $       1      $       0      $      97      $           0  $              $0.418135      $63340.000000      $0.661225 $0.600314 $0.213626 $     1.10  $     2.81  
49980 $    50   $        2107  $       69593     $         285  $         215  $         503  $          50  $       0      $       0      $      97      $           0  $              $0.030276      $285.000000      $0.000275 $0.000644 $0.000064 $     0.43  $    10.06  
49965 $  2182   $ 10073960739  $  6229715964     $    19797452  $   439226259  $    68862058  $    33437355  $      29      $       0      $      97      $           0  $              $1.617082      $19797452.000000      $28.110481 $4.407172 $2.139991 $     6.38  $     2.06  
49965 $  2183   $    11683352  $     5038761     $        9509  $      548504  $       60311  $       47189  $       0      $       0      $      97      $           0  $              $2.318695      $9509.000000      $35.104256 $3.859904 $3.020096 $     9.09  $     1.28  
49965 $  2292   $  1806218806  $  1019701854     $     5308531  $    86097172  $    17236774  $     8876512  $       3      $       0      $      97      $           0  $              $1.771320      $5308531.000000      $50.552467 $10.120675 $5.211897 $     4.99  $     1.94  
49982 $   109   $        2108  $       85948     $         376  $         229  $         514  $          69  $       0      $       0      $      97      $           0  $              $0.024526      $376.000000      $0.000134 $0.000302 $0.000041 $     0.45  $     7.45  
49965 $  2938   $ 11595669358  $  5868878383     $    24399138  $   539098952  $    87331400  $    45715896  $      24      $       0      $      97      $           0  $              $1.975790      $24399138.000000      $53.409184 $8.652027 $4.529129 $     6.17  $     1.91  
