PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
50678 $    80   $   860165047  $   403803405     $      136393  $    14646009  $    21589042  $      684307  $       1      $       0      $      97      $           0  $              $2.130158      $136393.000000      $11.716807 $17.271235 $0.547446 $     0.68  $    31.55  
50676 $    80   $        2107  $       19733     $         115  $         255  $         556  $          71  $       0      $       0      $      97      $           0  $              $0.106775      $115.000000      $0.000204 $0.000445 $0.000057 $     0.46  $     7.83  
50678 $  1082   $ 22591892224  $  9475689965     $     1609570  $   366046588  $   443072855  $    11633913  $      35      $       0      $      97      $           0  $              $2.384195      $1609570.000000      $23.380222 $28.300064 $0.743084 $     0.83  $    38.08  
50678 $  1084   $    12721314  $     5320623     $        1402  $      206098  $      254774  $        8453  $       0      $       0      $      97      $           0  $              $2.390944      $1402.000000      $6.595136 $8.152768 $0.270496 $     0.81  $    30.14  
50678 $  1196   $  2527508186  $  1047073071     $      214045  $    40517233  $    46051098  $     1777221  $       4      $       0      $      97      $           0  $              $2.413879      $214045.000000      $23.152704 $26.314913 $1.015555 $     0.88  $    25.91  
50690 $   112   $        2107  $       70273     $         250  $         171  $         457  $           1  $       0      $       0      $      97      $           0  $              $0.029983      $250.000000      $0.000098 $0.000261 $0.000001 $     0.37  $   457.00  
50678 $  2197   $ 21777715704  $  9141920178     $     1502980  $   352689018  $   427873270  $    11271522  $      37      $       0      $      97      $           0  $              $2.382182      $1502980.000000      $22.549547 $27.356533 $0.720657 $     0.82  $    37.96  
50678 $  2199   $    11769562  $     5350486     $         537  $      217807  $      456540  $        2822  $       0      $       0      $      97      $           0  $              $2.199718      $537.000000      $6.969824 $14.609280 $0.090304 $     0.48  $   161.78  
50678 $  2275   $  1739858260  $   709941147     $       95563  $    28603456  $    37079231  $      454255  $       2      $       0      $      97      $           0  $              $2.450708      $95563.000000      $24.087120 $31.224617 $0.382531 $     0.77  $    81.63  
50695 $    75   $        2107  $       61668     $         202  $         164  $         454  $           2  $       0      $       0      $      97      $           0  $              $0.034167      $202.000000      $0.000140 $0.000387 $0.000002 $     0.36  $   227.00  
50678 $  3276   $ 22575792182  $  9472051376     $     1633228  $   365696619  $   443477811  $    11865477  $      38      $       0      $      97      $           0  $              $2.383411      $1633228.000000      $23.381201 $28.354227 $0.758632 $     0.82  $    37.38  
50678 $  3278   $    12161749  $     5040434     $        1197  $      195567  $      237291  $       10390  $       0      $       0      $      97      $           0  $              $2.412838      $1197.000000      $6.258144 $7.593312 $0.332480 $     0.82  $    22.84  
50678 $  3354   $  1609715276  $   705965886     $      132720  $    25549865  $    27831325  $     1191592  $       2      $       0      $      97      $           0  $              $2.280160      $132720.000000      $21.515675 $23.436905 $1.003446 $     0.92  $    23.36  
50697 $    76   $        2107  $       66897     $         239  $         181  $         483  $          16  $       0      $       0      $      97      $           0  $              $0.031496      $239.000000      $0.000152 $0.000407 $0.000013 $     0.37  $    30.19  
50678 $  4354   $ 23009156664  $  9644082492     $     1645577  $   373146193  $   455690976  $    11648950  $      37      $       0      $      97      $           0  $              $2.385832      $1645577.000000      $23.881357 $29.164223 $0.745533 $     0.82  $    39.12  
50678 $  4356   $    13193473  $     5454969     $        2080  $      214542  $      256700  $        7838  $       0      $       0      $      97      $           0  $              $2.418616      $2080.000000      $6.865344 $8.214400 $0.250816 $     0.84  $    32.75  
50678 $  4474   $  2678446060  $  1101716584     $      230595  $    43076979  $    50178457  $     1776452  $       4      $       0      $      97      $           0  $              $2.431157      $230595.000000      $23.363787 $27.215433 $0.963499 $     0.86  $    28.25  
50699 $   118   $        2107  $       61748     $         211  $         161  $         437  $           1  $       0      $       0      $      65      $           0  $              $0.034123      $211.000000      $0.000087 $0.000237 $0.000001 $     0.37  $   437.00  
50678 $  5474   $ 22395778091  $  9452875365     $     1610395  $   362899761  $   442894208  $    11694646  $      38      $       0      $      97      $           0  $              $2.369203      $1610395.000000      $23.225586 $28.345230 $0.748457 $     0.82  $    37.87  
50678 $  5476   $    13113013  $     5369643     $         400  $      218062  $      324541  $        2751  $       0      $       0      $      97      $           0  $              $2.442064      $400.000000      $6.977984 $10.385312 $0.088032 $     0.67  $   117.97  
50678 $  5593   $  2676627680  $  1099004254     $      208466  $    43322665  $    51638782  $     1356788  $       4      $       0      $      97      $           0  $              $2.435503      $208466.000000      $23.697868 $28.246857 $0.742175 $     0.84  $    38.06  
50701 $   117   $        2107  $       62814     $         263  $         217  $         507  $          48  $       0      $       0      $      65      $           0  $              $0.033543      $263.000000      $0.000119 $0.000277 $0.000026 $     0.43  $    10.56  
50678 $  6593   $ 21856893921  $  9145591229     $     1492225  $   354115429  $   429467320  $    11244501  $      36      $       0      $      97      $           0  $              $2.389883      $1492225.000000      $22.663387 $27.485909 $0.719648 $     0.82  $    38.19  
