PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
50944 $  1003   $ 14759015207  $  8836265785     $      654053  $  1861556249  $     6478445  $     4899201  $      49      $       0      $      97      $           0  $              $1.670277      $654053.000000      $118.783249 $0.413380 $0.312611 $   287.35  $     1.32  
50942 $  1003   $ 17105430336  $  8959936159     $      539775  $   378741282  $   501728950  $     2038696  $       0      $       0      $      97      $           0  $              $1.909102      $539775.000000      $24.166941 $32.014610 $0.130086 $     0.75  $   246.10  
50944 $  2005   $ 15327221890  $  9145979839     $      637651  $  1934391916  $     6375124  $     4967435  $      50      $       0      $      97      $           0  $              $1.675843      $637651.000000      $123.553978 $0.407194 $0.317281 $   303.43  $     1.28  
50942 $  2005   $ 17661205625  $  9189017836     $      493187  $   391008360  $   516521218  $     1565085  $       0      $       0      $      97      $           0  $              $1.921991      $493187.000000      $24.974585 $32.991375 $0.099966 $     0.76  $   330.03  
50944 $  3008   $ 15319070823  $  9145465416     $      643908  $  1933079197  $     6366400  $     4976367  $      50      $       0      $      97      $           0  $              $1.675045      $643908.000000      $123.347023 $0.406231 $0.317535 $   303.64  $     1.28  
50942 $  3008   $ 17660438221  $  9189165570     $      466953  $   391457900  $   520435514  $     1569606  $       0      $       0      $      97      $           0  $              $1.921876      $466953.000000      $24.978371 $33.208248 $0.100154 $     0.75  $   331.57  
50944 $  4011   $ 15323427451  $  9144354045     $      635774  $  1933766278  $     6373316  $     4962968  $      50      $       0      $      97      $           0  $              $1.675726      $635774.000000      $123.390869 $0.406672 $0.316680 $   303.42  $     1.28  
50942 $  4011   $ 17668255697  $  9187907049     $      463991  $   391422158  $   516882688  $     1516503  $       0      $       0      $      97      $           0  $              $1.922990      $463991.000000      $24.976089 $32.981548 $0.096766 $     0.76  $   340.84  
50944 $  5014   $ 15323736760  $  9144564826     $      640609  $  1933871400  $     6361607  $     4979120  $      50      $       0      $      97      $           0  $              $1.675721      $640609.000000      $123.397575 $0.405925 $0.317711 $   303.99  $     1.28  
50942 $  5014   $ 17669924107  $  9188272660     $      477251  $   391011931  $   516727268  $     1558780  $       0      $       0      $      97      $           0  $              $1.923095      $477251.000000      $24.949915 $32.971630 $0.099464 $     0.76  $   331.49  
50944 $  6016   $ 15324084547  $  9145694678     $      638138  $  1933857441  $     6374044  $     4965840  $      50      $       0      $      97      $           0  $              $1.675552      $638138.000000      $123.519836 $0.407125 $0.317179 $   303.40  $     1.28  
50942 $  6017   $ 17656197912  $  9189694551     $      479262  $   391358068  $   518878301  $     1580294  $       0      $       0      $      97      $           0  $              $1.921304      $479262.000000      $24.972002 $33.108883 $0.100836 $     0.75  $   328.34  
50944 $  6262   $  3840380125  $  2290902531     $      167031  $   485683334  $     1591207  $     1286635  $      11      $       0      $      97      $           0  $              $1.676361      $167031.000000      $126.356636 $0.413973 $0.334734 $   305.23  $     1.24  
50942 $  6263   $  3089735757  $  1610139646     $       68991  $    67912922  $    88147157  $      219179  $       0      $       0      $      97      $           0  $              $1.918924      $68991.000000      $17.668402 $22.932594 $0.057022 $     0.77  $   402.17  
50944 $  7087   $ 13219917338  $  7860908145     $      425203  $  1672559077  $     5198128  $     3593301  $      29      $       0      $      97      $           0  $              $1.681729      $425203.000000      $129.750046 $0.403249 $0.278753 $   321.76  $     1.45  
50944 $  7089   $     9726922  $     5721352     $         113  $     1246478  $        3431  $        2321  $       0      $       0      $      97      $           0  $              $1.700109      $113.000000      $39.887295 $0.109792 $0.074272 $   363.30  $     1.48  
50944 $  8092   $ 15328346957  $  9144279025     $      630657  $  1934692485  $     6361042  $     4935285  $      50      $       0      $      97      $           0  $              $1.676277      $630657.000000      $123.449966 $0.405889 $0.314914 $   304.15  $     1.29  
50962 $  1002   $ 17202542665  $  9006166486     $      537074  $   381098809  $   504132255  $     1931951  $       0      $       0      $      97      $           0  $              $1.910085      $537074.000000      $24.341640 $32.200066 $0.123398 $     0.76  $   260.94  
50944 $  9095   $ 15319697573  $  9145263910     $      646025  $  1933189544  $     6367729  $     4989706  $      50      $       0      $      97      $           0  $              $1.675151      $646025.000000      $123.354065 $0.406316 $0.318386 $   303.59  $     1.28  
50962 $  2005   $ 17654000045  $  9188470431     $      463632  $   391518983  $   517723836  $     1600313  $       0      $       0      $      97      $           0  $              $1.921321      $463632.000000      $24.982267 $33.035221 $0.102114 $     0.76  $   323.51  
50944 $ 10098   $ 15323860130  $  9145161072     $      642478  $  1933869774  $     6366564  $     4973248  $      50      $       0      $      97      $           0  $              $1.675625      $642478.000000      $123.397476 $0.406241 $0.317336 $   303.75  $     1.28  
50962 $  3008   $ 17666961373  $  9187529334     $      450663  $   391774138  $   518787472  $     1476334  $       0      $       0      $      97      $           0  $              $1.922928      $450663.000000      $24.998550 $33.103088 $0.094203 $     0.76  $   351.40  
50944 $ 11100   $ 15320112775  $  9144726726     $      642100  $  1933263200  $     6364961  $     4987093  $      50      $       0      $      97      $           0  $              $1.675295      $642100.000000      $123.481880 $0.406544 $0.318537 $   303.74  $     1.28  
50962 $  4010   $ 17664432000  $  9187740313     $      461624  $   391400668  $   515932530  $     1559502  $       0      $       0      $      97      $           0  $              $1.922609      $461624.000000      $24.999643 $32.953773 $0.099609 $     0.76  $   330.83  
50944 $ 12102   $ 15322022739  $  9144978635     $      641568  $  1933584916  $     6366757  $     4972595  $      50      $       0      $      97      $           0  $              $1.675457      $641568.000000      $123.502426 $0.406659 $0.317611 $   303.70  $     1.28  
50962 $  5012   $ 17675942306  $  9188325974     $      444016  $   391641097  $   516873519  $     1483690  $       0      $       0      $      97      $           0  $              $1.923739      $444016.000000      $25.014999 $33.013878 $0.094767 $     0.76  $   348.37  
50944 $ 13104   $ 15316705519  $  9143636327     $      639402  $  1932739506  $     6373022  $     4982252  $      50      $       0      $      97      $           0  $              $1.675122      $639402.000000      $123.448425 $0.407059 $0.318228 $   303.27  $     1.28  
50962 $  6014   $ 17642390403  $  9186714960     $      495520  $   391263321  $   518714289  $     1604971  $       0      $       0      $      97      $           0  $              $1.920424      $495520.000000      $24.990871 $33.131451 $0.102513 $     0.75  $   323.19  
50944 $ 13326   $  3427541888  $  2054480229     $      159837  $   430571570  $     1580660  $     1180992  $      10      $       0      $      97      $           0  $              $1.668326      $159837.000000      $124.128746 $0.455686 $0.340466 $   272.40  $     1.34  
50962 $  6237   $  3006600030  $  1566308528     $       57934  $    66074123  $    85125941  $      206238  $       0      $       0      $      97      $           0  $              $1.919545      $57934.000000      $18.962976 $24.430763 $0.059189 $     0.78  $   412.76  
50944 $ 14154   $ 13243263503  $  7890364165     $      469469  $  1671982411  $     5500598  $     3773953  $      29      $       0      $      97      $           0  $              $1.678410      $469469.000000      $129.235367 $0.425167 $0.291707 $   303.96  $     1.46  
50944 $ 14155   $     8012374  $     4711318     $          34  $     1026715  $        2213  $        1319  $       0      $       0      $      97      $           0  $              $1.700665      $34.000000      $65.709763 $0.141632 $0.084416 $   463.95  $     1.68  
50967 $   281   $  4485304478  $  2395901420     $      214894  $    99405928  $   132311529  $      876974  $       0      $       0      $      97      $           0  $              $1.872074      $214894.000000      $22.640495 $30.135010 $0.199738 $     0.75  $   150.87  
50944 $ 14436   $  4268160071  $  2541623895     $      127208  $   542047912  $     1451499  $     1182809  $      14      $       0      $      97      $           0  $              $1.679304      $127208.000000      $123.455757 $0.330591 $0.269394 $   373.44  $     1.23  
