PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51360 $  1004   $  3385835191  $  8842363557     $    14649129  $   237638976  $   192868959  $    34582447  $      46      $       0      $      97      $           0  $              $0.382911      $14649129.000000      $15.148301 $12.294436 $2.204459 $     1.23  $     5.58  
51358 $  1004   $ 16881050643  $  8944377353     $     1007577  $   375100075  $   498864655  $     3627245  $       0      $       0      $      97      $           0  $              $1.887336      $1007577.000000      $23.910761 $31.800137 $0.231219 $     0.75  $   137.53  
51360 $  2006   $  3539809037  $  9152386440     $    15957277  $   259244813  $   210018607  $    40090597  $      47      $       0      $      97      $           0  $              $0.386764      $15957277.000000      $16.558552 $13.414362 $2.560677 $     1.23  $     5.24  
51358 $  2007   $ 17385276513  $  9150286437     $      979594  $   386373035  $   512163772  $     3367563  $       0      $       0      $      97      $           0  $              $1.899971      $979594.000000      $24.653912 $32.680439 $0.214879 $     0.75  $   152.09  
51360 $  3008   $  3449594376  $  9153256410     $    15812408  $   258773526  $   210989006  $    38346087  $      47      $       0      $      97      $           0  $              $0.376871      $15812408.000000      $16.528448 $13.476344 $2.449251 $     1.23  $     5.50  
51358 $  3009   $ 17410702490  $  9151141684     $      959301  $   386544551  $   511965719  $     3281137  $       0      $       0      $      97      $           0  $              $1.902572      $959301.000000      $24.689472 $32.700405 $0.209574 $     0.76  $   156.03  
51360 $  4010   $  3480640344  $  9145648420     $    16993571  $   277112164  $   224856781  $    40298155  $      47      $       0      $      97      $           0  $              $0.380579      $16993572.000000      $17.699780 $14.362110 $2.573934 $     1.23  $     5.58  
51358 $  4011   $ 17381619166  $  9143509318     $      978157  $   386150006  $   511969740  $     3305425  $       0      $       0      $      97      $           0  $              $1.900979      $978157.000000      $24.664272 $32.700661 $0.211125 $     0.75  $   154.89  
51360 $  5012   $  3542746256  $  9144527059     $    15939157  $   259419398  $   210172747  $    40126680  $      47      $       0      $      97      $           0  $              $0.387417      $15939157.000000      $16.569702 $13.424208 $2.562982 $     1.23  $     5.24  
51358 $  5013   $ 17402837926  $  9141663766     $      951615  $   386567570  $   512010076  $     3256534  $       0      $       0      $      97      $           0  $              $1.903684      $951615.000000      $24.690943 $32.703239 $0.208002 $     0.75  $   157.23  
51360 $  6014   $  3450107472  $  9144406884     $    15792154  $   258643049  $   210883889  $    38347997  $      47      $       0      $      97      $           0  $              $0.377292      $15792154.000000      $16.520115 $13.469629 $2.449373 $     1.23  $     5.50  
51358 $  6015   $ 17415018526  $  9142300823     $      957584  $   386516820  $   511833069  $     3233652  $       0      $       0      $      97      $           0  $              $1.904884      $957584.000000      $24.687702 $32.691933 $0.206541 $     0.76  $   158.28  
51360 $  6361   $  1264520122  $  3209721360     $     6178228  $    99804511  $    80294785  $    15130029  $      15      $       0      $      97      $           0  $              $0.393966      $6178228.000000      $18.407749 $14.809413 $2.790553 $     1.24  $     5.31  
51358 $  6362   $  4691681821  $  2472495875     $      254798  $   103849827  $   136868514  $      846882  $       0      $       0      $      97      $           0  $              $1.897549      $254798.000000      $19.153858 $25.243761 $0.156197 $     0.76  $   161.61  
51360 $  7090   $  2629402562  $  6903673262     $    12305232  $   201376093  $   163619250  $    29769010  $      24      $       0      $      97      $           0  $              $0.380870      $12305232.000000      $17.679108 $14.364378 $2.613466 $     1.23  $     5.50  
51360 $  7092   $     1084826  $     4990333     $       17483  $      285761  $      243106  $       17475  $       0      $       0      $      97      $           0  $              $0.217385      $17483.000000      $9.144352 $7.779392 $0.559200 $     1.18  $    13.91  
51360 $  8095   $  3461231949  $  9140681300     $    15517868  $   253852873  $   206906493  $    38263797  $      46      $       0      $      97      $           0  $              $0.378662      $15517868.000000      $16.197990 $13.202409 $2.441558 $     1.23  $     5.41  
51378 $  1003   $ 16913872501  $  8956123731     $     1024775  $   376238642  $   499942183  $     3760577  $       0      $       0      $      97      $           0  $              $1.888526      $1024775.000000      $24.007252 $31.900597 $0.239957 $     0.75  $   132.94  
51360 $  9098   $  3481179683  $  9140160798     $    16996708  $   277120332  $   224876123  $    40302020  $      47      $       0      $      97      $           0  $              $0.380866      $16996708.000000      $17.682653 $14.349025 $2.571615 $     1.23  $     5.58  
51378 $  2006   $ 17366444019  $  9138599292     $      983900  $   386443536  $   511660012  $     3388457  $       0      $       0      $      97      $           0  $              $1.900340      $983900.000000      $24.658409 $32.648296 $0.216213 $     0.76  $   151.00  
51360 $ 10100   $  3526137837  $  9138596744     $    16178179  $   263326990  $   213413961  $    40154250  $      47      $       0      $      97      $           0  $              $0.385851      $16178179.000000      $16.819288 $13.631231 $2.564742 $     1.23  $     5.31  
51378 $  3008   $ 17373824961  $  9136800072     $      981285  $   386317354  $   511310579  $     3361490  $       0      $       0      $      97      $           0  $              $1.901522      $981285.000000      $24.674959 $32.658562 $0.214706 $     0.76  $   152.11  
51378 $  3497   $  8474559585  $  4455162787     $      482543  $   188623326  $   250986888  $     1632640  $       0      $       0      $      97      $           0  $              $1.902188      $482543.000000      $24.686897 $32.848999 $0.213679 $     0.75  $   153.73  
51360 $ 10589   $  1649141084  $  4418912301     $     8144957  $   133492113  $   108815438  $    18657719  $      23      $       0      $      97      $           0  $              $0.373201      $8144957.000000      $17.471361 $14.241693 $2.441910 $     1.23  $     5.83  
