PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52339 $  1002   $  5537200331  $  7803913735     $    11493809  $   153380964  $   155272815  $   144903090  $      50      $       0      $      97      $           0  $              $0.709541      $11493809.000000      $9.796788 $9.917625 $9.255287 $     0.99  $     1.07  
52337 $  1002   $ 13946276531  $  8669791623     $      732295  $  1748164894  $     6453458  $     5100070  $       0      $       0      $      97      $           0  $              $1.608606      $732295.000000      $111.659233 $0.412197 $0.325753 $   270.89  $     1.27  
52339 $  2004   $  6422564329  $  9121927389     $    15360039  $   199564104  $   199621045  $   194851816  $      52      $       0      $      97      $           0  $              $0.704080      $15360039.000000      $12.746609 $12.750246 $12.445624 $     1.00  $     1.02  
52337 $  2004   $ 14608752288  $  9060860331     $      666691  $  1835831493  $     6051144  $     5020860  $       0      $       0      $      97      $           0  $              $1.612292      $666691.000000      $117.258705 $0.386500 $0.320694 $   303.39  $     1.21  
52339 $  3006   $  6345580080  $  9124533558     $    15506574  $   200674035  $   200730611  $   195950779  $      52      $       0      $      97      $           0  $              $0.695442      $15506574.000000      $12.817503 $12.821116 $12.515819 $     1.00  $     1.02  
52337 $  3006   $ 14494569177  $  9055372269     $      736139  $  1814561394  $     6377074  $     5236990  $       0      $       0      $      97      $           0  $              $1.600660      $736139.000000      $115.900131 $0.407318 $0.334498 $   284.54  $     1.22  
52339 $  4008   $  6442103191  $  9123806394     $    15520448  $   200923055  $   200980034  $   196197633  $      52      $       0      $      97      $           0  $              $0.706076      $15520448.000000      $12.833408 $12.837048 $12.531586 $     1.00  $     1.02  
52337 $  4008   $ 14602414727  $  9062199920     $      663896  $  1834653065  $     6023231  $     5021273  $       0      $       0      $      97      $           0  $              $1.611354      $663896.000000      $117.183426 $0.384717 $0.320720 $   304.60  $     1.20  
52339 $  5010   $  6392259631  $  9123473494     $    15469242  $   199939766  $   199997017  $   195227584  $      52      $       0      $      97      $           0  $              $0.700639      $15469242.000000      $12.770603 $12.774261 $12.469626 $     1.00  $     1.02  
52337 $  5010   $ 14487449202  $  9053646435     $      737883  $  1813499346  $     6367542  $     5235677  $       0      $       0      $      97      $           0  $              $1.600178      $737883.000000      $115.832298 $0.406709 $0.334415 $   284.80  $     1.22  
52339 $  6012   $  6364083221  $  9124049040     $    15394850  $   199209840  $   199268013  $   194494549  $      52      $       0      $      97      $           0  $              $0.697506      $15394850.000000      $12.723982 $12.727697 $12.422805 $     1.00  $     1.02  
52337 $  6012   $ 14622891670  $  9063633716     $      663551  $  1837778705  $     6036391  $     5024787  $       0      $       0      $      97      $           0  $              $1.613359      $663551.000000      $117.383072 $0.385558 $0.320944 $   304.45  $     1.20  
52339 $  7015   $  6329374455  $  6948129853     $     9312345  $   127913365  $   127950359  $   125358829  $      47      $       0      $      97      $           0  $              $0.910946      $9312345.000000      $8.161969 $8.164330 $7.998968 $     1.00  $     1.02  
52337 $  7014   $ 15044190660  $  9206209415     $      702443  $  1891296515  $     6403139  $     5301830  $       0      $       0      $      97      $           0  $              $1.634135      $702443.000000      $120.801376 $0.408983 $0.338640 $   295.37  $     1.21  
52337 $  7130   $  1790064728  $  1072436600     $       82004  $   225165422  $      809488  $      600108  $       0      $       0      $      97      $           0  $              $1.669157      $82004.000000      $124.229202 $0.446614 $0.331094 $   278.16  $     1.35  
52339 $  7132   $        1992  $       77289     $         379  $         253  $         531  $         155  $       4      $       0      $      97      $           0  $              $0.025773      $379.000000      $0.000138 $0.000290 $0.000085 $     0.48  $     3.43  
52337 $  8093   $ 15271367752  $  9108257499     $      545269  $  1928813311  $     6323956  $     4408145  $       0      $       0      $      97      $           0  $              $1.676651      $545269.000000      $128.186966 $0.420284 $0.292961 $   305.00  $     1.43  
52337 $  8096   $     2038395  $     1237140     $          23  $      261499  $         731  $         461  $       0      $       0      $      97      $           0  $              $1.647667      $23.000000      $5.578645 $0.015595 $0.009835 $   357.73  $     1.59  
52337 $  9098   $ 14547177651  $  8987334310     $      644452  $  1826696639  $     6104482  $     4981898  $      51      $       0      $      97      $           0  $              $1.618631      $644452.000000      $116.675232 $0.389907 $0.318205 $   299.24  $     1.23  
52357 $  1002   $  5627350845  $  7887401018     $    11653444  $   155941758  $   157588948  $   147170052  $       0      $       0      $      97      $           0  $              $0.713461      $11653444.000000      $9.960352 $10.065561 $9.400083 $     0.99  $     1.07  
52357 $  2004   $  6389248495  $  9059379533     $    15250322  $   199111844  $   199169482  $   194442536  $      51      $       0      $      97      $           0  $              $0.705263      $15250322.000000      $12.717722 $12.721404 $12.419483 $     1.00  $     1.02  
52337 $ 10100   $ 13737679916  $  8682840688     $      713455  $  1709338209  $     6069103  $     5039356  $       0      $       0      $      97      $           0  $              $1.582164      $713455.000000      $109.179291 $0.387647 $0.321875 $   281.65  $     1.20  
52357 $  3006   $  6357324985  $  9102629571     $    15510573  $   201085723  $   201143647  $   196334109  $      52      $       0      $      97      $           0  $              $0.698405      $15510573.000000      $12.843799 $12.847499 $12.540302 $     1.00  $     1.02  
52337 $ 11102   $ 14631250459  $  9040939756     $      664394  $  1838639430  $     6029929  $     5025814  $       0      $       0      $      97      $           0  $              $1.618333      $664394.000000      $117.438049 $0.385145 $0.321010 $   304.92  $     1.20  
52357 $  4008   $  6448433571  $  9103400851     $    15490255  $   200712605  $   200770052  $   195982270  $      52      $       0      $      97      $           0  $              $0.708354      $15490255.000000      $12.819967 $12.823636 $12.517830 $     1.00  $     1.02  
52337 $ 12104   $ 14518876751  $  9035039372     $      733739  $  1817773954  $     6360227  $     5241312  $       0      $       0      $      97      $           0  $              $1.606952      $733739.000000      $116.105324 $0.406242 $0.334774 $   285.80  $     1.21  
52357 $  5010   $  6380547426  $  9103889003     $    15447447  $   200054186  $   200112447  $   195312779  $      52      $       0      $      97      $           0  $              $0.700860      $15447447.000000      $12.777912 $12.781633 $12.475068 $     1.00  $     1.02  
52337 $ 13106   $ 14639347133  $  9042125332     $      662955  $  1839925713  $     6038269  $     5027844  $       0      $       0      $      97      $           0  $              $1.619016      $662955.000000      $117.520210 $0.385678 $0.321140 $   304.71  $     1.20  
