PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53266 $  1003   $ 17533112617  $  9014105936     $     3472081  $   382225441  $   347845337  $    53350966  $      44      $       0      $      97      $           0  $              $1.945075      $3472081.000000      $24.389261 $22.195515 $3.404249 $     1.10  $     6.52  
53264 $  1003   $  1442262376  $  4623228308     $     3168616  $    83313074  $    62337429  $     7293170  $       0      $       0      $      97      $           0  $              $0.311960      $3168616.000000      $5.316088 $3.977662 $0.465367 $     1.34  $     8.55  
53266 $  2005   $ 18663247387  $  9441324473     $     3439619  $   407653064  $   371217053  $    53700181  $      45      $       0      $      97      $           0  $              $1.976762      $3439619.000000      $26.037720 $23.710470 $3.429952 $     1.10  $     6.91  
53264 $  2005   $  1004031213  $  3989148550     $     3914064  $   106291055  $    83534313  $     7621345  $       0      $       0      $      97      $           0  $              $0.251691      $3914064.000000      $6.789050 $5.335525 $0.486793 $     1.27  $    10.96  
53266 $  3008   $ 18398665869  $  9331190740     $     3531755  $   402141194  $   365858755  $    55320894  $      46      $       0      $      97      $           0  $              $1.971738      $3531755.000000      $25.660055 $23.344925 $3.529948 $     1.10  $     6.61  
53264 $  3008   $  1719704687  $  5500562657     $     3737463  $   102430764  $    78122777  $    11139702  $       0      $       0      $      97      $           0  $              $0.312642      $3737463.000000      $6.535961 $4.984903 $0.710809 $     1.31  $     7.01  
53266 $  4010   $ 18462699844  $  9395390207     $     3566180  $   403397765  $   367087403  $    55306734  $      45      $       0      $      97      $           0  $              $1.965081      $3566180.000000      $25.765924 $23.446699 $3.532566 $     1.10  $     6.64  
53264 $  4010   $  1193112186  $  4331377982     $     3725827  $   102174238  $    81297831  $    10119345  $       0      $       0      $      97      $           0  $              $0.275458      $3725827.000000      $6.526099 $5.192676 $0.646345 $     1.26  $     8.03  
53266 $  5012   $ 18508248203  $  9371206208     $     3434743  $   404256881  $   368087517  $    53617948  $      46      $       0      $      97      $           0  $              $1.975012      $3434743.000000      $25.820799 $23.510580 $3.424699 $     1.10  $     6.87  
53264 $  5013   $  1508054564  $  5106782729     $     3918812  $   106184376  $    80483271  $     8590008  $       0      $       0      $      97      $           0  $              $0.295304      $3918812.000000      $6.775474 $5.135523 $0.548116 $     1.32  $     9.37  
53266 $  6015   $ 18332447700  $  9296670211     $     3530414  $   400716065  $   364552396  $    55342354  $      46      $       0      $      97      $           0  $              $1.971937      $3530414.000000      $25.569120 $23.261568 $3.531317 $     1.10  $     6.59  
53264 $  6016   $  1490447684  $  4942168295     $     3695607  $   101082127  $    78511343  $    11098169  $       0      $       0      $      97      $           0  $              $0.301578      $3695607.000000      $6.449906 $5.009697 $0.708158 $     1.29  $     7.07  
53266 $  6636   $ 11678012769  $  5896622572     $     2030716  $   254742988  $   232302040  $    31265220  $      26      $       0      $      97      $           0  $              $1.980458      $2030716.000000      $26.253706 $23.940952 $3.222180 $     1.10  $     7.43  
53264 $  6637   $   386948505  $  1784923096     $     1967863  $    52888551  $    41974522  $     1972436  $       0      $       0      $      97      $           0  $              $0.216787      $1967863.000000      $5.450672 $4.325876 $0.203278 $     1.26  $    21.28  
53266 $  7140   $  9497995789  $  4758354897     $     1414037  $   206637065  $   188935016  $    21596248  $      20      $       0      $      97      $           0  $              $1.996067      $1414037.000000      $26.239628 $23.991747 $2.742381 $     1.09  $     8.75  
53266 $  7141   $     9825799  $     4851272     $        1374  $      214141  $      195617  $       21312  $       0      $       0      $      97      $           0  $              $2.025407      $1374.000000      $13.705024 $12.519488 $1.363968 $     1.09  $     9.18  
53266 $  8144   $ 18332385783  $  9293653059     $     3562163  $   400696966  $   364544852  $    55862088  $      45      $       0      $      97      $           0  $              $1.972570      $3562163.000000      $25.567902 $23.261087 $3.564480 $     1.10  $     6.53  
53289 $  1003   $  1468315076  $  4696601631     $     3230537  $    85466093  $    61537651  $     7356641  $       0      $       0      $      97      $           0  $              $0.312634      $3230537.000000      $5.453470 $3.926630 $0.469417 $     1.39  $     8.36  
53266 $  9147   $ 18366788182  $  9284934134     $     3394942  $   401120496  $   365319594  $    52937626  $      44      $       0      $      97      $           0  $              $1.978128      $3394942.000000      $25.594929 $23.310522 $3.377874 $     1.10  $     6.90  
53289 $  2006   $   983812035  $  3906127822     $     3865054  $   105317886  $    80798320  $     7571631  $       0      $       0      $      97      $           0  $              $0.251864      $3865054.000000      $6.720184 $5.155626 $0.483135 $     1.30  $    10.67  
53266 $ 10150   $ 18345219817  $  9334454754     $     3579981  $   400865916  $   364732189  $    55467864  $      46      $       0      $      97      $           0  $              $1.965323      $3579981.000000      $25.578682 $23.273041 $3.539325 $     1.10  $     6.58  
53289 $  3009   $  1723607692  $  5501877939     $     3770918  $   103734902  $    76263601  $    11172593  $       0      $       0      $      97      $           0  $              $0.313276      $3770918.000000      $6.619176 $4.866271 $0.712907 $     1.36  $     6.83  
53266 $ 11153   $ 18334949202  $  9292132580     $     3531681  $   400705015  $   364584112  $    55287738  $      45      $       0      $      97      $           0  $              $1.973169      $3531681.000000      $25.568417 $23.263594 $3.527832 $     1.10  $     6.59  
53289 $  4012   $  1269100497  $  4449299022     $     3646739  $   100635095  $    78565877  $    11012607  $       0      $       0      $      97      $           0  $              $0.285236      $3646739.000000      $6.421382 $5.013177 $0.702699 $     1.28  $     7.13  
53266 $ 12156   $ 18544643751  $  9379106406     $     3420679  $   405005458  $   368858172  $    53316795  $      46      $       0      $      97      $           0  $              $1.977229      $3420679.000000      $25.842821 $23.536314 $3.402069 $     1.10  $     6.92  
53289 $  5015   $  1434847921  $  4963877959     $     4009227  $   108795275  $    79363068  $     7716748  $       0      $       0      $      97      $           0  $              $0.289058      $4009227.000000      $6.942071 $5.064044 $0.492395 $     1.37  $    10.28  
53266 $ 13159   $ 18254399594  $  9289871658     $     3560990  $   398827579  $   362908628  $    55215532  $      46      $       0      $      97      $           0  $              $1.964979      $3560990.000000      $25.448620 $23.156683 $3.523224 $     1.10  $     6.57  
53289 $  6018   $  1608434395  $  5220766419     $     3724744  $   102183807  $    76870363  $    11123895  $       0      $       0      $      97      $           0  $              $0.308084      $3724744.000000      $6.520203 $4.904988 $0.709800 $     1.33  $     6.91  
53266 $ 13708   $ 10407840907  $  5227282317     $     1769907  $   227122808  $   207090173  $    27717586  $      23      $       0      $      97      $           0  $              $1.991061      $1769907.000000      $26.476976 $24.141661 $3.231194 $     1.10  $     7.47  
