PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53699 $  1003   $ 14726920493  $  8830857641     $      638125  $  1853723379  $     8764857  $     4782266  $      46      $       0      $      97      $           0  $              $1.667666      $638125.000000      $118.283447 $0.559273 $0.305150 $   211.49  $     1.83  
53697 $  1003   $  6777410377  $  9120268670     $       19818  $    16385713  $    18013267  $      402736  $       0      $       0      $      97      $           0  $              $0.743115      $19818.000000      $1.045549 $1.149401 $0.025698 $     0.91  $    44.73  
53699 $  2005   $ 15318750482  $  9151253285     $      611701  $  1929312322  $     8330358  $     4829362  $      47      $       0      $      97      $           0  $              $1.673951      $611701.000000      $123.229530 $0.532079 $0.308462 $   231.60  $     1.72  
53697 $  2005   $  6853740620  $  9193598188     $       14649  $    16060702  $    17282951  $      301871  $       0      $       0      $      97      $           0  $              $0.745491      $14649.000000      $1.025833 $1.103901 $0.019281 $     0.93  $    57.25  
53699 $  3007   $ 15301636374  $  9142481016     $      610552  $  1927024732  $     8382199  $     4828749  $      47      $       0      $      97      $           0  $              $1.673685      $610552.000000      $123.083420 $0.535390 $0.308423 $   229.89  $     1.74  
53697 $  3007   $  6862114591  $  9188441135     $       14462  $    14919697  $    15314125  $      304430  $       0      $       0      $      97      $           0  $              $0.746820      $14462.000000      $0.952955 $0.978148 $0.019445 $     0.97  $    50.30  
53699 $  4009   $ 15301933580  $  9140809319     $      608969  $  1927126731  $     8351380  $     4827426  $      47      $       0      $      97      $           0  $              $1.674024      $608969.000000      $123.089935 $0.533421 $0.308339 $   230.76  $     1.73  
53697 $  4009   $  6857135647  $  9186512988     $       14172  $    15332752  $    15982146  $      297815  $       0      $       0      $      97      $           0  $              $0.746435      $14172.000000      $0.979337 $1.020816 $0.019022 $     0.96  $    53.66  
53699 $  5012   $ 15299260018  $  9141552462     $      608455  $  1926764864  $     8380488  $     4829303  $      47      $       0      $      97      $           0  $              $1.673596      $608455.000000      $122.944115 $0.534747 $0.308151 $   229.91  $     1.74  
53697 $  5012   $  6847395433  $  9186981030     $       14292  $    15604573  $    16517219  $      302631  $       0      $       0      $      97      $           0  $              $0.745337      $14292.000000      $0.995706 $1.053940 $0.019310 $     0.94  $    54.58  
53699 $  6015   $ 15300292250  $  9141194338     $      610493  $  1926945487  $     8378311  $     4831723  $      47      $       0      $      97      $           0  $              $1.673774      $610493.000000      $122.955650 $0.534608 $0.308305 $   229.99  $     1.73  
53697 $  6015   $  6842153271  $  9187100014     $       14502  $    16556116  $    18185901  $      300827  $       0      $       0      $      97      $           0  $              $0.744757      $14502.000000      $1.056422 $1.160416 $0.019195 $     0.91  $    60.45  
53699 $  7017   $ 15298372857  $  9141281060     $      610454  $  1926652503  $     8354222  $     4831477  $      47      $       0      $      97      $           0  $              $1.673548      $610454.000000      $123.059647 $0.533603 $0.308597 $   230.62  $     1.73  
53697 $  7018   $  6837471550  $  9187153601     $       14780  $    16841986  $    18721702  $      298703  $       0      $       0      $      97      $           0  $              $0.744243      $14780.000000      $1.074663 $1.194605 $0.019060 $     0.90  $    62.68  
53699 $  8019   $ 15300827439  $  9141322907     $      609734  $  1927014818  $     8347485  $     4834079  $      48      $       0      $      97      $           0  $              $1.673809      $609734.000000      $123.082779 $0.533173 $0.308764 $   230.85  $     1.73  
53697 $  8020   $  6848041730  $  9187548455     $       14654  $    16161451  $    17515475  $      297786  $       0      $       0      $      97      $           0  $              $0.745361      $14654.000000      $1.032268 $1.118753 $0.019020 $     0.92  $    58.82  
53699 $  9021   $ 15349489650  $  9149512415     $      560371  $  1937787293  $     8034412  $     4643096  $      48      $       0      $      97      $           0  $              $1.677629      $560371.000000      $123.770844 $0.513176 $0.296565 $   241.19  $     1.73  
53697 $  9022   $  6848393294  $  9187582685     $       12731  $    15991981  $    17172470  $      266574  $       0      $       0      $      97      $           0  $              $0.745397      $12731.000000      $1.021444 $1.096844 $0.017027 $     0.93  $    64.42  
53699 $ 10023   $ 15298906109  $  9141497662     $      609481  $  1926726501  $     8333820  $     4823686  $      47      $       0      $      97      $           0  $              $1.673567      $609481.000000      $123.064369 $0.532300 $0.308100 $   231.19  $     1.73  
53697 $ 10024   $  6858086328  $  9185990039     $       14028  $    14759485  $    15022701  $      302634  $       0      $       0      $      97      $           0  $              $0.746581      $14028.000000      $0.942722 $0.959534 $0.019330 $     0.98  $    49.64  
53699 $ 10498   $  7324787943  $  4389413522     $      316917  $   919500848  $     4234106  $     2401221  $      21      $       0      $      97      $           0  $              $1.668740      $316917.000000      $123.890640 $0.570490 $0.323533 $   217.17  $     1.76  
