PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54050 $  1003   $  1244186538  $  6927031553     $      183483  $   244064937  $   243005614  $      606532  $      40      $       0      $      97      $           0  $              $0.179613      $183483.000000      $15.573436 $15.505842 $0.038702 $     1.00  $   400.65  
54048 $  1003   $  6830529272  $  9167899280     $        6301  $    16351669  $    17802544  $      112927  $       0      $       0      $      97      $           0  $              $0.745048      $6301.000000      $1.043377 $1.135955 $0.007206 $     0.92  $   157.65  
54050 $  2006   $  1192301133  $  6443051342     $       20309  $   222597911  $   221652069  $       27387  $      40      $       0      $      97      $           0  $              $0.185052      $20309.000000      $14.203655 $14.143302 $0.001748 $     1.00  $  8093.33  
54048 $  2006   $  6920451803  $  9270428081     $         167  $    15532400  $    16314077  $        9484  $       0      $       0      $      97      $           0  $              $0.746508      $167.000000      $0.991100 $1.040978 $0.000605 $     0.95  $  1720.17  
54050 $  3009   $  1099883850  $  5940286725     $        7081  $   205342262  $   204477978  $        8771  $      39      $       0      $      97      $           0  $              $0.185157      $7081.000000      $13.102596 $13.047448 $0.000560 $     1.00  $ 23312.96  
54048 $  3009   $  7017555779  $  9402073689     $          77  $    16473120  $    17733533  $        7242  $       0      $       0      $      97      $           0  $              $0.746384      $77.000000      $1.051126 $1.131551 $0.000462 $     0.93  $  2448.71  
54050 $  4011   $   996003380  $  5394943895     $        8397  $   186797806  $   186083543  $        9627  $      38      $       0      $      97      $           0  $              $0.184618      $8397.000000      $11.931197 $11.885575 $0.000615 $     1.00  $ 19329.34  
54048 $  4012   $  7021370734  $  9406834895     $          86  $    15998314  $    16935293  $       11124  $       0      $       0      $      97      $           0  $              $0.746412      $86.000000      $1.020830 $1.080617 $0.000710 $     0.94  $  1522.41  
54050 $  5014   $  1233017892  $  6550760251     $        7241  $   219389786  $   218563775  $        7144  $      40      $       0      $      97      $           0  $              $0.188225      $7241.000000      $13.998950 $13.946243 $0.000456 $     1.00  $ 30594.03  
54048 $  5015   $  6970421662  $  9332935535     $          45  $    15345681  $    15927428  $        9745  $       0      $       0      $      97      $           0  $              $0.746863      $45.000000      $0.979186 $1.016307 $0.000622 $     0.96  $  1634.42  
54050 $  6017   $  1171285548  $  6588846317     $        7039  $   234504644  $   233544224  $        8285  $      40      $       0      $      97      $           0  $              $0.177768      $7039.000000      $14.963407 $14.902124 $0.000529 $     1.00  $ 28188.80  
54048 $  6018   $  6902791051  $  9229341147     $          63  $    15331033  $    16004646  $        8798  $       0      $       0      $      97      $           0  $              $0.747918      $63.000000      $0.978251 $1.021234 $0.000561 $     0.96  $  1819.12  
54050 $  7019   $  1094689378  $  6068618073     $        6929  $   214067728  $   213169899  $        8727  $      40      $       0      $      97      $           0  $              $0.180385      $6929.000000      $13.672989 $13.615643 $0.000557 $     1.00  $ 24426.48  
54048 $  7020   $  6924346285  $  9270700087     $          65  $    15728019  $    16583219  $        8029  $       0      $       0      $      97      $           0  $              $0.746907      $65.000000      $1.004584 $1.059208 $0.000513 $     0.95  $  2065.42  
54050 $  8021   $  1057421303  $  5678012383     $        6933  $   195580939  $   194766992  $        8125  $      39      $       0      $      97      $           0  $              $0.186231      $6933.000000      $12.492196 $12.440207 $0.000519 $     1.00  $ 23971.32  
54048 $  8022   $  7021392183  $  9405582699     $          63  $    16090974  $    17065049  $        9036  $       0      $       0      $      97      $           0  $              $0.746513      $63.000000      $1.027767 $1.089983 $0.000577 $     0.94  $  1888.56  
54050 $  9023   $  1089015874  $  5710092869     $        7485  $   188978111  $   188293690  $        7422  $      39      $       0      $      97      $           0  $              $0.190718      $7485.000000      $12.070458 $12.026743 $0.000474 $     1.00  $ 25369.67  
54048 $  9024   $  7007566534  $  9383313729     $          55  $    15508268  $    16132941  $       10822  $       0      $       0      $      97      $           0  $              $0.746812      $55.000000      $0.990548 $1.030447 $0.000691 $     0.96  $  1490.75  
54050 $ 10026   $  1222587596  $  6907357564     $        6702  $   246801500  $   245759044  $        8050  $      41      $       0      $      97      $           0  $              $0.176998      $6702.000000      $15.748052 $15.681534 $0.000514 $     1.00  $ 30529.07  
54048 $ 10027   $  6926411443  $  9272050924     $          76  $    14991755  $    15385661  $        9455  $       0      $       0      $      97      $           0  $              $0.747020      $76.000000      $0.956603 $0.981737 $0.000603 $     0.97  $  1627.25  
54050 $ 10308   $   228753894  $   978802206     $        1661  $    25960864  $    25888141  $        1656  $       8      $       0      $      97      $           0  $              $0.233708      $1661.000000      $5.891827 $5.875322 $0.000376 $     1.00  $ 15632.93  
54048 $ 10309   $  1371300986  $  1888162250     $        1118  $     2829843  $     2911865  $        1759  $       0      $       0      $      97      $           0  $              $0.726262      $1118.000000      $0.642234 $0.660849 $0.000399 $     0.97  $  1655.41  
54050 $ 11102   $  1089999442  $  6038923460     $        2310  $   213137985  $   212212469  $        5656  $      25      $       0      $      97      $           0  $              $0.180496      $2310.000000      $17.179888 $17.105288 $0.000456 $     1.00  $ 37519.88  
54050 $ 11104   $      477951  $     3274529     $           4  $      128313  $      127936  $           0  $       0      $       0      $      97      $           0  $              $0.145960      $4.000000      $4.106016 $4.093952 $0.000000 $     1.00  $      inf  
54050 $ 12107   $  1073992039  $  5927373740     $       11848  $   208640635  $   207759657  $       19142  $      39      $       0      $      97      $           0  $              $0.181192      $11848.000000      $13.313062 $13.256848 $0.001221 $     1.00  $ 10853.60  
54068 $  1003   $  6897942282  $  9263226006     $        2760  $    17195307  $    19114610  $       41743  $       0      $       0      $      97      $           0  $              $0.744659      $2760.000000      $1.097208 $1.219676 $0.002664 $     0.90  $   457.91  
54068 $  1845   $  5916120342  $  7924392500     $         556  $    13694672  $    14608160  $        8564  $       0      $       0      $      97      $           0  $              $0.746571      $556.000000      $1.040925 $1.110359 $0.000651 $     0.94  $  1705.76  
54050 $ 12949   $   775053586  $  4040234999     $        7124  $   132631372  $   132198210  $        6797  $      31      $       0      $      97      $           0  $              $0.191834      $7124.000000      $10.081244 $10.048320 $0.000517 $     1.00  $ 19449.49  
