PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54093 $  1003   $  4923291354  $  8834225689     $    28167513  $   216269033  $   143891468  $   140452836  $      44      $       0      $      97      $           0  $              $0.557297      $28167512.000000      $13.799819 $9.181510 $8.962095 $     1.50  $     1.02  
54091 $  1003   $  6580294415  $  9043334573     $      593307  $    15391518  $    16651669  $    10370203  $       0      $       0      $      97      $           0  $              $0.727640      $593307.000000      $0.982111 $1.062519 $0.661708 $     0.92  $     1.61  
54093 $  2005   $  5115238297  $  9114628669     $    30250983  $   231877667  $   154731410  $   151107915  $      45      $       0      $      97      $           0  $              $0.561212      $30250984.000000      $14.810550 $9.883044 $9.651604 $     1.50  $     1.02  
54091 $  2005   $  6636888465  $  9112099542     $      636031  $    14730121  $    15427889  $    11098432  $       0      $       0      $      97      $           0  $              $0.728360      $636031.000000      $0.940846 $0.985414 $0.708882 $     0.95  $     1.39  
54093 $  3007   $  5109318351  $  9114648137     $    30245733  $   231569963  $   154631360  $   151018930  $      45      $       0      $      97      $           0  $              $0.560561      $30245732.000000      $14.790896 $9.876654 $9.645920 $     1.50  $     1.02  
54091 $  3008   $  6642274211  $  9112139876     $      634479  $    14414500  $    14897211  $    11103389  $       0      $       0      $      97      $           0  $              $0.728948      $634479.000000      $0.919769 $0.950570 $0.708491 $     0.97  $     1.34  
54093 $  4009   $  5157267241  $  9112291810     $    31097780  $   237664986  $   158334523  $   154643342  $      45      $       0      $      97      $           0  $              $0.565968      $31097780.000000      $15.180199 $10.113183 $9.877419 $     1.50  $     1.02  
54091 $  4011   $  6618922832  $  9108320252     $      647339  $    15437199  $    16661893  $    11328565  $       0      $       0      $      97      $           0  $              $0.726690      $647339.000000      $0.985026 $1.063172 $0.722860 $     0.93  $     1.47  
54093 $  5011   $  5148798873  $  9113705664     $    30773227  $   236001873  $   157129136  $   153465430  $      45      $       0      $      97      $           0  $              $0.564951      $30773228.000000      $15.073972 $10.036192 $9.802183 $     1.50  $     1.02  
54091 $  5014   $  6636661640  $  9111097430     $      640610  $    14623109  $    15252539  $    11217880  $       0      $       0      $      97      $           0  $              $0.728415      $640610.000000      $0.933080 $0.973243 $0.715797 $     0.96  $     1.36  
54093 $  6014   $  5113425332  $  9114624078     $    30242682  $   231762585  $   154639677  $   151023469  $      45      $       0      $      97      $           0  $              $0.561013      $30242682.000000      $14.788441 $9.867337 $9.636593 $     1.50  $     1.02  
54091 $  6017   $  6633423812  $  9111224299     $      635697  $    14942213  $    15809210  $    11096813  $       0      $       0      $      97      $           0  $              $0.728050      $635697.000000      $0.953441 $1.008763 $0.708072 $     0.95  $     1.42  
54093 $  7017   $  5121831365  $  9113399448     $    30167552  $   232178239  $   154620595  $   150985569  $      45      $       0      $      97      $           0  $              $0.562011      $30167552.000000      $14.814962 $9.866119 $9.634173 $     1.50  $     1.02  
54091 $  7020   $  6630283811  $  9110087964     $      635183  $    15620588  $    16996653  $    11086275  $       0      $       0      $      97      $           0  $              $0.727796      $635183.000000      $0.996727 $1.084532 $0.707399 $     0.92  $     1.53  
54093 $  8020   $  5122582284  $  9114335078     $    30196031  $   232246043  $   154707430  $   151084803  $      45      $       0      $      97      $           0  $              $0.562036      $30196032.000000      $14.819289 $9.871660 $9.640506 $     1.50  $     1.02  
54091 $  8023   $  6634391793  $  9112367926     $      636067  $    14995827  $    15911958  $    11107255  $       0      $       0      $      97      $           0  $              $0.728064      $636067.000000      $0.956862 $1.015319 $0.708738 $     0.94  $     1.43  
54093 $  9023   $  5116601764  $  9115739070     $    30262788  $   231963123  $   154758767  $   151141381  $      45      $       0      $      97      $           0  $              $0.561293      $30262788.000000      $14.801236 $9.874936 $9.644115 $     1.50  $     1.02  
54091 $  9026   $  6639036170  $  9113482961     $      637177  $    14638339  $    15291103  $    11094450  $       0      $       0      $      97      $           0  $              $0.728485      $637177.000000      $0.934052 $0.975703 $0.707921 $     0.96  $     1.38  
54093 $ 10025   $  5185961029  $  9109986386     $    31574703  $   241415352  $   160590074  $   156847779  $      45      $       0      $      97      $           0  $              $0.569261      $31574704.000000      $15.419744 $10.257251 $10.018221 $     1.50  $     1.02  
54091 $ 10028   $  6611628526  $  9105268243     $      655232  $    15598626  $    16969879  $    11446564  $       0      $       0      $      97      $           0  $              $0.726132      $655232.000000      $0.996319 $1.083905 $0.731118 $     0.92  $     1.48  
54093 $ 10864   $  4292758864  $  7705918771     $    24897041  $   190704526  $   127411226  $   124387984  $      36      $       0      $      97      $           0  $              $0.557073      $24897040.000000      $14.547187 $9.719092 $9.488476 $     1.50  $     1.02  
54091 $ 10867   $  4691406308  $  6544675634     $      436014  $    10799854  $    11748502  $     7561641  $       0      $       0      $      97      $           0  $              $0.716828      $436014.000000      $0.823827 $0.896191 $0.576812 $     0.92  $     1.55  
54093 $ 11143   $  1542244185  $  2708366835     $     9579373  $    71143732  $    47389929  $    46252367  $      10      $       0      $      97      $           0  $              $0.569437      $9579373.000000      $16.319708 $10.870808 $10.609862 $     1.50  $     1.02  
54093 $ 11145   $     5009355  $     5986776     $       16523  $      251576  $      125334  $      121874  $       0      $       0      $      97      $           0  $              $0.836737      $16523.000000      $8.050432 $4.010688 $3.899968 $     2.01  $     1.03  
54093 $ 12147   $  5107981977  $  9112398782     $    30251554  $   231523956  $   154607670  $   150983116  $      45      $       0      $      97      $           0  $              $0.560553      $30251554.000000      $14.787957 $9.875140 $9.643633 $     1.50  $     1.02  
54117 $  1002   $  6602363414  $  9087585614     $      636938  $    15575747  $    17050325  $    11030807  $       0      $       0      $      97      $           0  $              $0.726526      $636938.000000      $0.994858 $1.089043 $0.704563 $     0.91  $     1.55  
54093 $ 13149   $  5172707619  $  9099343940     $    31480493  $   240116068  $   159854687  $   156133453  $      45      $       0      $      97      $           0  $              $0.568470      $31480492.000000      $15.336755 $10.210279 $9.972596 $     1.50  $     1.02  
54117 $  2004   $  6612915665  $  9106655569     $      656251  $    15522877  $    16939715  $    11420995  $       0      $       0      $      97      $           0  $              $0.726163      $656251.000000      $0.991481 $1.081978 $0.729485 $     0.92  $     1.48  
54117 $  2007   $    13223218  $    13603533     $          20  $       29106  $       34886  $         155  $       0      $       0      $      97      $           0  $              $0.972043      $20.000000      $0.620928 $0.744235 $0.003307 $     0.83  $   225.07  
54093 $ 13152   $        2108  $       68666     $         256  $         168  $         453  $         106  $       0      $       0      $      97      $           0  $              $0.030699      $256.000000      $0.003584 $0.009664 $0.002261 $     0.37  $     4.27  
