PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54292 $  1003   $ 22296249978  $  8860829944     $      574505  $   349002899  $   348969381  $     3251214  $      46      $       0      $      97      $           0  $              $2.516271      $574505.000000      $22.269379 $22.267239 $0.207455 $     1.00  $   107.34  
54290 $  1003   $  6762538282  $  9103080035     $      110186  $    16445240  $    17984545  $     2250745  $       0      $       0      $      97      $           0  $              $0.742885      $110186.000000      $1.049347 $1.147568 $0.143617 $     0.91  $     7.99  
54292 $  2005   $ 23115959604  $  9156122408     $      476004  $   361625478  $   361561758  $     2642773  $      47      $       0      $      97      $           0  $              $2.524645      $476004.000000      $23.097834 $23.093765 $0.168800 $     1.00  $   136.81  
54290 $  2005   $  6830490886  $  9175021682     $      106128  $    15241472  $    15836077  $     2183703  $       0      $       0      $      97      $           0  $              $0.744466      $106128.000000      $0.973507 $1.011486 $0.139478 $     0.96  $     7.25  
54292 $  3007   $ 23198874252  $  9161349003     $      430694  $   363124894  $   363057310  $     2462328  $      47      $       0      $      97      $           0  $              $2.532255      $430694.000000      $23.193605 $23.189289 $0.157274 $     1.00  $   147.44  
54290 $  3007   $  6832273100  $  9174385093     $      105470  $    15213701  $    15779866  $     2173835  $       0      $       0      $      97      $           0  $              $0.744712      $105470.000000      $0.971733 $1.007896 $0.138848 $     0.96  $     7.26  
54292 $  4009   $ 23124734319  $  9153849522     $      479764  $   361758603  $   361699418  $     2684279  $      47      $       0      $      97      $           0  $              $2.526231      $479764.000000      $23.106337 $23.102558 $0.171451 $     1.00  $   134.75  
54290 $  4009   $  6830999521  $  9173015915     $      106546  $    15035605  $    15464849  $     2198444  $       0      $       0      $      97      $           0  $              $0.744684      $106546.000000      $0.960358 $0.987775 $0.140420 $     0.97  $     7.03  
54292 $  5011   $ 23111075322  $  9153356705     $      485646  $   361553076  $   361489840  $     2698004  $      47      $       0      $      97      $           0  $              $2.524874      $485646.000000      $23.093212 $23.089172 $0.172328 $     1.00  $   133.98  
54290 $  5011   $  6837247889  $  9172745317     $      105776  $    14680170  $    14835047  $     2190724  $       0      $       0      $      97      $           0  $              $0.745387      $105776.000000      $0.937656 $0.947548 $0.139926 $     0.99  $     6.77  
54292 $  6013   $ 23191448810  $  9161104286     $      428485  $   363006574  $   362935048  $     2474430  $      47      $       0      $      97      $           0  $              $2.531512      $428485.000000      $23.186049 $23.181480 $0.158047 $     1.00  $   146.67  
54290 $  6013   $  6835591965  $  9173832959     $      105823  $    14618130  $    14719739  $     2178703  $       0      $       0      $      97      $           0  $              $0.745118      $105823.000000      $0.933693 $0.940183 $0.139159 $     0.99  $     6.76  
54292 $  7016   $ 23103753105  $  9152531033     $      479448  $   361428007  $   361372347  $     2660156  $      47      $       0      $      97      $           0  $              $2.524302      $479448.000000      $23.062206 $23.058655 $0.169741 $     1.00  $   135.85  
54290 $  7016   $  6834544810  $  9172601595     $      106900  $    14682384  $    14836943  $     2204399  $       0      $       0      $      97      $           0  $              $0.745104      $106900.000000      $0.936862 $0.946724 $0.140660 $     0.99  $     6.73  
54292 $  8019   $ 23106897972  $  9152975098     $      473305  $   361483495  $   361420142  $     2623605  $      47      $       0      $      97      $           0  $              $2.524523      $473305.000000      $23.065746 $23.061703 $0.167408 $     1.00  $   137.76  
54290 $  8019   $  6832870563  $  9172750444     $      107255  $    15391630  $    16052791  $     2198532  $       0      $       0      $      97      $           0  $              $0.744910      $107255.000000      $0.982118 $1.024306 $0.140285 $     0.96  $     7.30  
54292 $  9022   $ 23192682567  $  9161178191     $      444683  $   363065258  $   362956731  $     2445777  $      47      $       0      $      97      $           0  $              $2.531627      $444683.000000      $23.166676 $23.159752 $0.156062 $     1.00  $   148.40  
54290 $  9022   $  6818637149  $  9173773296     $      107182  $    16460834  $    17912483  $     2193079  $       0      $       0      $      97      $           0  $              $0.743275      $107182.000000      $1.050342 $1.142970 $0.139937 $     0.92  $     8.17  
54292 $ 10024   $ 23141990903  $  9155130238     $      443180  $   362030131  $   362012439  $     2557443  $      47      $       0      $      97      $           0  $              $2.527762      $443180.000000      $23.123682 $23.122551 $0.163350 $     1.00  $   141.55  
54290 $ 10025   $  6826468155  $  9173143371     $      108618  $    15969148  $    17093715  $     2210243  $       0      $       0      $      97      $           0  $              $0.744180      $108618.000000      $1.018969 $1.090726 $0.141032 $     0.93  $     7.73  
54292 $ 10535   $ 11966956329  $  4744080043     $      236740  $   187118801  $   187089855  $     1219301  $      23      $       0      $      97      $           0  $              $2.522503      $236740.000000      $23.435623 $23.431997 $0.152711 $     1.00  $   153.44  
54290 $ 10537   $  2666302084  $  3624513622     $       41598  $     5829661  $     6071737  $      824919  $       0      $       0      $      97      $           0  $              $0.735630      $41598.000000      $0.728708 $0.758967 $0.103115 $     0.96  $     7.36  
54292 $ 11135   $ 14045768123  $  5499588098     $       95782  $   219898987  $   219857730  $      496946  $      21      $       0      $      97      $           0  $              $2.553967      $95782.000000      $23.455893 $23.451490 $0.053008 $     1.00  $   442.42  
54292 $ 11136   $    13460310  $     5286156     $          93  $      210616  $      210751  $         594  $       0      $       0      $      97      $           0  $              $2.546332      $93.000000      $13.479424 $13.488064 $0.038016 $     1.00  $   354.80  
54292 $ 12138   $ 23081924465  $  9154006233     $      495678  $   361094329  $   361034843  $     2818757  $      47      $       0      $      97      $           0  $              $2.521511      $495678.000000      $23.063910 $23.060110 $0.180040 $     1.00  $   128.08  
54310 $  1002   $  6793842431  $  9166498725     $      110505  $    16101889  $    17409917  $     2244496  $       0      $       0      $      97      $           0  $              $0.741160      $110505.000000      $1.028464 $1.112011 $0.143361 $     0.92  $     7.76  
54292 $ 13140   $ 23106507636  $  9153490400     $      488146  $   361476361  $   361416765  $     2785613  $      47      $       0      $      97      $           0  $              $2.524338      $488146.000000      $23.088310 $23.084505 $0.177923 $     1.00  $   129.74  
54310 $  2004   $  6808384229  $  9172605068     $      109532  $    16396015  $    17896307  $     2228449  $       0      $       0      $      97      $           0  $              $0.742252      $109532.000000      $1.047251 $1.143078 $0.142336 $     0.92  $     8.03  
54292 $ 14142   $ 23187873066  $  9159159418     $      434645  $   362945865  $   362886067  $     2592326  $      47      $       0      $      97      $           0  $              $2.531659      $434645.000000      $23.182171 $23.178352 $0.165578 $     1.00  $   139.98  
54310 $  3006   $  6822875399  $  9172167862     $      106384  $    15162354  $    15790604  $     2190880  $       0      $       0      $      97      $           0  $              $0.743867      $106384.000000      $0.968454 $1.008582 $0.139936 $     0.96  $     7.21  
54310 $  3861   $  5812509273  $  7819043800     $       92878  $    13324872  $    14102758  $     1878384  $       0      $       0      $      97      $           0  $              $0.743379      $92878.000000      $0.997417 $1.055645 $0.140604 $     0.94  $     7.51  
54292 $ 14997   $ 19673620550  $  7781982443     $      388146  $   307826555  $   307765571  $     2273008  $      40      $       0      $      97      $           0  $              $2.528099      $388146.000000      $23.041988 $23.037422 $0.170143 $     1.00  $   135.40  
