PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54964 $  1003   $  1270720815  $  7101599501     $      880167  $   247807209  $   246051842  $     1294096  $      37      $       0      $      97      $           0  $              $0.178934      $880167.000000      $15.812225 $15.700217 $0.082574 $     1.01  $   190.13  
54962 $  1004   $  4410668538  $  5376597739     $    14473899  $   168563043  $    33036190  $    16328500  $       0      $       0      $      97      $           0  $              $0.820346      $14473899.000000      $10.745054 $2.105893 $1.040861 $     5.10  $     2.02  
54964 $  2006   $  1220780258  $  6606644323     $      959394  $   226499406  $   225355874  $     1009036  $      37      $       0      $      97      $           0  $              $0.184781      $959394.000000      $14.452604 $14.379637 $0.064385 $     1.01  $   223.34  
54962 $  2007   $  6479411210  $  6029011753     $    18784343  $   262659883  $    49894587  $    25950716  $       0      $       0      $      97      $           0  $              $1.074705      $18784344.000000      $16.759953 $3.183702 $1.655878 $     5.26  $     1.92  
54964 $  3009   $  1052359398  $  5843244025     $     3148558  $   201452396  $   199930539  $     3211425  $      46      $       0      $      97      $           0  $              $0.180098      $3148558.000000      $12.854390 $12.757283 $0.204916 $     1.01  $    62.26  
54962 $  3010   $ 17611444074  $  9180628959     $    38207732  $   819163016  $   138924628  $    69952313  $       0      $       0      $      97      $           0  $              $1.918326      $38207732.000000      $52.269623 $8.864582 $4.463557 $     5.90  $     1.99  
54964 $  3084   $    80096227  $   545217816     $        9560  $    21543968  $    21467877  $        9538  $       2      $       0      $      97      $           0  $              $0.146907      $9560.000000      $18.384186 $18.319254 $0.008139 $     1.00  $  2250.77  
54962 $  3085   $        2108  $       80865     $         292  $         177  $         455  $          91  $       0      $       0      $      97      $           0  $              $0.026068      $292.000000      $0.000151 $0.000388 $0.000078 $     0.39  $     5.00  
54964 $  4070   $  1061135651  $  5789567915     $       29727  $   201761341  $   200937205  $       58998  $      27      $       0      $      97      $           0  $              $0.183284      $29727.000000      $13.096071 $13.042577 $0.003829 $     1.00  $  3405.83  
54964 $  4072   $     1025257  $     5039298     $           8  $      154158  $      153703  $           0  $       0      $       0      $      97      $           0  $              $0.203452      $8.000000      $4.933056 $4.918496 $0.000000 $     1.00  $      inf  
54964 $  5075   $  1116076863  $  5855909820     $      777063  $   193057202  $   191867062  $      774328  $      36      $       0      $      97      $           0  $              $0.190590      $777063.000000      $12.318705 $12.242764 $0.049409 $     1.01  $   247.79  
54982 $  1003   $  4393021087  $  5230873950     $    13338193  $   166612999  $    31772490  $    15182216  $       0      $       0      $      97      $           0  $              $0.839825      $13338193.000000      $10.631337 $2.027357 $0.968756 $     5.24  $     2.09  
54964 $  6078   $  1224315893  $  6968854598     $      975721  $   247933858  $   246703053  $     1034782  $      39      $       0      $      97      $           0  $              $0.175684      $975721.000000      $15.820306 $15.741771 $0.066028 $     1.00  $   238.41  
54982 $  2006   $  6319802586  $  6088810520     $    19311346  $   257107959  $    49156563  $    26485702  $       0      $       0      $      97      $           0  $              $1.037937      $19311346.000000      $16.405691 $3.136610 $1.690015 $     5.23  $     1.86  
54964 $  7080   $  1130849173  $  6257383456     $     3240885  $   215844861  $   214189575  $     3298159  $      46      $       0      $      97      $           0  $              $0.180722      $3240885.000000      $13.786498 $13.680771 $0.210661 $     1.01  $    64.94  
54982 $  3008   $ 17659829944  $  9087385915     $    37309399  $   821733618  $   137163870  $    68858253  $       0      $       0      $      97      $           0  $              $1.943335      $37309400.000000      $52.485981 $8.760966 $4.398132 $     5.99  $     1.99  
54964 $  7193   $   184079696  $   801006659     $       42155  $    21725673  $    21653150  $       41799  $       3      $       0      $      97      $           0  $              $0.229810      $42155.000000      $12.304806 $12.263731 $0.023674 $     1.00  $   518.03  
