PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55810 $  1003   $  4386240753  $  5164656608     $    12905842  $   165930730  $    30743008  $    14771839  $      40      $       0      $      97      $           0  $              $0.849280      $12905842.000000      $10.587804 $1.961668 $0.942570 $     5.40  $     2.08  
55808 $  1003   $  3213120815  $  8833109239     $     3473821  $   358685005  $   354680853  $     3888268  $       0      $       0      $      97      $           0  $              $0.363759      $3473821.000000      $22.887178 $22.631680 $0.248105 $     1.01  $    91.22  
55810 $  2006   $  5842557097  $  5921440877     $    18606730  $   236921197  $    46523219  $    25624457  $      42      $       0      $      97      $           0  $              $0.986678      $18606730.000000      $15.117604 $2.968580 $1.635060 $     5.09  $     1.82  
55808 $  2006   $  3352074191  $  9356417223     $     4199420  $   379382721  $   374804818  $     4199319  $       0      $       0      $      97      $           0  $              $0.358265      $4199420.000000      $24.207870 $23.915762 $0.267953 $     1.01  $    89.25  
55810 $  3009   $ 17291464899  $  9003145080     $    38718535  $   802957191  $   132318281  $    67609028  $      51      $       0      $      97      $           0  $              $1.920603      $38718536.000000      $51.235554 $8.443041 $4.314035 $     6.07  $     1.96  
55808 $  3009   $  3047697073  $  9119345086     $    10697345  $   345535718  $   341107213  $    10697085  $       0      $       0      $      97      $           0  $              $0.334201      $10697345.000000      $22.048141 $21.765564 $0.682566 $     1.01  $    31.89  
55808 $  3180   $   619558247  $  1629687516     $      782622  $    64912817  $    64252595  $     1007271  $       0      $       0      $      97      $           0  $              $0.380170      $782622.000000      $24.294855 $24.047754 $0.376990 $     1.01  $    63.79  
55810 $  3180   $   944716611  $   434631596     $      784198  $    44023657  $     4978492  $     3746471  $       6      $       0      $      97      $           0  $              $2.173603      $784198.000000      $16.476690 $1.863295 $1.402188 $     8.84  $     1.33  
55808 $  4110   $  3308453888  $  8845916433     $      175887  $   373082828  $   369616467  $      175860  $       0      $       0      $      97      $           0  $              $0.374009      $175887.000000      $25.674517 $25.435972 $0.012102 $     1.01  $  2101.77  
55808 $  4113   $      557072  $     1503771     $          73  $       62808  $       62251  $          71  $       0      $       0      $      97      $           0  $              $0.370450      $73.000000      $1.339904 $1.328021 $0.001515 $     1.01  $   876.77  
55808 $  5115   $  3301003440  $  9081892746     $     3740034  $   373314099  $   369025226  $     3739936  $      41      $       0      $      97      $           0  $              $0.363471      $3740034.000000      $23.844414 $23.570473 $0.238878 $     1.01  $    98.67  
55828 $  1002   $  4194648411  $  5066679687     $    12313326  $   156560886  $    30233591  $    14177941  $       0      $       0      $      97      $           0  $              $0.827889      $12313326.000000      $9.999897 $1.931088 $0.905577 $     5.18  $     2.13  
55828 $  2004   $  5250069883  $  5809695809     $    18214958  $   210413134  $    43990952  $    25182564  $      40      $       0      $      97      $           0  $              $0.903674      $18214958.000000      $13.439562 $2.809801 $1.608467 $     4.78  $     1.75  
