PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56570 $  1003   $ 14544552134  $  8745823654     $      671933  $  1834595437  $     6342274  $     5120980  $      46      $       0      $      97      $           0  $              $1.663028      $671933.000000      $117.062920 $0.404691 $0.326762 $   289.26  $     1.24  
56568 $  1003   $  4030012227  $  8776368104     $    13546754  $   229417107  $   174861586  $    39710480  $       0      $       0      $      97      $           0  $              $0.459189      $13546754.000000      $14.638779 $11.157668 $2.533869 $     1.31  $     4.40  
56570 $  2005   $ 15164060630  $  9093350736     $      662290  $  1913773178  $     6262784  $     5237997  $      48      $       0      $      97      $           0  $              $1.667599      $662290.000000      $122.237007 $0.400018 $0.334563 $   305.58  $     1.20  
56568 $  2005   $  4275404094  $  9141663790     $    16137079  $   274588453  $   209115570  $    47037044  $       0      $       0      $      97      $           0  $              $0.467683      $16137079.000000      $17.538584 $13.356683 $3.004362 $     1.31  $     4.45  
56570 $  3007   $ 15128737638  $  9093832341     $      669632  $  1908161833  $     6259301  $     5235967  $      48      $       0      $      97      $           0  $              $1.663626      $669632.000000      $121.878601 $0.399796 $0.334433 $   304.85  $     1.20  
56568 $  3007   $  4274333489  $  9141926117     $    16145802  $   274575519  $   209112442  $    47036731  $       0      $       0      $      97      $           0  $              $0.467553      $16145802.000000      $17.537758 $13.356483 $3.004342 $     1.31  $     4.45  
56570 $  4009   $ 15114196609  $  9094180215     $      675692  $  1905843716  $     6263664  $     5233654  $      48      $       0      $      97      $           0  $              $1.661964      $675692.000000      $121.730537 $0.400074 $0.334285 $   304.27  $     1.20  
56568 $  4009   $  4272777853  $  9142093533     $    16144957  $   274565431  $   209102787  $    47024562  $       0      $       0      $      97      $           0  $              $0.467374      $16144957.000000      $17.537113 $13.355866 $3.003565 $     1.31  $     4.45  
56570 $  5012   $ 15157200479  $  9100594319     $      618664  $  1915890511  $     5933406  $     5012600  $      48      $       0      $      97      $           0  $              $1.665518      $618664.000000      $122.250244 $0.378602 $0.319847 $   322.90  $     1.18  
56568 $  5012   $  4269665099  $  9142054897     $    16145574  $   274551583  $   209085835  $    47006637  $       0      $       0      $      97      $           0  $              $0.467036      $16145574.000000      $17.518745 $13.341470 $2.999426 $     1.31  $     4.45  
56570 $  6015   $ 15172919271  $  9094470595     $      657709  $  1915040316  $     6259669  $     5238185  $      48      $       0      $      97      $           0  $              $1.668368      $657709.000000      $122.195992 $0.399421 $0.334241 $   305.93  $     1.20  
56568 $  6015   $  4279007409  $  9142240940     $    16127274  $   274610504  $   209141740  $    47056326  $       0      $       0      $      97      $           0  $              $0.468048      $16127274.000000      $17.522505 $13.345037 $3.002597 $     1.31  $     4.44  
56570 $  7017   $ 15104926069  $  9094489564     $      675906  $  1904334968  $     6265508  $     5229752  $      48      $       0      $      97      $           0  $              $1.660888      $675906.000000      $121.634171 $0.400192 $0.334036 $   303.94  $     1.20  
56568 $  7018   $  4272620781  $  9142130807     $    16136125  $   274565188  $   209102942  $    47015316  $       0      $       0      $      97      $           0  $              $0.467355      $16136125.000000      $17.519613 $13.342561 $2.999980 $     1.31  $     4.45  
56570 $  8019   $ 15107413634  $  9094807337     $      676410  $  1904760553  $     6263222  $     5229742  $      48      $       0      $      97      $           0  $              $1.661103      $676410.000000      $121.661354 $0.400046 $0.334035 $   304.12  $     1.20  
56568 $  8020   $  4272389103  $  9142704959     $    16140496  $   274570310  $   209112013  $    47023022  $       0      $       0      $      97      $           0  $              $0.467300      $16140496.000000      $17.537424 $13.356456 $3.003467 $     1.31  $     4.45  
56570 $  8596   $  8806873000  $  5311189031     $      383640  $  1110128945  $     3632996  $     2940935  $      26      $       0      $      97      $           0  $              $1.658174      $383640.000000      $123.133881 $0.402967 $0.326204 $   305.57  $     1.24  
56568 $  8597   $  2025328834  $  4306754508     $     8020915  $   136319850  $   103608188  $    22582995  $       0      $       0      $      97      $           0  $              $0.470268      $8020915.000000      $15.120400 $11.492070 $2.504873 $     1.32  $     4.59  
