PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56924 $  1003   $  4436729613  $  8857815636     $    24378071  $   191732847  $   127748609  $   124836633  $      45      $       0      $      97      $           0  $              $0.500883      $24378072.000000      $12.234200 $8.151457 $7.965648 $     1.50  $     1.02  
56922 $  1003   $  3071064726  $  8466783770     $    11958165  $   180333007  $   143626071  $    29567246  $       0      $       0      $      97      $           0  $              $0.362719      $11958165.000000      $11.506792 $9.164575 $1.886644 $     1.26  $     4.86  
56924 $  2006   $  4518420086  $  9104245212     $    26465375  $   207893450  $   138424643  $   135465445  $      46      $       0      $      97      $           0  $              $0.496298      $26465376.000000      $13.265385 $8.832679 $8.643857 $     1.50  $     1.02  
56922 $  2006   $  3362051432  $  9098970482     $    13157477  $   190982045  $   149898405  $    35723897  $       0      $       0      $      97      $           0  $              $0.369498      $13157477.000000      $12.186293 $9.564803 $2.279491 $     1.27  $     4.20  
56924 $  3008   $  4575129702  $  9103434842     $    26766055  $   210719124  $   140307565  $   137218644  $      46      $       0      $      97      $           0  $              $0.502572      $26766056.000000      $13.459105 $8.961761 $8.764464 $     1.50  $     1.02  
56922 $  3008   $  3147360086  $  9097940213     $    14720640  $   220198690  $   177485995  $    35120566  $       0      $       0      $      97      $           0  $              $0.345942      $14720640.000000      $14.064587 $11.336432 $2.243230 $     1.24  $     5.05  
56924 $  4011   $  4461804455  $  9106750698     $    25130045  $   199049872  $   132965069  $   130118027  $      46      $       0      $      97      $           0  $              $0.489945      $25130044.000000      $12.701089 $8.484312 $8.302646 $     1.50  $     1.02  
56922 $  4011   $  3360366305  $  9102160791     $    13060686  $   190965325  $   150019321  $    35850696  $       0      $       0      $      97      $           0  $              $0.369183      $13060686.000000      $12.185225 $9.572519 $2.287582 $     1.27  $     4.18  
56924 $  5014   $  4568096410  $  9104968295     $    26741249  $   210366040  $   140138406  $   137058682  $      46      $       0      $      97      $           0  $              $0.501715      $26741248.000000      $13.423158 $8.942032 $8.745520 $     1.50  $     1.02  
56922 $  5014   $  3126936965  $  9100612970     $    14655884  $   219687825  $   177120789  $    34733528  $       0      $       0      $      97      $           0  $              $0.343596      $14655884.000000      $14.017967 $11.301825 $2.216297 $     1.24  $     5.10  
56924 $  6016   $  4503613251  $  9104918060     $    25926432  $   203661995  $   136113043  $   133202303  $      46      $       0      $      97      $           0  $              $0.494635      $25926432.000000      $13.008351 $8.693847 $8.507932 $     1.50  $     1.02  
56922 $  6016   $  3382185500  $  9099083090     $    13206351  $   191433092  $   150365971  $    36192840  $       0      $       0      $      97      $           0  $              $0.371706      $13206351.000000      $12.227263 $9.604214 $2.311718 $     1.27  $     4.15  
56924 $  7018   $  4566498590  $  9105347514     $    26295982  $   207741713  $   138345457  $   135300327  $      46      $       0      $      97      $           0  $              $0.501518      $26295982.000000      $13.268931 $8.836436 $8.641936 $     1.50  $     1.02  
56922 $  7018   $  3172783933  $  9100763733     $    14751362  $   221203022  $   177769686  $    35357789  $       0      $       0      $      97      $           0  $              $0.348628      $14751362.000000      $14.128736 $11.354550 $2.258382 $     1.24  $     5.03  
56924 $  8020   $  4529699226  $  9105796666     $    26559426  $   208416545  $   138817636  $   135847654  $      46      $       0      $      97      $           0  $              $0.497452      $26559426.000000      $13.312035 $8.866595 $8.676896 $     1.50  $     1.02  
56922 $  8021   $  3335153670  $  9100095846     $    13143155  $   189708263  $   149644447  $    35492800  $       0      $       0      $      97      $           0  $              $0.366497      $13143155.000000      $12.105013 $9.548599 $2.264745 $     1.27  $     4.22  
56924 $  9023   $  4487308405  $  9104929122     $    25288347  $   200299061  $   133670977  $   130754576  $      46      $       0      $      97      $           0  $              $0.492844      $25288348.000000      $12.780797 $8.529354 $8.343263 $     1.50  $     1.02  
56922 $  9024   $  3188766014  $  9099734451     $    14773961  $   221803100  $   177912827  $    35498298  $       0      $       0      $      97      $           0  $              $0.350424      $14773961.000000      $14.152940 $11.352365 $2.265096 $     1.25  $     5.01  
56924 $ 10026   $  4532773008  $  9105312688     $    26603111  $   208586134  $   138950074  $   135975307  $      46      $       0      $      97      $           0  $              $0.497816      $26603112.000000      $13.309584 $8.866206 $8.676391 $     1.50  $     1.02  
56922 $ 10027   $  3347363182  $  9100035127     $    13179537  $   190114031  $   149830532  $    35689714  $       0      $       0      $      97      $           0  $              $0.367841      $13179537.000000      $12.130905 $9.560472 $2.277310 $     1.27  $     4.20  
56924 $ 11028   $  4563907265  $  9098649564     $    26655699  $   210186448  $   139809009  $   136733859  $      46      $       0      $      97      $           0  $              $0.501603      $26655700.000000      $13.425082 $8.929916 $8.733500 $     1.50  $     1.02  
56922 $ 11029   $  3143686385  $  9093527712     $    14586411  $   219092439  $   175908224  $    34885146  $       0      $       0      $      97      $           0  $              $0.345706      $14586411.000000      $13.993928 $11.235655 $2.228193 $     1.25  $     5.04  
56924 $ 11418   $  1830533823  $  3617067980     $    10130020  $    79580051  $    53322721  $    52138552  $      16      $       0      $      97      $           0  $              $0.506082      $10130020.000000      $13.059290 $8.750395 $8.556070 $     1.49  $     1.02  
56922 $ 11419   $   903264676  $  2407835634     $     3482168  $    51043379  $    39557266  $    10020339  $       0      $       0      $      97      $           0  $              $0.375136      $3482168.000000      $8.376349 $6.491448 $1.644363 $     1.29  $     3.95  
56924 $ 12148   $  3994264225  $  6902775681     $    24081463  $   181899124  $   121410953  $   118731260  $      26      $       0      $      97      $           0  $              $0.578646      $24081464.000000      $15.947320 $10.644248 $10.409316 $     1.50  $     1.02  
56924 $ 12150   $     4960713  $     5929628     $       16764  $      249115  $      123924  $      120469  $       0      $       0      $      97      $           0  $              $0.836598      $16764.000000      $7.971680 $3.965568 $3.855008 $     2.01  $     1.03  
56924 $ 13153   $  4669141856  $  9129900891     $    27753563  $   215470030  $   143643907  $   140564180  $      45      $       0      $      97      $           0  $              $0.511412      $27753564.000000      $13.748836 $9.165712 $8.969200 $     1.50  $     1.02  
56942 $  1003   $  2913678027  $  8032128405     $    10676170  $   158027250  $   123939556  $    27115779  $       0      $       0      $      97      $           0  $              $0.362753      $10676170.000000      $10.083493 $7.908406 $1.730219 $     1.28  $     4.57  
56924 $ 14156   $  4514849126  $  9106880039     $    25396473  $   201715518  $   134566937  $   131631345  $      46      $       0      $      97      $           0  $              $0.495762      $25396472.000000      $12.871180 $8.586525 $8.399208 $     1.50  $     1.02  
56942 $  2006   $  3288726890  $  9103575487     $    13975445  $   207871378  $   165551834  $    36011754  $       0      $       0      $      97      $           0  $              $0.361257      $13975445.000000      $13.263976 $10.563627 $2.297858 $     1.26  $     4.60  
56942 $  2562   $  1812857426  $  5046591660     $     7818677  $   116477072  $    91455149  $    19668969  $       0      $       0      $      97      $           0  $              $0.359224      $7818677.000000      $13.407433 $10.527212 $2.264054 $     1.27  $     4.65  
56924 $ 14712   $  2526950658  $  5009260199     $    15277998  $   118877103  $    79073744  $    77352003  $      25      $       0      $      97      $           0  $              $0.504456      $15277998.000000      $13.683696 $9.102014 $8.903828 $     1.50  $     1.02  
