PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57112 $  1003   $ 20195226801  $  8767890053     $     2310100  $   315826070  $   315878341  $    13840504  $      47      $       0      $      97      $           0  $              $2.303317      $2310100.000000      $20.152412 $20.155746 $0.883143 $     1.00  $    22.82  
57110 $  1003   $  3938825525  $  8741994912     $    13748761  $   228786818  $   188028024  $    39159767  $       0      $       0      $      97      $           0  $              $0.450564      $13748761.000000      $14.598560 $11.997801 $2.498729 $     1.22  $     4.80  
57112 $  2005   $ 20822085336  $  9102299116     $     2531795  $   325730417  $   325757582  $    15289840  $      49      $       0      $      97      $           0  $              $2.287563      $2531795.000000      $20.805138 $20.806871 $0.976597 $     1.00  $    21.31  
57110 $  2005   $  4176797672  $  9111586710     $    16381902  $   273939597  $   225010351  $    46480445  $       0      $       0      $      97      $           0  $              $0.458405      $16381902.000000      $17.497139 $14.371919 $2.968811 $     1.22  $     4.84  
57112 $  3008   $ 20774730222  $  9095523317     $     2546998  $   324762685  $   324797857  $    15150859  $      49      $       0      $      97      $           0  $              $2.284061      $2546998.000000      $20.722645 $20.724888 $0.966755 $     1.00  $    21.44  
57110 $  3008   $  4088278595  $  9111674284     $    15890351  $   267013895  $   220237718  $    44665016  $       0      $       0      $      97      $           0  $              $0.448686      $15890351.000000      $17.037775 $14.053055 $2.850011 $     1.21  $     4.93  
57112 $  4011   $ 20825953459  $  9099021274     $     2453850  $   325727748  $   325765028  $    14827307  $      49      $       0      $      97      $           0  $              $2.288813      $2453850.000000      $20.784224 $20.786602 $0.946109 $     1.00  $    21.97  
57110 $  4011   $  4224242232  $  9109123694     $    15457324  $   258508505  $   210948680  $    46311314  $       0      $       0      $      97      $           0  $              $0.463737      $15457324.000000      $16.495060 $13.460334 $2.955059 $     1.23  $     4.56  
57112 $  5014   $ 20843543375  $  9100781871     $     2493246  $   326062141  $   326081999  $    15096275  $      49      $       0      $      97      $           0  $              $2.290303      $2493246.000000      $20.805561 $20.806826 $0.963272 $     1.00  $    21.60  
57110 $  5014   $  4226947860  $  9110461187     $    15496834  $   259580711  $   211957512  $    46336055  $       0      $       0      $      97      $           0  $              $0.463966      $15496834.000000      $16.563475 $13.524706 $2.956638 $     1.22  $     4.57  
57112 $  6016   $ 20924283399  $  9095468103     $     2533665  $   327114963  $   327153402  $    15148350  $      49      $       0      $      97      $           0  $              $2.300518      $2533665.000000      $20.893572 $20.896027 $0.967559 $     1.00  $    21.60  
57110 $  6017   $  4074149755  $  9111048899     $    16053141  $   267995313  $   222460624  $    44918538  $       0      $       0      $      97      $           0  $              $0.447166      $16053141.000000      $17.100399 $14.194895 $2.866188 $     1.20  $     4.95  
57112 $  7018   $ 20818500810  $  9101769763     $     2534971  $   325674735  $   325702285  $    15298019  $      49      $       0      $      97      $           0  $              $2.287302      $2534971.000000      $20.801579 $20.803339 $0.977119 $     1.00  $    21.29  
57110 $  7019   $  4177662785  $  9111893379     $    16373193  $   273934984  $   225012547  $    46474959  $       0      $       0      $      97      $           0  $              $0.458485      $16373193.000000      $17.496845 $14.372059 $2.968461 $     1.22  $     4.84  
57112 $  8020   $ 20754179745  $  9092450649     $     2551461  $   324225538  $   324280097  $    15101663  $      49      $       0      $      97      $           0  $              $2.282573      $2551461.000000      $20.709017 $20.712502 $0.964577 $     1.00  $    21.47  
57110 $  8021   $  4154922750  $  9109075526     $    16330410  $   273261181  $   224671871  $    46149438  $       0      $       0      $      97      $           0  $              $0.456130      $16330410.000000      $17.453808 $14.350299 $2.947669 $     1.22  $     4.87  
57112 $  8810   $ 16786675947  $  7230075935     $     1776735  $   262525703  $   262540377  $    10690366  $      37      $       0      $      97      $           0  $              $2.321784      $1776735.000000      $21.267904 $21.269094 $0.866055 $     1.00  $    24.56  
57110 $  8811   $  2890495069  $  6329777044     $    10956284  $   183336960  $   150648423  $    31594977  $       0      $       0      $      97      $           0  $              $0.456650      $10956284.000000      $14.852614 $12.204429 $2.559593 $     1.22  $     4.77  
57112 $  9113   $  7389218927  $  2888302089     $       51070  $   115725747  $   115708499  $      340204  $      11      $       0      $      97      $           0  $              $2.558326      $51070.000000      $24.443722 $24.440079 $0.071858 $     1.00  $   340.12  
57112 $  9115   $     4672956  $     4923899     $        4866  $       99820  $       81007  $       13170  $       0      $       0      $      97      $           0  $              $0.949036      $4866.000000      $3.194240 $2.592224 $0.421440 $     1.23  $     6.15  
57112 $ 10117   $ 21077652732  $  9101554005     $     2295850  $   329513806  $   329581869  $    13797639  $      48      $       0      $      97      $           0  $              $2.315830      $2295850.000000      $21.046789 $21.051136 $0.881286 $     1.00  $    23.89  
57130 $  1002   $  4019868946  $  8834966367     $    13792470  $   229365138  $   171024438  $    39695917  $       0      $       0      $      97      $           0  $              $0.454995      $13792470.000000      $14.650068 $10.923717 $2.535468 $     1.34  $     4.31  
57112 $ 11119   $ 20754563913  $  9100406290     $     2606028  $   324670627  $   324697458  $    15726067  $      49      $       0      $      97      $           0  $              $2.280619      $2606028.000000      $20.737446 $20.739161 $1.004459 $     1.00  $    20.65  
57130 $  2004   $  4224560577  $  9111388323     $    16402165  $   274242176  $   204249272  $    46768835  $       0      $       0      $      97      $           0  $              $0.463657      $16402165.000000      $17.516466 $13.045862 $2.987231 $     1.34  $     4.37  
57112 $ 12121   $ 20664847369  $  9093834772     $     2685338  $   323046715  $   323083945  $    15994750  $      49      $       0      $      97      $           0  $              $2.272402      $2685338.000000      $20.633722 $20.636099 $1.021621 $     1.00  $    20.20  
57130 $  3006   $  4224699737  $  9111664088     $    16402704  $   274241962  $   204234278  $    46768717  $       0      $       0      $      97      $           0  $              $0.463658      $16402704.000000      $17.516453 $13.044904 $2.987223 $     1.34  $     4.37  
57112 $ 13123   $ 20754159554  $  9099369538     $     2589051  $   324504448  $   324548797  $    15532949  $      49      $       0      $      97      $           0  $              $2.280835      $2589051.000000      $20.726831 $20.729664 $0.992124 $     1.00  $    20.89  
57130 $  4008   $  4223208105  $  9110397530     $    16404316  $   274223181  $   204221523  $    46759669  $       0      $       0      $      97      $           0  $              $0.463559      $16404316.000000      $17.515253 $13.044089 $2.986645 $     1.34  $     4.37  
57112 $ 14125   $ 20703867197  $  9093881396     $     2609225  $   323568433  $   323617046  $    15374127  $      49      $       0      $      97      $           0  $              $2.276681      $2609225.000000      $20.667048 $20.670151 $0.981980 $     1.00  $    21.05  
57130 $  5010   $  4164840376  $  9111367424     $    16231718  $   271976396  $   203127612  $    45698156  $       0      $       0      $      97      $           0  $              $0.457104      $16231718.000000      $17.371744 $12.974219 $2.918844 $     1.34  $     4.44  
57112 $ 15128   $ 20805414692  $  9100610209     $     2541041  $   325461437  $   325489670  $    15316193  $      49      $       0      $      97      $           0  $              $2.286156      $2541041.000000      $20.767231 $20.769032 $0.977304 $     1.00  $    21.25  
57130 $  6012   $  4195273967  $  9111131076     $    15829913  $   265234474  $   197557026  $    45762930  $       0      $       0      $      97      $           0  $              $0.460456      $15829913.000000      $16.941124 $12.618413 $2.922982 $     1.34  $     4.32  
57112 $ 16131   $ 20760782722  $  9099417371     $     2595852  $   324765714  $   324795694  $    15655031  $      49      $       0      $      97      $           0  $              $2.281551      $2595852.000000      $20.722837 $20.724749 $0.998925 $     1.00  $    20.75  
