PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57247 $  1003   $  2993169250  $  8818676665     $     9870331  $   328746096  $   324596079  $    10291984  $      44      $       0      $      97      $           0  $              $0.339413      $9870331.000000      $20.976820 $20.712011 $0.656717 $     1.01  $    31.54  
57245 $  1003   $  4040889329  $  7302061143     $     2882898  $    81449558  $    64372083  $    61508260  $       0      $       0      $      97      $           0  $              $0.553390      $2882898.000000      $5.197180 $4.107491 $3.924754 $     1.27  $     1.05  
57247 $  2005   $  2999760887  $  9094518092     $    10617555  $   339943802  $   335701135  $    10617553  $      46      $       0      $      97      $           0  $              $0.329843      $10617555.000000      $21.712978 $21.441988 $0.678167 $     1.01  $    31.62  
57245 $  2005   $  5031251863  $  9049689930     $     3513701  $   102365071  $    81034222  $    77376434  $       0      $       0      $      97      $           0  $              $0.555959      $3513701.000000      $6.538288 $5.175838 $4.942207 $     1.26  $     1.05  
57247 $  3007   $  2998106859  $  9091596152     $    10612815  $   339742973  $   335520747  $    10612840  $      46      $       0      $      97      $           0  $              $0.329767      $10612815.000000      $21.700150 $21.430466 $0.677866 $     1.01  $    31.61  
57245 $  3007   $  5030741031  $  9049790336     $     3513741  $   102355735  $    81037659  $    77368046  $       0      $       0      $      97      $           0  $              $0.555896      $3513741.000000      $6.537692 $5.176058 $4.941672 $     1.26  $     1.05  
57247 $  4009   $  2839751684  $  9113601071     $    10977015  $   349694290  $   346603008  $    10976889  $      46      $       0      $      97      $           0  $              $0.311595      $10977015.000000      $22.335764 $22.138315 $0.701119 $     1.01  $    31.58  
57245 $  4009   $  5032472314  $  9050296303     $     3511403  $   102376268  $    81040765  $    77399413  $       0      $       0      $      97      $           0  $              $0.556056      $3511403.000000      $6.539003 $5.176257 $4.943675 $     1.26  $     1.05  
57247 $  5012   $  2784573152  $  9122290209     $    11108540  $   353268024  $   350577579  $    11108469  $      46      $       0      $      97      $           0  $              $0.305249      $11108540.000000      $22.541529 $22.369854 $0.708816 $     1.01  $    31.56  
57245 $  5011   $  5033168500  $  9051309170     $     3511940  $   102383680  $    81045607  $    77409509  $       0      $       0      $      97      $           0  $              $0.556071      $3511940.000000      $6.539476 $5.176566 $4.944320 $     1.26  $     1.05  
57247 $  6015   $  2784396221  $  9123165900     $    11105839  $   353227516  $   350551628  $    11105782  $      46      $       0      $      97      $           0  $              $0.305201      $11105839.000000      $22.538944 $22.368198 $0.708644 $     1.01  $    31.56  
57245 $  6014   $  5032857013  $  9051541929     $     3513794  $   102384515  $    81059988  $    77402029  $       0      $       0      $      97      $           0  $              $0.556022      $3513794.000000      $6.533010 $5.172322 $4.938913 $     1.26  $     1.05  
57247 $  7017   $  2946292378  $  9123691630     $    10934828  $   343432872  $   339804465  $    11243318  $      46      $       0      $      97      $           0  $              $0.322928      $10934828.000000      $21.935831 $21.704079 $0.718136 $     1.01  $    30.22  
57245 $  7017   $  4994111170  $  9052773879     $     3434114  $   100491401  $    79919092  $    76254842  $       0      $       0      $      97      $           0  $              $0.551666      $3434114.000000      $6.412213 $5.099523 $4.865713 $     1.26  $     1.05  
57247 $  7330   $  1001751007  $  2905970508     $     2411064  $   113316110  $   112043419  $     2411087  $      13      $       0      $      97      $           0  $              $0.344722      $2411064.000000      $23.170067 $22.909836 $0.493002 $     1.01  $    46.47  
57245 $  7330   $  1106380414  $  1972146537     $      780001  $    22429467  $    17526205  $    16777765  $       0      $       0      $      97      $           0  $              $0.561003      $780001.000000      $4.586217 $3.583633 $3.430597 $     1.28  $     1.04  
57247 $  8109   $  2791241993  $  7457829292     $       94507  $   314673276  $   311856875  $       94511  $      27      $       0      $      97      $           0  $              $0.374270      $94507.000000      $25.852489 $25.621103 $0.007765 $     1.01  $  3299.69  
57247 $  8111   $     2123181  $     5705373     $          59  $      239177  $      237174  $          51  $       0      $       0      $      97      $           0  $              $0.372137      $59.000000      $7.653664 $7.589568 $0.001632 $     1.01  $  4650.47  
57247 $  9114   $  3090098567  $  9162966173     $    10273929  $   349914580  $   345731798  $    10273917  $      45      $       0      $      97      $           0  $              $0.337238      $10273929.000000      $22.327551 $22.060654 $0.655564 $     1.01  $    33.65  
57276 $  1003   $  4094246198  $  7418346965     $     2907714  $    82174039  $    65111381  $    62178703  $       0      $       0      $      97      $           0  $              $0.551908      $2907714.000000      $5.243408 $4.154665 $3.967535 $     1.26  $     1.05  
57247 $ 10117   $  2846488197  $  9116691502     $    10987052  $   349701293  $   346619587  $    10986946  $      46      $       0      $      97      $           0  $              $0.312228      $10987052.000000      $22.313940 $22.117302 $0.701061 $     1.01  $    31.55  
57276 $  2006   $  5037889471  $  9050461946     $     3521025  $   102465030  $    81182896  $    77483673  $       0      $       0      $      97      $           0  $              $0.556644      $3521025.000000      $6.538147 $5.180165 $4.944123 $     1.26  $     1.05  
57247 $ 11120   $  2785030508  $  9117344580     $    11115242  $   353343542  $   350627212  $    11115191  $      46      $       0      $      97      $           0  $              $0.305465      $11115242.000000      $22.546349 $22.373022 $0.709244 $     1.01  $    31.54  
57276 $  3009   $  5038759455  $  9050877566     $     3521202  $   102493484  $    81205902  $    77505410  $       0      $       0      $      97      $           0  $              $0.556715      $3521202.000000      $6.539963 $5.181633 $4.945509 $     1.26  $     1.05  
57247 $ 12122   $  2784459693  $  9117249377     $    11109227  $   353248101  $   350553702  $    11109142  $      46      $       0      $      97      $           0  $              $0.305406      $11109227.000000      $22.562752 $22.390656 $0.709566 $     1.01  $    31.56  
57276 $  4011   $  5038250795  $  9050717999     $     3522485  $   102478010  $    81198837  $    77498089  $       0      $       0      $      97      $           0  $              $0.556669      $3522485.000000      $6.545502 $5.186353 $4.949978 $     1.26  $     1.05  
57276 $  4386   $  1909239310  $  3369263852     $     1375141  $    39596578  $    31099407  $    29703265  $       0      $       0      $      97      $           0  $              $0.566664      $1375141.000000      $6.757816 $5.307632 $5.069357 $     1.27  $     1.05  
57247 $ 12497   $  1030542030  $  3370685595     $     4084539  $   129814892  $   128813471  $     4083500  $      17      $       0      $      97      $           0  $              $0.305737      $4084539.000000      $22.155075 $21.984165 $0.696917 $     1.01  $    31.54  
