PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57534 $  1002   $  6669253128  $  9038702071     $      353965  $    15403236  $    16411086  $     7222197  $      40      $       0      $      97      $           0  $              $0.737855      $353965.000000      $0.983839 $1.048213 $0.461298 $     0.94  $     2.27  
57532 $  1003   $  4058874219  $  7324390431     $     2807971  $    81932243  $    64816185  $    61783064  $       0      $       0      $      97      $           0  $              $0.554159      $2807971.000000      $5.227980 $4.135828 $3.942289 $     1.26  $     1.05  
57534 $  2004   $  6745409156  $  9135662159     $      432907  $    14893596  $    15439690  $     8893949  $      43      $       0      $      97      $           0  $              $0.738360      $432907.000000      $0.951288 $0.986168 $0.568077 $     0.96  $     1.74  
57532 $  2005   $  5053402812  $  9070272290     $     3412024  $   102936760  $    81580888  $    77718388  $       0      $       0      $      97      $           0  $              $0.557139      $3412024.000000      $6.574803 $5.210755 $4.964048 $     1.26  $     1.05  
57534 $  3006   $  6746725722  $  9135889206     $      434800  $    15209578  $    15965048  $     8887198  $      43      $       0      $      97      $           0  $              $0.738486      $434800.000000      $0.971470 $1.019724 $0.567645 $     0.95  $     1.80  
57532 $  3007   $  5052703440  $  9070583076     $     3414715  $   102895222  $    81554962  $    77677270  $       0      $       0      $      97      $           0  $              $0.557043      $3414715.000000      $6.572150 $5.209099 $4.961422 $     1.26  $     1.05  
57534 $  4008   $  6741790487  $  9135276726     $      429798  $    14625307  $    15003101  $     8886671  $      42      $       0      $      97      $           0  $              $0.737995      $429798.000000      $0.934151 $0.958282 $0.567612 $     0.97  $     1.69  
57532 $  4009   $  5051962143  $  9070521711     $     3411894  $   102874044  $    81535883  $    77652874  $       0      $       0      $      97      $           0  $              $0.556965      $3411894.000000      $6.570797 $5.207880 $4.959864 $     1.26  $     1.05  
57534 $  5010   $  6747479201  $  9134632233     $      431762  $    14479576  $    14729506  $     8900502  $      43      $       0      $      97      $           0  $              $0.738670      $431762.000000      $0.924843 $0.940807 $0.568495 $     0.98  $     1.65  
57532 $  5011   $  5050568089  $  9069383737     $     3415878  $   102854788  $    81510343  $    77641814  $       0      $       0      $      97      $           0  $              $0.556881      $3415878.000000      $6.569567 $5.206250 $4.959158 $     1.26  $     1.05  
57534 $  6012   $  6746910753  $  9136515748     $      437355  $    14449207  $    14699614  $     8897366  $      43      $       0      $      97      $           0  $              $0.738456      $437355.000000      $0.922903 $0.938897 $0.568295 $     0.98  $     1.65  
57532 $  6013   $  5050719889  $  9071020802     $     3408593  $   102838407  $    81490977  $    77626278  $       0      $       0      $      97      $           0  $              $0.556797      $3408593.000000      $6.568521 $5.205012 $4.958166 $     1.26  $     1.05  
57534 $  7015   $  6738811632  $  9136103696     $      431285  $    15438432  $    16376571  $     8898293  $      43      $       0      $      97      $           0  $              $0.737602      $431285.000000      $0.985104 $1.044966 $0.567787 $     0.94  $     1.84  
57532 $  7016   $  5052467664  $  9070544748     $     3409929  $   102896007  $    81537646  $    77675221  $       0      $       0      $      97      $           0  $              $0.557019      $3409929.000000      $6.565648 $5.202801 $4.956345 $     1.26  $     1.05  
57534 $  7247   $  1607946993  $  2169653583     $       63524  $     3843953  $     4172836  $     1278523  $       9      $       0      $      97      $           0  $              $0.741108      $63524.000000      $1.060401 $1.151127 $0.352696 $     0.92  $     3.26  
57532 $  7248   $   793556195  $  1304422915     $      607642  $    17195620  $    12981769  $    12413573  $       0      $       0      $      97      $           0  $              $0.608358      $607642.000000      $4.743619 $3.581178 $3.424434 $     1.32  $     1.05  
57534 $  8099   $  6047615193  $  8107717497     $          73  $    14074304  $    15016400  $        3460  $      26      $       0      $      97      $           0  $              $0.745908      $73.000000      $1.057225 $1.127993 $0.000260 $     0.94  $  4340.00  
57534 $  8100   $     2711011  $     4968041     $           8  $        7397  $        7220  $           1  $       0      $       0      $      97      $           0  $              $0.545690      $8.000000      $0.473408 $0.462080 $0.000064 $     1.02  $  7220.00  
57534 $  9102   $  6758980912  $  9139372806     $      353069  $    15210987  $    15977799  $     7246420  $      41      $       0      $      97      $           0  $              $0.739545      $353069.000000      $0.971560 $1.020538 $0.462845 $     0.95  $     2.20  
57557 $  1002   $  4100204695  $  7421111458     $     2820959  $    82483399  $    65407288  $    62274709  $       0      $       0      $      97      $           0  $              $0.552505      $2820959.000000      $5.268401 $4.177711 $3.977626 $     1.26  $     1.05  
57534 $ 10104   $  6738618228  $  9128496967     $      429001  $    15134747  $    15873208  $     8853070  $      43      $       0      $      97      $           0  $              $0.738196      $429001.000000      $0.966690 $1.013858 $0.565466 $     0.95  $     1.79  
57557 $  2004   $  5047049900  $  9060768894     $     3412645  $   102857508  $    81542979  $    77593994  $       0      $       0      $      97      $           0  $              $0.557022      $3412645.000000      $6.569741 $5.208334 $4.956103 $     1.26  $     1.05  
57557 $  2412   $  2040861787  $  3674871910     $     1369792  $    41446395  $    32914558  $    31317340  $       0      $       0      $      97      $           0  $              $0.555356      $1369792.000000      $6.501395 $5.163068 $4.912524 $     1.26  $     1.05  
57534 $ 10512   $  2652307070  $  3668657115     $      165054  $     5907668  $     6279053  $     3372187  $      17      $       0      $      97      $           0  $              $0.722964      $165054.000000      $0.926693 $0.984949 $0.528971 $     0.94  $     1.86  
