PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58307 $  1003   $ 17291636511  $  9021600276     $      148311  $   383057246  $   507221496  $      667536  $      44      $       0      $      97      $           0  $              $1.916693      $148311.000000      $24.442337 $32.365082 $0.042595 $     0.76  $   759.84  
58305 $  1003   $  1241333711  $  6927546772     $      189018  $   245107149  $   243837180  $      622144  $       0      $       0      $      97      $           0  $              $0.179188      $189018.000000      $15.639938 $15.558903 $0.039698 $     1.01  $   391.93  
58307 $  2005   $ 17990794943  $  9322552029     $       43673  $   399144690  $   529153607  $      135712  $      44      $       0      $      97      $           0  $              $1.929814      $43673.000000      $25.494272 $33.798233 $0.008668 $     0.75  $  3899.09  
58305 $  2005   $  1195693885  $  6461950815     $       49433  $   222701609  $   221681525  $       69749  $       0      $       0      $      97      $           0  $              $0.185036      $49433.000000      $14.224455 $14.159299 $0.004455 $     1.00  $  3178.28  
58307 $  3007   $ 18155972587  $  9408336381     $       39804  $   402608014  $   533595616  $      129693  $      44      $       0      $      97      $           0  $              $1.929775      $39804.000000      $25.715481 $34.081955 $0.008284 $     0.75  $  4114.30  
58305 $  3007   $  1093940850  $  5918964468     $       40144  $   204431878  $   203492952  $       57594  $       0      $       0      $      97      $           0  $              $0.184820      $40144.000000      $13.057525 $12.997555 $0.003679 $     1.00  $  3533.23  
58307 $  4009   $ 18168267935  $  9410681264     $       39768  $   402732689  $   530823692  $      121826  $      43      $       0      $      97      $           0  $              $1.930601      $39768.000000      $25.723446 $33.904907 $0.007781 $     0.76  $  4357.23  
58305 $  4009   $   987676441  $  5351438385     $       34388  $   184887501  $   184082545  $       50356  $       0      $       0      $      97      $           0  $              $0.184563      $34388.000000      $11.809182 $11.757768 $0.003216 $     1.00  $  3655.62  
58307 $  5011   $ 18008082247  $  9329275166     $       32908  $   399571180  $   530070028  $      105197  $      45      $       0      $      97      $           0  $              $1.930277      $32908.000000      $25.521511 $33.856766 $0.006719 $     0.75  $  5038.83  
58305 $  5012   $  1240848045  $  6619413812     $       30846  $   222519381  $   221503115  $       30829  $       0      $       0      $      97      $           0  $              $0.187456      $30846.000000      $14.198644 $14.133799 $0.001967 $     1.00  $  7184.89  
58307 $  6014   $ 17811523734  $  9227125129     $       39373  $   394969003  $   522340706  $      131637  $      44      $       0      $      97      $           0  $              $1.930344      $39373.000000      $25.202408 $33.329815 $0.008400 $     0.76  $  3968.04  
58305 $  6015   $  1163424551  $  6547219817     $       37852  $   233280751  $   232171973  $       54342  $       0      $       0      $      97      $           0  $              $0.177697      $37852.000000      $14.885312 $14.814562 $0.003467 $     1.00  $  4272.42  
58305 $  6157   $   107254196  $   699639774     $        3315  $    26894596  $    26792174  $        3139  $       0      $       0      $      97      $           0  $              $0.153299      $3315.000000      $12.121508 $12.075346 $0.001415 $     1.00  $  8535.26  
58307 $  6156   $  1014370392  $   531808212     $        1305  $    22043637  $    28367070  $        2682  $       4      $       0      $      97      $           0  $              $1.907399      $1305.000000      $9.935160 $12.785158 $0.001209 $     0.78  $ 10576.83  
58305 $  7102   $  1146877307  $  6231758047     $        9144  $   216123567  $   215122700  $       28044  $       0      $       0      $      97      $           0  $              $0.184038      $9144.000000      $14.636940 $14.569157 $0.001899 $     1.00  $  7670.90  
58305 $  7104   $      312830  $     1494796     $          47  $       44414  $       43999  $          45  $       0      $       0      $      97      $           0  $              $0.209279      $47.000000      $1.421248 $1.407968 $0.001440 $     1.01  $   977.76  
58305 $  8107   $  1115543503  $  5886458365     $       85833  $   199317189  $   198406002  $      126850  $      44      $       0      $      97      $           0  $              $0.189510      $85833.000000      $12.718145 $12.660004 $0.008094 $     1.00  $  1564.10  
58331 $  1003   $ 17667242447  $  9219655113     $      139679  $   391834889  $   520184149  $      640563  $       0      $       0      $      97      $           0  $              $1.916259      $139679.000000      $25.002424 $33.192211 $0.040873 $     0.75  $   812.07  
58331 $  2005   $ 18039768865  $  9342699364     $       26162  $   399924391  $   527327591  $       78759  $      42      $       0      $      97      $           0  $              $1.930895      $26162.000000      $25.544073 $33.681602 $0.005031 $     0.76  $  6695.46  
58305 $  9109   $   941056867  $  4998492494     $       32329  $   169963184  $   169250158  $       47609  $       0      $       0      $      97      $           0  $              $0.188268      $32329.000000      $10.855932 $10.810390 $0.003041 $     1.00  $  3555.00  
