PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58594 $  1004   $  4211303970  $  8906261567     $    13902536  $   235948907  $   165856868  $    41760054  $      42      $       0      $      97      $           0  $              $0.472848      $13902536.000000      $15.040568 $10.572549 $2.661996 $     1.42  $     3.97  
58592 $  1004   $  1223823830  $  6939578705     $     1859580  $   244463304  $   242483513  $     2290126  $       0      $       0      $      97      $           0  $              $0.176354      $1859580.000000      $15.583318 $15.457117 $0.145984 $     1.01  $   105.88  
58594 $  2007   $  4322242425  $  9227831915     $    16481814  $   280655549  $   199745464  $    47492898  $      42      $       0      $      97      $           0  $              $0.468392      $16481814.000000      $17.908230 $12.745474 $3.030454 $     1.41  $     4.21  
58592 $  2007   $  1149954148  $  6332315105     $     2070859  $   217893657  $   216169060  $     2128015  $       0      $       0      $      97      $           0  $              $0.181601      $2070859.000000      $13.903484 $13.793439 $0.135786 $     1.01  $   101.58  
58594 $  3010   $  4355636655  $  9371416826     $    16993228  $   288562052  $   205863209  $    47963929  $      42      $       0      $      97      $           0  $              $0.464779      $16993228.000000      $18.412733 $13.135839 $3.060510 $     1.40  $     4.29  
58592 $  3010   $  1081663847  $  5813138481     $     2056340  $   195661676  $   194128826  $     2112125  $       0      $       0      $      97      $           0  $              $0.186072      $2056340.000000      $12.484893 $12.387084 $0.134772 $     1.01  $    91.91  
58594 $  4013   $  4386125691  $  9371845537     $    16961204  $   288081164  $   205201895  $    48386394  $      40      $       0      $      97      $           0  $              $0.468011      $16961204.000000      $18.382048 $13.093640 $3.087467 $     1.40  $     4.24  
58592 $  4013   $   951854954  $  5117364990     $     2048638  $   171796427  $   170465448  $     2104774  $       0      $       0      $      97      $           0  $              $0.186005      $2048638.000000      $10.962086 $10.877156 $0.134303 $     1.01  $    80.99  
58594 $  5016   $  4414759866  $  9256469578     $    16354734  $   277491861  $   196658477  $    48654457  $      43      $       0      $      97      $           0  $              $0.476938      $16354734.000000      $17.706360 $12.548497 $3.104572 $     1.41  $     4.04  
58592 $  5016   $  1233771319  $  7028588876     $     2016067  $   245438599  $   243339827  $     2012216  $       0      $       0      $      97      $           0  $              $0.175536      $2016067.000000      $15.661087 $15.527167 $0.128397 $     1.01  $   120.93  
58594 $  6019   $  4317439972  $  9153838012     $    16122397  $   274852055  $   195272215  $    47303074  $      42      $       0      $      97      $           0  $              $0.471654      $16122397.000000      $17.537918 $12.460041 $3.018342 $     1.41  $     4.13  
