PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59333 $  1003   $   758757337  $  3046428060     $     2670549  $    63152827  $    47605451  $     3767288  $      38      $       0      $      97      $           0  $              $0.249065      $2670549.000000      $4.029692 $3.037636 $0.240385 $     1.33  $    12.64  
59331 $  1003   $  4943472399  $  9021450665     $    27870054  $   217219871  $   144721449  $   141519832  $       0      $       0      $      97      $           0  $              $0.547969      $27870054.000000      $13.860491 $9.234469 $9.030179 $     1.50  $     1.02  
59333 $  2005   $  1776782096  $  5793656730     $     3393181  $    80912685  $    59995255  $     9971346  $      42      $       0      $      97      $           0  $              $0.306677      $3393181.000000      $5.168076 $3.832032 $0.636892 $     1.35  $     6.02  
59331 $  2006   $  5001889917  $  9315128805     $    28780853  $   226194093  $   150668972  $   147429875  $       0      $       0      $      97      $           0  $              $0.536964      $28780852.000000      $14.433123 $9.613973 $9.407290 $     1.50  $     1.02  
59333 $  3008   $  1217151568  $  4605166798     $     3581976  $    86909620  $    66168314  $     7218731  $      41      $       0      $      97      $           0  $              $0.264301      $3581976.000000      $5.545578 $4.222106 $0.460617 $     1.31  $     9.17  
59331 $  3009   $  5116845377  $  9390151184     $    29429429  $   231977586  $   154425606  $   151076334  $       0      $       0      $      97      $           0  $              $0.544916      $29429428.000000      $14.802159 $9.853678 $9.639966 $     1.50  $     1.02  
59333 $  4012   $  1093002994  $  4287551913     $     3556111  $    84572429  $    65683215  $     7195266  $      40      $       0      $      97      $           0  $              $0.254925      $3556111.000000      $5.391071 $4.186978 $0.458662 $     1.29  $     9.13  
59331 $  4013   $  5170536940  $  9278632122     $    30654524  $   240678896  $   159976002  $   156529300  $       0      $       0      $      97      $           0  $              $0.557252      $30654524.000000      $15.342081 $10.197673 $9.977963 $     1.50  $     1.02  
59333 $  5015   $  1449228344  $  5052645978     $     3355548  $    79276974  $    62097332  $     9916394  $      41      $       0      $      97      $           0  $              $0.286826      $3355548.000000      $5.058551 $3.962342 $0.632751 $     1.28  $     6.26  
59331 $  5016   $  4999970172  $  9317820180     $    28810521  $   226087788  $   150692376  $   147461081  $       0      $       0      $      97      $           0  $              $0.536603      $28810520.000000      $14.426340 $9.615466 $9.409282 $     1.50  $     1.02  
59333 $  6018   $  1625719414  $  5512446406     $     3576475  $    86214424  $    63052089  $     7898609  $      41      $       0      $      97      $           0  $              $0.294918      $3576475.000000      $5.501219 $4.023264 $0.503999 $     1.37  $     7.98  
59331 $  6019   $  5075471727  $  9334782172     $    29266046  $   229842075  $   153227620  $   149923403  $       0      $       0      $      97      $           0  $              $0.543716      $29266046.000000      $14.665895 $9.777236 $9.566399 $     1.50  $     1.02  
59333 $  7021   $  1095253221  $  4274987971     $     3542230  $    85418997  $    65737689  $     7180248  $      40      $       0      $      97      $           0  $              $0.256200      $3542230.000000      $5.450465 $4.194628 $0.458161 $     1.30  $     9.16  
59331 $  7023   $  5087215557  $  9224136690     $    29344188  $   230518173  $   153849980  $   150505806  $       0      $       0      $      97      $           0  $              $0.551511      $29344188.000000      $14.694386 $9.807170 $9.593996 $     1.50  $     1.02  
59333 $  8024   $  1095371510  $  4297396000     $     3578583  $    85414021  $    66587249  $     7216986  $      40      $       0      $      97      $           0  $              $0.254892      $3578583.000000      $5.450147 $4.248837 $0.460506 $     1.28  $     9.23  
59331 $  8026   $  5107423665  $  9308365340     $    29498299  $   232063818  $   154753444  $   151404815  $       0      $       0      $      97      $           0  $              $0.548692      $29498300.000000      $14.807662 $9.874597 $9.660926 $     1.50  $     1.02  
59331 $  8233   $  1157625754  $  1957857793     $     7614405  $    57529369  $    37988303  $    37192015  $       0      $       0      $      97      $           0  $              $0.591272      $7614405.000000      $17.786858 $11.745176 $11.498981 $     1.51  $     1.02  
59333 $  8231   $   118529078  $   350214853     $      127352  $     2861668  $     2427525  $      126487  $       8      $       0      $      97      $           0  $              $0.338447      $127352.000000      $0.884767 $0.750539 $0.039107 $     1.18  $    19.19  
59331 $  9160   $  5092440390  $  8804514538     $    30445301  $   230777981  $   153608816  $   150243383  $       0      $       0      $      97      $           0  $              $0.578390      $30445300.000000      $15.932892 $10.605140 $10.372789 $     1.50  $     1.02  
59331 $  9162   $     1829483  $     1239085     $       25603  $       91751  $       82784  $       86849  $       0      $       0      $      97      $           0  $              $1.476479      $25603.000000      $2.936032 $2.649088 $2.779168 $     1.11  $     0.95  
59331 $ 10165   $  5122158776  $  9313080144     $    29472797  $   229687903  $   153020177  $   149738060  $      38      $       0      $      97      $           0  $              $0.549996      $29472796.000000      $14.656057 $9.763999 $9.554572 $     1.50  $     1.02  
59352 $  1003   $   678158514  $  2845290438     $     2641897  $    62454112  $    46748198  $     3111341  $       0      $       0      $      97      $           0  $              $0.238344      $2641897.000000      $3.985108 $2.982936 $0.198530 $     1.34  $    15.03  
59352 $  2006   $  1742010188  $  5647005338     $     3352848  $    81381564  $    60787861  $    10567329  $      41      $       0      $      97      $           0  $              $0.308484      $3352848.000000      $5.192842 $3.878787 $0.674286 $     1.34  $     5.75  
59331 $ 11168   $  4825185993  $  8882051441     $    27393814  $   215016584  $   143437063  $   140371974  $       0      $       0      $      97      $           0  $              $0.543251      $27393814.000000      $13.719901 $9.152514 $8.956935 $     1.50  $     1.02  
59352 $  3009   $  1208093460  $  4585944193     $     3562060  $    86016417  $    64983050  $     7202257  $      40      $       0      $      97      $           0  $              $0.263434      $3562060.000000      $5.488585 $4.146476 $0.459566 $     1.32  $     9.02  
59331 $ 12171   $  5153509176  $  9389295464     $    30362401  $   238019294  $   158350867  $   154905461  $       0      $       0      $      97      $           0  $              $0.548871      $30362400.000000      $15.187672 $10.104143 $9.884296 $     1.50  $     1.02  
59352 $  4012   $  1097324469  $  4295515208     $     3550398  $    85075240  $    65635193  $     7188429  $      40      $       0      $      97      $           0  $              $0.255458      $3550398.000000      $5.428530 $4.188088 $0.458683 $     1.30  $     9.13  
59331 $ 13174   $  5101840398  $  9277630302     $    29296557  $   231252553  $   153904061  $   150530690  $       0      $       0      $      97      $           0  $              $0.549908      $29296556.000000      $14.755897 $9.820399 $9.605148 $     1.50  $     1.02  
59352 $  4091   $    15596941  $   180862633     $      297615  $     6892947  $     5774166  $      298373  $       3      $       0      $      97      $           0  $              $0.086236      $297615.000000      $5.584159 $4.677805 $0.241720 $     1.19  $    19.35  
59331 $ 13254   $   394586536  $   691220627     $     2528059  $    18952704  $    12808648  $    12538380  $       0      $       0      $      97      $           0  $              $0.570855      $2528059.000000      $15.162163 $10.246919 $10.030704 $     1.48  $     1.02  
