PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59610 $  1003   $  1152053052  $  7019834502     $     4530368  $   240267777  $   233302509  $     4948081  $      44      $       0      $      97      $           0  $              $0.164114      $4530368.000000      $15.331144 $14.886701 $0.315730 $     1.03  $    47.15  
59608 $  1004   $  4909150971  $  8868728331     $    27282136  $   215243960  $   143838071  $   139361980  $       0      $       0      $      97      $           0  $              $0.553535      $27282136.000000      $13.720731 $9.168961 $8.883633 $     1.50  $     1.03  
59610 $  2006   $  1009002207  $  6013706182     $     4057440  $   202581837  $   195859506  $     4119402  $      43      $       0      $      97      $           0  $              $0.167784      $4057440.000000      $12.926458 $12.497516 $0.262853 $     1.03  $    47.55  
59608 $  2007   $  5199003743  $  9264891123     $    30094559  $   235815165  $   157716667  $   152988495  $       0      $       0      $      97      $           0  $              $0.561151      $30094560.000000      $15.047029 $10.063676 $9.761978 $     1.50  $     1.03  
59610 $  3008   $   856985128  $  4921114710     $     3643926  $   158471635  $   153336592  $     3684770  $      42      $       0      $      97      $           0  $              $0.174145      $3643926.000000      $10.121941 $9.793954 $0.235355 $     1.03  $    41.61  
59608 $  3009   $  5224192549  $  9347839753     $    30573385  $   237135532  $   158863896  $   154227307  $       0      $       0      $      97      $           0  $              $0.558866      $30573384.000000      $15.146381 $10.146996 $9.850846 $     1.49  $     1.03  
59610 $  4010   $  1116637568  $  6932699223     $     4712420  $   236486544  $   229107543  $     4694256  $      45      $       0      $      97      $           0  $              $0.161068      $4712420.000000      $15.104929 $14.633615 $0.299833 $     1.03  $    48.81  
59608 $  4011   $  5127964269  $  9193803491     $    29423042  $   232285144  $   155411959  $   150682980  $       0      $       0      $      97      $           0  $              $0.557763      $29423042.000000      $14.836576 $9.926512 $9.624461 $     1.49  $     1.03  
59610 $  5012   $  1021794792  $  6140347398     $     4175453  $   205299121  $   199275211  $     4236752  $      44      $       0      $      97      $           0  $              $0.166407      $4175453.000000      $13.112918 $12.728157 $0.270611 $     1.03  $    47.03  
59608 $  5014   $  5223781673  $  9195851465     $    30790587  $   240956759  $   160930501  $   156148356  $       0      $       0      $      97      $           0  $              $0.568058      $30790588.000000      $15.375107 $10.268745 $9.963604 $     1.50  $     1.03  
59610 $  6014   $   872922262  $  5028786402     $     3656497  $   162701430  $   157271369  $     3717650  $      42      $       0      $      97      $           0  $              $0.173585      $3656497.000000      $10.392107 $10.045278 $0.237455 $     1.03  $    42.30  
59608 $  6017   $  5251852746  $  9273905388     $    30797891  $   240701493  $   160552634  $   155844248  $       0      $       0      $      97      $           0  $              $0.566304      $30797892.000000      $15.358819 $10.244635 $9.944200 $     1.50  $     1.03  
59610 $  7017   $  1119880410  $  6619901371     $     4409431  $   217663678  $   210981349  $     4391260  $      44      $       0      $      97      $           0  $              $0.169169      $4409431.000000      $13.888809 $13.462419 $0.280200 $     1.03  $    48.05  
59608 $  7020   $  5146048649  $  9218946967     $    29702444  $   233221809  $   156110484  $   151429570  $       0      $       0      $      97      $           0  $              $0.558204      $29702444.000000      $14.881551 $9.961187 $9.662505 $     1.49  $     1.03  
59610 $  8020   $  1020994371  $  6320137891     $     4346959  $   218193684  $   211215777  $     4388043  $      44      $       0      $      97      $           0  $              $0.161546      $4346959.000000      $13.922627 $13.477378 $0.279995 $     1.03  $    48.13  
59608 $  8023   $  5174614567  $  9198883048     $    29702785  $   234616142  $   156625676  $   151890946  $       0      $       0      $      97      $           0  $              $0.562526      $29702784.000000      $14.970522 $9.994061 $9.691944 $     1.50  $     1.03  
59610 $  9022   $   884624069  $  5258344464     $     3683267  $   173921790  $   168618430  $     3745033  $      43      $       0      $      97      $           0  $              $0.168232      $3683267.000000      $11.108777 $10.770040 $0.239204 $     1.03  $    45.02  
