PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60182 $  1003   $ 14509519746  $  8747528463     $      695651  $  1824451653  $     8938138  $     5128936  $      47      $       0      $      97      $           0  $              $1.658699      $695651.000000      $116.415665 $0.570330 $0.327270 $   204.12  $     1.74  
60180 $  1003   $  3325945944  $  8769888790     $    14606755  $   236604279  $   201123769  $    34219571  $       0      $       0      $      97      $           0  $              $0.379246      $14606755.000000      $15.097382 $12.833422 $2.183502 $     1.18  $     5.88  
60182 $  2006   $ 15162773451  $  9100319961     $      652592  $  1908602252  $     8704063  $     5227461  $      49      $       0      $      97      $           0  $              $1.666180      $652592.000000      $121.785187 $0.555394 $0.333557 $   219.28  $     1.67  
60180 $  2006   $  3551470506  $  9144832549     $    15215387  $   247961530  $   209974919  $    39781885  $       0      $       0      $      97      $           0  $              $0.388358      $15215387.000000      $15.822072 $13.398200 $2.538425 $     1.18  $     5.28  
60182 $  3008   $ 15173321129  $  9099728711     $      655012  $  1910204698  $     8648797  $     5227727  $      49      $       0      $      97      $           0  $              $1.667448      $655012.000000      $122.009079 $0.552418 $0.333907 $   220.86  $     1.65  
60180 $  3008   $  3378695978  $  9144853915     $    16430939  $   269719922  $   230635615  $    38271750  $       0      $       0      $      97      $           0  $              $0.369464      $16430939.000000      $17.227621 $14.731217 $2.444503 $     1.17  $     6.03  
60182 $  4010   $ 15187683055  $  9102442314     $      655989  $  1912406388  $     8683960  $     5251162  $      49      $       0      $      97      $           0  $              $1.668528      $655989.000000      $122.149712 $0.554664 $0.335404 $   220.22  $     1.65  
60180 $  4010   $  3491776925  $  9147192240     $    16204088  $   264459334  $   224469495  $    39982869  $       0      $       0      $      97      $           0  $              $0.381732      $16204088.000000      $16.891613 $14.337373 $2.553796 $     1.18  $     5.61  
60182 $  5012   $ 15182328269  $  9105810732     $      624267  $  1914955176  $     8378574  $     5033977  $      49      $       0      $      97      $           0  $              $1.667323      $624267.000000      $122.312500 $0.535158 $0.321531 $   228.55  $     1.66  
60180 $  5012   $  3426116491  $  9145687794     $    15462378  $   252990562  $   215929770  $    38021537  $       0      $       0      $      97      $           0  $              $0.374616      $15462378.000000      $16.159079 $13.791922 $2.428521 $     1.17  $     5.68  
60182 $  6014   $ 15161907000  $  9098965152     $      654905  $  1908488533  $     8707790  $     5230060  $      49      $       0      $      97      $           0  $              $1.666333      $654905.000000      $121.899467 $0.556186 $0.334056 $   219.17  $     1.66  
60180 $  6014   $  3451089157  $  9144638443     $    16946319  $   276906174  $   235401570  $    40104471  $       0      $       0      $      97      $           0  $              $0.377389      $16946320.000000      $17.686623 $15.035629 $2.561563 $     1.18  $     5.87  
60182 $  7016   $ 15163660229  $  9097837840     $      653983  $  1908851954  $     8669324  $     5225401  $      49      $       0      $      97      $           0  $              $1.666732      $653983.000000      $121.922684 $0.553729 $0.333758 $   220.18  $     1.66  
60180 $  7016   $  3537787805  $  9142738184     $    15430824  $   251535856  $   213118972  $    39832478  $       0      $       0      $      97      $           0  $              $0.386951      $15430824.000000      $16.066162 $13.612390 $2.544190 $     1.18  $     5.35  
60182 $  8019   $ 15184192333  $  9097798209     $      657660  $  1912039388  $     8684490  $     5246416  $      49      $       0      $      97      $           0  $              $1.668996      $657660.000000      $122.004509 $0.554145 $0.334766 $   220.17  $     1.66  
60180 $  8019   $  3389466524  $  9142767447     $    16208993  $   265985588  $   227351876  $    38229076  $       0      $       0      $      97      $           0  $              $0.370727      $16208993.000000      $16.972160 $14.506999 $2.439343 $     1.17  $     5.95  
