PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60550 $  1003   $  4515025380  $  8808241395     $    24847157  $   195862916  $   130524744  $   127598416  $      44      $       0      $      97      $           0  $              $0.512591      $24847156.000000      $12.497733 $8.328598 $8.141873 $     1.50  $     1.02  
60548 $  1003   $  2751134280  $  8435217697     $    11515790  $   163724403  $   133856008  $    26383375  $       0      $       0      $      97      $           0  $              $0.326149      $11515790.000000      $10.447021 $8.541161 $1.683486 $     1.22  $     5.07  
60550 $  2006   $  4708817227  $  9105194105     $    27677494  $   217663742  $   144877229  $   141721697  $      46      $       0      $      97      $           0  $              $0.517157      $27677494.000000      $13.888813 $9.244410 $9.043059 $     1.50  $     1.02  
60548 $  2006   $  2751719324  $  9101559322     $    15142319  $   218292775  $   180476215  $    31069561  $       0      $       0      $      97      $           0  $              $0.302335      $15142319.000000      $13.928950 $11.515929 $1.982504 $     1.21  $     5.81  
60550 $  3008   $  4657580660  $  9100225538     $    26376503  $   209066907  $   139469771  $   136407996  $      46      $       0      $      97      $           0  $              $0.511809      $26376504.000000      $13.353575 $8.908249 $8.712687 $     1.50  $     1.02  
60548 $  3008   $  2779642291  $  9096024213     $    14749720  $   213417241  $   176359705  $    31108961  $       0      $       0      $      97      $           0  $              $0.305589      $14749720.000000      $13.631441 $11.264493 $1.986999 $     1.21  $     5.67  
60550 $  4010   $  4712716014  $  9103475885     $    27730751  $   217821060  $   145044413  $   141870842  $      46      $       0      $      97      $           0  $              $0.517683      $27730752.000000      $13.912723 $9.264314 $9.061611 $     1.50  $     1.02  
60548 $  4010   $  2807190618  $  9099692911     $    14041225  $   199998020  $   165024090  $    30827637  $       0      $       0      $      97      $           0  $              $0.308493      $14041225.000000      $12.774324 $10.540462 $1.969031 $     1.21  $     5.35  
60550 $  5013   $  4643459811  $  9108147331     $    26392241  $   208375376  $   138937008  $   135911360  $      46      $       0      $      97      $           0  $              $0.509814      $26392240.000000      $13.296136 $8.865373 $8.672310 $     1.50  $     1.02  
60548 $  5013   $  2886220739  $  9104010381     $    14477546  $   205379980  $   168137470  $    32660395  $       0      $       0      $      97      $           0  $              $0.317027      $14477546.000000      $13.105004 $10.728612 $2.084013 $     1.22  $     5.15  
60550 $  6016   $  4722944360  $  9105810780     $    27808812  $   218351659  $   145318266  $   142139548  $      46      $       0      $      97      $           0  $              $0.518674      $27808812.000000      $13.932709 $9.272552 $9.069722 $     1.50  $     1.02  
60548 $  6016   $  2752962087  $  9102740417     $    15177604  $   218737800  $   180846899  $    31107983  $       0      $       0      $      97      $           0  $              $0.302432      $15177604.000000      $13.957347 $11.539582 $1.984956 $     1.21  $     5.81  
60550 $  7019   $  4665973969  $  9106333949     $    26521449  $   209463771  $   139678347  $   136608473  $      46      $       0      $      97      $           0  $              $0.512388      $26521448.000000      $13.365585 $8.912677 $8.716792 $     1.50  $     1.02  
60548 $  7019   $  2797945714  $  9102775501     $    14635638  $   211112383  $   174418532  $    31138930  $       0      $       0      $      97      $           0  $              $0.307373      $14635638.000000      $13.470780 $11.129397 $1.986931 $     1.21  $     5.60  
60550 $  8021   $  4729939572  $  9106788517     $    27897633  $   218636295  $   145593005  $   142395373  $      46      $       0      $      97      $           0  $              $0.519386      $27897632.000000      $13.964793 $9.299354 $9.095114 $     1.50  $     1.02  
