PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61815 $  1003   $  3212179495  $  8804051844     $    10588711  $   353270458  $   348916248  $    11007086  $      52      $       0      $      97      $           0  $              $0.364852      $10588711.000000      $22.541685 $22.263849 $0.702346 $     1.01  $    31.70  
61813 $  1004   $ 17140927842  $  8837073343     $     3515633  $   371328678  $   340338441  $    53383820  $       0      $       0      $      97      $           0  $              $1.939661      $3515633.000000      $23.670353 $21.694880 $3.402953 $     1.09  $     6.38  
61815 $  2005   $  3291282901  $  9086814015     $    11069819  $   372975239  $   368301585  $    11069546  $      54      $       0      $      97      $           0  $              $0.362204      $11069819.000000      $23.822769 $23.524254 $0.707037 $     1.01  $    33.27  
61813 $  2006   $ 17948215025  $  9110605366     $     3566498  $   389856952  $   357244216  $    55378825  $       0      $       0      $      97      $           0  $              $1.970035      $3566498.000000      $24.901043 $22.817995 $3.537170 $     1.09  $     6.45  
61815 $  3007   $  3289997473  $  9086599585     $    11079357  $   373044707  $   368400991  $    11079004  $      54      $       0      $      97      $           0  $              $0.362071      $11079357.000000      $23.827208 $23.530602 $0.707641 $     1.01  $    33.25  
61813 $  3008   $ 17949673157  $  9110426153     $     3564860  $   389890069  $   357257977  $    55360533  $       0      $       0      $      97      $           0  $              $1.970234      $3564860.000000      $24.903158 $22.818872 $3.536002 $     1.09  $     6.45  
61815 $  4010   $  3064486768  $  9110982153     $    11606023  $   388808765  $   385851125  $    11605950  $      53      $       0      $      97      $           0  $              $0.336351      $11606023.000000      $24.809334 $24.620611 $0.740559 $     1.01  $    33.25  
61813 $  4011   $ 17866404609  $  9110015186     $     3638135  $   388023722  $   355511760  $    55817488  $       0      $       0      $      97      $           0  $              $1.961183      $3638135.000000      $24.759239 $22.684698 $3.561634 $     1.09  $     6.37  
61815 $  5012   $  3068764490  $  9111876764     $    11602421  $   389275968  $   386382847  $    11601929  $      53      $       0      $      97      $           0  $              $0.336787      $11602421.000000      $24.863934 $24.679144 $0.741041 $     1.01  $    33.30  
61813 $  5013   $ 17936199033  $  9110725062     $     3595312  $   389644492  $   356994815  $    55723125  $       0      $       0      $      97      $           0  $              $1.968691      $3595312.000000      $24.887472 $22.802065 $3.559162 $     1.09  $     6.41  
61815 $  6014   $  3128864336  $  9110481129     $    11645804  $   384411175  $   381198316  $    11936267  $      53      $       0      $      97      $           0  $              $0.343436      $11645804.000000      $24.553207 $24.347996 $0.762396 $     1.01  $    31.94  
